
"QS402EW - Accommodation type - Households"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","All categories: Accommodation type","Unshared dwelling: Total","Unshared dwelling: Whole house or bungalow: Total","Unshared dwelling: Whole house or bungalow: Detached","Unshared dwelling: Whole house or bungalow: Semi-detached","Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace)","Unshared dwelling: Flat, maisonette or apartment: Total","Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement","Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Unshared dwelling: Flat, maisonette or apartment: In commercial building","Unshared dwelling: Caravan or other mobile or temporary structure","Shared dwelling"

"AL - St Albans",99381,99247,77810,23136,27438,27236,21058,18510,1685,863,379,134
"B - Birmingham",751008,748973,597689,126002,279211,192476,150111,128301,15247,6563,1173,2035
"BA - Bath",183389,182835,154338,50481,55565,48292,27681,18331,7613,1737,816,554
"BB - Blackburn",202156,202012,182163,31854,55131,95178,19193,15859,1828,1506,656,144
"BD - Bradford",223923,223041,191651,33136,81241,77274,30717,25780,3195,1742,673,882
"BH - Bournemouth",242868,240862,169634,100005,42800,26829,69086,50821,14799,3466,2142,2006
"BL - Bolton",160166,159947,139285,29178,55513,54594,20558,18079,1516,963,104,219
"BN - Brighton",356346,352613,237989,76865,87370,73754,112936,71491,36359,5086,1688,3733
"BR - Bromley",125000,124656,94636,23136,41618,29882,29912,23871,4450,1591,108,344
"BS - Bristol",398258,396133,303433,76843,118453,108137,90860,60282,26323,4255,1840,2125
"CA - Carlisle",140639,140398,126470,37920,49069,39481,13355,10361,1877,1117,573,241
"CB - Cambridge",167769,167201,141411,51669,50868,38874,24772,20961,2758,1053,1018,568
"CH - Chester",285835,285340,245675,68912,114128,62635,39160,29397,7116,2647,505,495
"CM - Chelmsford",270005,269885,225249,80422,81345,63482,43368,38742,2959,1667,1268,120
"CO - Colchester",176926,176573,148646,63321,55344,29981,27181,23068,2791,1322,746,353
"CR - Croydon",159003,158237,106363,23866,41096,41401,51768,39711,9898,2159,106,766
"CT - Canterbury",206231,205230,159220,50432,59814,48974,44737,30603,11475,2659,1273,1001
"CV - Coventry",341799,340549,285848,75330,106736,103782,53534,44791,5968,2775,1167,1250
"CW - Crewe",130777,130685,119399,44953,47981,26465,10678,8741,1204,733,608,92
"DA - Dartford",173530,173350,136283,20015,66541,49727,36804,31550,3508,1746,263,180
"DE - Derby",306789,306533,275605,98159,113353,64093,29968,24411,3406,2151,960,256
"DH - Durham",132873,132840,124494,23373,55260,45861,8145,6540,927,678,201,33
"DL - Darlington",156929,156779,144028,37938,53083,53007,12543,10022,1577,944,208,150
"DN - Doncaster",320177,319891,289885,89526,127868,72491,28488,22309,3807,2372,1518,286
"DT - Dorchester",93219,93136,77740,31785,23529,22426,14793,10921,2780,1092,603,83
"DY - Dudley",171537,171356,146751,43870,74210,28671,23317,19904,2080,1333,1288,181
"E - London E",371209,367760,146219,14740,35752,95727,221253,181798,33033,6422,288,3449
"EC - London EC",16712,16529,560,58,78,424,15965,13897,1194,874,4,183
"EN - Enfield",137752,137551,95657,17908,39633,38116,41141,35315,4152,1674,753,201
"EX - Exeter",235920,235223,197542,81764,59572,56206,35878,24310,8628,2940,1803,697
"FY - Blackpool",125975,125488,99401,21108,47901,30392,25438,17068,6628,1742,649,487
"GL - Gloucester",257740,257107,219280,80265,88723,50292,35830,26901,6869,2060,1997,633
"GU - Guildford",288291,287960,234985,103407,80749,50829,51349,42237,6615,2497,1626,331
"HA - Harrow",169235,168676,116932,23539,62240,31153,51701,40706,8251,2744,43,559
"HD - Huddersfield",111708,111362,97894,24112,34187,39595,13318,10902,1672,744,150,346
"HG - Harrogate",59524,59277,48119,17405,18566,12148,10730,6862,3149,719,428,247
"HP - Hemel Hempstead",195820,195462,159197,56115,57935,45147,35546,30788,3221,1537,719,358
"HR - Hereford",75480,75364,65878,31069,21125,13684,8801,6518,1508,775,685,116
"HU - Hull",191829,191605,167021,34455,61427,71139,24307,18935,3689,1683,277,224
"HX - Halifax",69055,68907,58237,9443,19065,29729,10574,8961,1085,528,96,148
"IG - Ilford",119693,119309,82072,11102,30816,40154,37110,30156,5367,1587,127,384
"IP - Ipswich",252903,252593,222439,93252,80558,48629,28814,23461,3558,1795,1340,310
"KT - Kingston upon Thames",215019,214250,156249,56185,64294,35770,56185,45421,7675,3089,1816,769
"L - Liverpool",370832,368775,300992,40852,130917,129223,67369,52961,11203,3205,414,2057
"LA - Lancaster",143130,142850,122768,31334,47312,44122,19140,13683,3936,1521,942,280
"LE - Leicester",391690,390756,341767,113588,146732,81447,47914,38915,5865,3134,1075,934
"LN - Lincoln",126445,126352,113577,55743,35487,22347,11629,9314,1438,877,1146,93
"LS - Leeds",330485,329483,259984,52478,121163,86343,69121,57780,8908,2433,378,1002
"LU - Luton",129087,128748,105341,23537,48918,32886,22713,19263,2472,978,694,339
"M - Manchester",492832,491122,366011,41105,183846,141060,124858,109083,12049,3726,253,1710
"ME - Medway",245899,245481,210437,49329,79184,81924,33523,27395,4323,1805,1521,418
"MK - Milton Keynes",202910,202565,173986,62611,62398,48977,27818,23622,3096,1100,761,345
"N - London N",345384,339478,134259,15080,43535,75644,205025,134888,63193,6944,194,5906
"NE - Newcastle upon Tyne",510129,509877,405524,69824,194869,140831,104024,83659,17187,3178,329,252
"NG - Nottingham",493006,492306,427251,150895,178565,97791,63385,51943,7942,3500,1670,700
"NN - Northampton",272410,272087,238320,79144,88541,70635,33188,28564,3130,1494,579,323
"NR - Norwich",315586,315141,273001,115095,90945,66961,40567,32795,5444,2328,1573,445
"NW - London NW",221382,216835,71722,10893,31718,29111,145007,93944,46877,4186,106,4547
