
"QS802EW - Age of arrival in the UK"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","All categories: Age of arrival in the UK","Born in the UK","Age of arrival in the UK: 0 to 4","Age of arrival in the UK: 5 to 7","Age of arrival in the UK: 8 to 9","Age of arrival in the UK: 10 to 14","Age of arrival in the UK: 15","Age of arrival in the UK: 16 to 17","Age of arrival in the UK: 18 to 19","Age of arrival in the UK: 20 to 24","Age of arrival in the UK: 25 to 29","Age of arrival in the UK: 30 to 44","Age of arrival in the UK: 45 to 59","Age of arrival in the UK: 60 to 64","Age of arrival in the UK: 65 to 74","Age of arrival in the UK: 75 to 84","Age of arrival in the UK: 85 to 89","Age of arrival in the UK: 90 and over"

"AL - St Albans",250427,212721,4861,1680,950,2390,593,1710,3064,8655,6393,6094,1045,114,98,51,7,1
"B - Birmingham",1904658,1589479,37026,16917,11126,28049,6718,17397,26648,66010,46382,46765,8902,1155,1482,520,55,27
"BA - Bath",434166,398324,7344,1940,1088,2630,499,1754,2450,6162,4670,5539,1482,113,113,46,9,3
"BB - Blackburn",488917,440870,6422,2331,1525,3860,969,2733,4589,10785,6908,6190,1288,152,205,76,11,3
"BD - Bradford",578336,486360,11248,4393,3095,7706,1830,4750,8771,20548,13170,12936,2640,307,406,154,16,6
"BH - Bournemouth",551987,500450,8642,2491,1452,3220,711,2114,3325,10424,8228,8485,1949,197,206,80,11,2
"BL - Bolton",380259,340881,5074,2105,1340,3427,812,2170,3243,7917,5674,6032,1195,156,173,47,9,4
"BN - Brighton",802831,716032,12860,3974,2390,5937,1503,4562,6849,17326,13313,14086,3104,383,364,125,15,8
"BR - Bromley",299293,258911,5172,1911,1219,2733,620,1724,2519,8056,7441,7257,1269,180,206,60,12,3
"BS - Bristol",940241,846083,14339,4766,2890,6785,1580,4240,6425,18628,15403,15411,2886,332,340,112,14,7
"CA - Carlisle",318244,306824,2573,598,347,712,169,438,573,1973,1626,1798,496,49,39,19,8,2
"CB - Cambridge",421467,352605,8940,2711,1574,3611,898,3070,4816,13925,13060,13348,2310,232,256,95,9,7
"CH - Chester",659743,629548,6439,1645,978,1949,369,1144,1740,5331,4471,4838,1042,93,108,40,6,2
"CM - Chelmsford",653492,603278,7904,2512,1405,3213,770,2083,3215,9998,8136,8924,1617,141,206,80,10,0
"CO - Colchester",411418,381368,5543,1536,892,1936,419,1484,2642,5759,4182,4400,989,104,119,38,6,1
"CR - Croydon",405982,291280,10653,5094,3537,9422,2290,5363,7326,23798,20421,21396,4181,464,576,154,15,12
"CT - Canterbury",482504,437155,7556,2440,1493,3461,801,2422,4017,7888,5820,6978,1888,277,213,78,17,0
"CV - Coventry",821807,710599,13374,5104,3179,8001,2050,6107,10624,24715,17339,16772,3061,367,384,104,16,11
"CW - Crewe",309489,294844,2957,793,458,920,155,466,874,2694,2178,2458,597,32,51,9,1,2
"DA - Dartford",430560,376728,6544,2594,1591,3963,960,2600,3763,11145,8782,9549,1788,218,255,65,13,2
"DE - Derby",730620,673750,8298,2932,1836,4518,1036,2582,4205,11628,8425,8980,1903,190,223,82,21,11
"DH - Durham",309211,297380,2448,553,328,719,154,511,862,2118,1777,1943,288,39,80,7,1,3
"DL - Darlington",360975,345353,4288,951,476,1068,208,488,872,2410,1979,2199,520,69,75,15,2,2
"DN - Doncaster",755713,713034,7629,2015,1247,2746,667,1677,2658,8317,6484,7277,1664,111,133,45,6,3
"DT - Dorchester",213203,200942,3264,898,489,986,209,456,586,1627,1312,1751,516,73,69,19,4,2
"DY - Dudley",410598,388467,3179,1184,757,1914,456,1079,1687,4403,3237,3380,684,56,87,23,3,2
