
"QS411EW - Number of bedrooms"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All household spaces with at least one usual resident"
"Units      :","Household spaces"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","All categories: Number of bedrooms","No bedrooms","1 bedroom","2 bedrooms","3 bedrooms","4 bedrooms","5 or more bedrooms"

"AL - St Albans",99381,231,11747,22964,38004,19126,7309
"B - Birmingham",751008,2129,85249,175298,364046,93628,30658
"BA - Bath",183389,335,19305,46314,74788,31669,10978
"BB - Blackburn",202156,439,17603,73600,80180,24274,6060
"BD - Bradford",223923,667,25305,62131,92283,33648,9889
"BH - Bournemouth",242868,712,31495,78230,85265,36133,11033
"BL - Bolton",160166,320,15231,53950,65788,19959,4918
"BN - Brighton",356346,1425,61580,114814,120797,43470,14260
"BR - Bromley",125000,283,13753,32637,49571,21162,7594
"BS - Bristol",398258,801,48573,100267,167397,61806,19414
"CA - Carlisle",140639,224,8155,40181,65083,20473,6523
"CB - Cambridge",167769,366,17847,42553,63442,31779,11782
"CH - Chester",285835,443,22651,63258,141396,45435,12652
"CM - Chelmsford",270005,538,27395,66409,105122,54068,16473
"CO - Colchester",176926,405,16759,54785,68109,28478,8390
"CR - Croydon",159003,540,23562,44211,61888,20972,7830
"CT - Canterbury",206231,464,25576,66442,75297,28300,10152
"CV - Coventry",341799,900,29861,88825,155337,50785,16091
"CW - Crewe",130777,193,7803,34714,56223,25102,6742
"DA - Dartford",173530,413,19328,45606,78594,23480,6109
"DE - Derby",306789,546,23956,85959,138594,45844,11890
"DH - Durham",132873,217,8527,43193,60349,16437,4150
"DL - Darlington",156929,277,11139,51241,66549,21855,5868
"DN - Doncaster",320177,525,23007,73725,170299,42530,10091
"DT - Dorchester",93219,157,9047,25707,38278,15082,4948
"DY - Dudley",171537,348,16409,43080,84538,22068,5094
"E - London E",371209,1775,91275,129727,107800,30047,10585
"EC - London EC",16712,156,7322,6460,2176,453,145
"EN - Enfield",137752,397,18431,38138,56467,18435,5884
"EX - Exeter",235920,378,22703,65740,93901,38268,14930
"FY - Blackpool",125975,387,16487,36304,53752,15129,3916
"GL - Gloucester",257740,483,25694,65778,104202,46235,15348
"GU - Guildford",288291,619,30040,66146,108079,60332,23075
"HA - Harrow",169235,487,20622,43507,68290,26345,9984
"HD - Huddersfield",111708,237,13521,34237,42937,16209,4567
"HG - Harrogate",59524,108,5901,15653,22427,11438,3997
"HP - Hemel Hempstead",195820,365,21163,46017,77338,37093,13844
"HR - Hereford",75480,131,6918,18223,31932,13571,4705
"HU - Hull",191829,410,18725,59845,82134,24114,6601
"HX - Halifax",69055,158,8234,23192,25837,8837,2797
"IG - Ilford",119693,380,16907,30119,47919,17930,6438
"IP - Ipswich",252903,449,20907,65521,110329,42539,13158
"KT - Kingston upon Thames",215019,487,25066,55699,76780,38734,18253
"L - Liverpool",370832,934,37356,87468,187833,44766,12475
"LA - Lancaster",143130,281,12019,43411,61196,19523,6700
"LE - Leicester",391690,880,35606,94774,176458,63842,20130
"LN - Lincoln",126445,211,8870,37137,53722,20486,6019
"LS - Leeds",330485,743,40624,98493,128154,46411,16060
"LU - Luton",129087,383,14524,32203,60237,17179,4561
"M - Manchester",492832,1284,64689,152272,215297,44803,14487
"ME - Medway",245899,521,23112,63772,113612,35340,9542
"MK - Milton Keynes",202910,470,21009,46392,83136,39616,12287
"N - London N",345384,1622,90543,111906,89511,34768,17034
"NE - Newcastle upon Tyne",510129,1023,48681,165617,218861,56666,19281
"NG - Nottingham",493006,1019,41382,130493,234203,65880,20029
"NN - Northampton",272410,523,22479,67812,119799,49208,12589
"NR - Norwich",315586,481,28139,89329,136344,47476,13817
"NW - London NW",221382,1470,60858,70655,53956,22222,12221
"OL - Oldham",188327,487,19369,66920,75033,21022,5496
"OX - Oxford",242290,475,23956,58346,98345,45239,15929
"PE - Peterborough",372974,737,30512,100159,160876,63811,16879
"PL - Plymouth",232030,436,25670,65787,96869,32430,10838
"PO - Portsmouth",352381,834,41145,102265,146098,48537,13502
"PR - Preston",219457,465,19575,57567,97544,35604,8702
"RG - Reading",314494,727,31789,72512,122530,65705,21231
"RH - Redhill",217383,522,24428,52017,85778,40257,14381
"RM - Romford",205198,489,22737,59374,96670,20616,5312
"S - Sheffield",578166,1091,54026,159773,276762,67370,19144
"SE - London SE",412616,1834,102977,141966,118896,34207,12736
"SG - Stevenage",167378,351,18274,40570,70227,29053,8903
"SK - Stockport",260660,492,24085,73908,108783,41148,12244
"SL - Slough",144701,360,19014,35608,53457,25206,11056
"SM - Sutton",87844,239,12304,26050,33543,11533,4175
"SN - Swindon",191326,354,16495,48481,79236,36105,10655
"SO - Southampton",276203,714,35839,70508,107932,46167,15043
"SP - Salisbury",94762,143,7638,23892,39832,17645,5612
"SR - Sunderland",109601,217,11164,38895,46220,10534,2571
"SS - Southend-on-Sea",216695,563,27451,59239,88278,34510,6654
"ST - Stoke-on-Trent",275550,521,22509,85755,123920,34661,8184
"SW - London SW",381866,1931,99099,132999,85507,40349,21981
"SY - Shrewsbury",144748,246,11077,34970,62969,26105,9381
"TA - Taunton",139322,222,12210,36940,58294,24100,7556
"TD - Galashiels",8257,21,716,3043,3295,846,336
"TF - Telford",85432,138,5805,20394,39322,15982,3791
"TN - Tonbridge",285861,588,30844,76335,105705,50830,21559
"TQ - Torquay",125499,234,14767,38064,47233,18753,6448
"TR - Truro",127727,211,13075,38968,51275,18017,6181
"TS - Cleveland",256392,452,20751,66847,123628,35640,9074
"TW - Twickenham",193024,615,29956,58664,69241,24969,9579
"UB - Southall",127062,511,17898,35055,55843,13234,4521
"W - London W",237211,1650,76648,78346,47834,21281,11452
"WA - Warrington",261707,465,19856,64592,128399,38156,10239
"WC - London WC",15715,197,7529,5007,2168,546,268
"WD - Watford",103170,282,14251,27881,40313,14516,5927
"WF - Wakefield",214052,457,19223,65344,96530,26611,5887
"WN - Wigan",131223,233,9453,36172,66686,15728,2951
"WR - Worcester",122579,241,11832,29785,50658,23127,6936
"WS - Walsall",181690,366,15590,45654,91198,23233,5649
"WV - Wolverhampton",162791,391,16852,40476,81556,18803,4713
"YO - York",242013,444,22002,72013,93358,40465,13731
"CF - Cardiff",419936,805,35517,98068,205359,63724,16463
"LD - Llandrindod Wells",22112,30,1416,5146,9897,3996,1627
"LL - Llandudno",232718,345,17859,65751,104286,34399,10078
"NP - Newport",206448,419,15190,46467,108395,29317,6660
"SA - Swansea",315848,527,22194,75887,157656,46764,12820



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""

