
"QS203EW - Country of birth (detailed)"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","All categories: Country of birth","Europe: Total","Europe: United Kingdom: Total","Europe: United Kingdom: England","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Wales","Europe: Great Britain not otherwise specified","Europe: United Kingdom not otherwise specified","Europe: Guernsey","Europe: Jersey","Europe: Channel Islands not otherwise specified","Europe: Isle of Man","Europe: Ireland","Europe: Other Europe: Total","Europe: Other Europe: EU Countries: Total","Europe: Other Europe: EU countries: Member countries in March 2001: Total","Europe: Other Europe: EU countries: Member countries in March 2001: France","Europe: Other Europe: EU countries: Member countries in March 2001: Germany","Europe: Other Europe: EU countries: Member countries in March 2001: Italy","Europe: Other Europe: EU countries: Member countries in March 2001: Portugal","Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands)","Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Total","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries","Europe: Other Europe: Rest of Europe: Total","Europe: Other Europe: Rest of Europe: Turkey","Europe: Other Europe: Rest of Europe: Other Europe","Africa: Total","Africa: North Africa","Africa: Central and Western Africa: Total","Africa: Central and Western Africa: Ghana","Africa: Central and Western Africa: Nigeria","Africa: Central and Western Africa: Other Central and Western Africa","Africa: South and Eastern Africa: Total","Africa: South and Eastern Africa: Kenya","Africa: South and Eastern Africa: Somalia","Africa: South and Eastern Africa: South Africa","Africa: South and Eastern Africa: Zimbabwe","Africa: South and Eastern Africa: Other South and Eastern Africa","Africa: Africa not otherwise specified","Middle East and Asia: Total","Middle East and Asia: Middle East: Total","Middle East and Asia: Middle East: Iran","Middle East and Asia: Middle East: Other Middle East","Middle East and Asia: Eastern Asia: Total","Middle East and Asia: Eastern Asia: China","Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China)","Middle East and Asia: Eastern Asia: Other Eastern Asia","Middle East and Asia: Southern Asia: Total","Middle East and Asia: Southern Asia: Bangladesh","Middle East and Asia: Southern Asia: India","Middle East and Asia: Southern Asia: Pakistan","Middle East and Asia: Southern Asia: Sri Lanka","Middle East and Asia: Southern Asia: Other Southern Asia","Middle East and Asia: South-East Asia: Total","Middle East and Asia: South-East Asia: Philippines","Middle East and Asia: South-East Asia: Other South-East Asia","Middle East and Asia: Central Asia","The Americas and the Caribbean: Total","The Americas and the Caribbean: North America: Total","The Americas and the Caribbean: North America: United States","The Americas and the Caribbean: North America: Other North America","The Americas and the Caribbean: Central America","The Americas and the Caribbean: South America","The Americas and the Caribbean: The Caribbean: Total","The Americas and the Caribbean: The Caribbean: Jamaica","The Americas and the Caribbean: The Caribbean: Other Caribbean","Antarctica and Oceania: Total","Antarctica and Oceania: Antarctica","Antarctica and Oceania: Australasia: Total","Antarctica and Oceania: Australasia: Australia","Antarctica and Oceania: Australasia: Other Australasia","Antarctica and Oceania: Other Oceania","Other"

"AL - St Albans",250427,226894,212721,204589,1119,4259,2741,6,7,27,45,6,54,2988,11053,9853,4724,658,1142,910,329,491,1194,5129,207,2926,317,1679,1200,261,939,7767,593,2000,482,1321,197,5139,636,42,1775,1265,1421,35,11540,1174,397,777,2144,1179,640,325,6177,1498,2713,923,922,121,2011,687,1324,34,2912,1511,1083,428,63,633,705,246,459,1314,0,1288,759,529,26,0
"B - Birmingham",1904658,1663761,1589479,1554537,7007,13178,14447,44,266,95,133,28,138,22550,51338,46663,18100,2073,5052,1713,778,1100,7384,28563,1410,17339,1770,8044,4675,683,3992,43114,3257,9980,1327,4169,4484,29025,5552,8244,2622,4519,8088,852,165390,14175,3562,10613,11196,6859,2981,1356,130278,16301,44950,63386,1315,4326,9576,3011,6565,165,30492,3588,2211,1377,223,1440,25241,19465,5776,1899,5,1730,1290,440,164,2
"BA - Bath",434166,416699,398324,380951,1940,6675,8722,20,16,118,138,23,97,1857,16142,15041,7523,852,3174,1003,468,540,1486,7518,220,5262,317,1719,1101,204,897,4168,561,512,105,235,172,3054,436,12,1416,563,627,41,8391,883,201,682,2719,1252,1068,399,2387,244,1611,231,171,130,2362,758,1604,40,3403,2025,1294,731,141,538,699,366,333,1505,0,1370,918,452,135,0
"BB - Blackburn",488917,452644,440870,429598,2340,6894,2004,17,17,37,47,12,77,2280,9321,8679,3346,223,1305,740,103,281,694,5333,631,3613,100,989,642,166,476,3548,293,331,27,155,149,2770,462,35,629,416,1228,154,31166,1301,322,979,1000,511,413,76,27590,2057,6941,18103,219,270,1263,481,782,12,1117,637,361,276,39,179,262,100,162,441,0,408,294,114,33,1
"BD - Bradford",578336,507029,486360,478086,1461,4944,1820,16,33,48,48,7,52,2248,18266,17113,4575,376,1540,1178,141,241,1099,12538,572,6147,308,5511,1153,113,1040,7337,1153,1803,235,1005,563,4200,911,102,694,1187,1306,181,60652,3743,745,2998,1967,1070,736,161,52177,4035,6614,40595,162,771,2750,1242,1508,15,2718,827,513,314,55,238,1598,977,621,599,1,552,353,199,46,1
"BH - Bournemouth",551987,526352,500450,482002,2052,8367,7986,17,26,222,305,54,73,2863,22385,19985,9896,1055,3772,946,1249,934,1940,10089,488,6365,552,2684,2400,767,1633,6950,842,863,152,380,331,5179,495,5,2586,1186,907,66,12696,1838,696,1142,2988,1343,1002,643,4634,569,3005,317,346,397,3081,1158,1923,155,4610,2003,1146,857,149,1986,472,145,327,1378,0,1300,870,430,78,1
"BL - Bolton",380259,351246,340881,333742,1420,3826,1868,2,23,41,41,7,61,2269,7946,7046,2893,196,999,455,213,205,825,4153,363,2467,87,1236,900,252,648,6190,330,1461,89,661,711,4176,976,475,536,624,1565,223,21240,2300,801,1499,1092,587,388,117,16641,324,8061,7490,191,575,1194,408,786,13,1202,556,321,235,23,161,462,310,152,380,2,354,279,75,24,1
"BN - Brighton",802831,756923,716032,693696,3151,11371,7740,27,47,200,340,37,103,6133,34078,30237,18127,2695,4694,2587,1679,2135,4337,12110,1252,5112,480,5266,3841,981,2860,13388,2761,2102,352,1003,747,8408,1047,62,3344,1848,2107,117,21603,4013,1701,2312,4815,2101,1712,1002,7451,1461,4081,735,659,515,5185,2103,3082,139,7782,4110,2452,1658,265,2358,1049,320,729,3130,0,3074,2095,979,56,5
"BR - Bromley",299293,273639,258911,251876,1056,3763,2181,9,26,24,36,6,29,2992,11641,9461,4843,810,1173,861,297,454,1248,4618,519,1524,391,2184,2180,579,1601,8923,712,3566,713,2176,677,4570,757,98,1616,723,1376,75,10995,1157,454,703,1816,707,714,395,5955,532,3225,462,1509,227,1991,717,1274,76,4518,1272,861,411,79,1171,1996,1384,612,1216,0,1202,763,439,14,2
"BS - Bristol",940241,885518,846083,807796,3343,11035,23770,41,98,158,243,46,145,5112,33731,31093,14135,2042,4474,1820,759,1469,3571,16958,929,9934,864,5231,2638,648,1990,17383,1337,3107,448,1462,1197,12819,1183,4967,2963,1644,2062,120,24941,3089,900,2189,4805,2395,1622,788,11774,1328,6245,3229,611,361,5194,1520,3674,79,9828,3549,2163,1386,224,1608,4447,3705,742,2571,0,2485,1712,773,86,0
