
"QS416EW - Car or van availability"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All households; All cars or vans"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","All categories: Car or van availability","No cars or vans in household","1 car or van in household","2 cars or vans in household","3 cars or vans in household","4 or more cars or vans in household","sum of All cars or vans in the area"

"AL - St Albans",99381,16385,41980,31256,7058,2702,137663
"B - Birmingham",751008,223018,308442,169709,37296,12543,815300
"BA - Bath",183389,33918,79423,53064,12220,4764,243510
"BB - Blackburn",202156,55409,88400,46253,9268,2826,221253
"BD - Bradford",223923,65871,96676,49146,9270,2960,236079
"BH - Bournemouth",242868,46081,106263,67831,16379,6314,319295
"BL - Bolton",160166,42503,68703,39833,7155,1972,178522
"BN - Brighton",356346,96784,158069,79108,16547,5838,392244
"BR - Bromley",125000,27263,57498,30685,7027,2527,151134
"BS - Bristol",398258,84741,172253,108393,23910,8961,500647
"CA - Carlisle",140639,30185,61816,37320,8417,2901,174766
"CB - Cambridge",167769,31621,71715,49279,10974,4180,221992
"CH - Chester",285835,67580,122197,75475,15706,4877,341803
"CM - Chelmsford",270005,42637,110763,86231,21523,8851,387355
"CO - Colchester",176926,35718,76845,48178,11544,4641,228864
"CR - Croydon",159003,48035,69080,32125,7209,2554,166414
"CT - Canterbury",206231,52797,90648,48323,10639,3824,236383
"CV - Coventry",341799,79421,141407,92810,20813,7348,422194
"CW - Crewe",130777,21782,53882,42000,9671,3442,182228
"DA - Dartford",173530,37588,77109,44325,10642,3866,214642
"DE - Derby",306789,66903,129433,85817,18337,6299,384102
"DH - Durham",132873,36038,57369,31335,6272,1859,147119
"DL - Darlington",156929,37977,68468,39347,8437,2700,184685
"DN - Doncaster",320177,80216,138741,79113,16785,5322,371083
"DT - Dorchester",93219,16246,41308,26611,6601,2453,125427
"DY - Dudley",171537,37900,71114,47291,11226,4006,217152
"E - London E",371209,198126,135954,30227,5393,1509,219483
"EC - London EC",16712,12051,4000,524,98,39,5541
"EN - Enfield",137752,31291,60077,34429,8665,3290,169396
"EX - Exeter",235920,43641,105652,64540,15723,6364,311010
"FY - Blackpool",125975,37405,55652,25961,5295,1662,130831
"GL - Gloucester",257740,43516,107158,80024,19502,7540,359759
"GU - Guildford",288291,36478,111740,102731,26483,10859,445413
"HA - Harrow",169235,42179,73063,41083,9864,3046,198051
"HD - Huddersfield",111708,29392,46900,28218,5451,1747,127425
"HG - Harrogate",59524,10456,25926,18103,3736,1303,79168
"HP - Hemel Hempstead",195820,28839,77404,66937,16165,6475,288776
"HR - Hereford",75480,12671,31714,22599,5953,2543,106312
"HU - Hull",191829,57956,82488,40992,7940,2453,199235
"HX - Halifax",69055,19143,29849,16128,3014,921,75252
"IG - Ilford",119693,34660,51995,25044,6045,1949,128809
"IP - Ipswich",252903,43059,109314,75756,17978,6796,345478
"KT - Kingston upon Thames",215019,35700,93537,64487,15450,5845,294884
"L - Liverpool",370832,145360,147136,63559,11666,3111,323015
"LA - Lancaster",143130,32114,65525,35423,7473,2595,170418
"LE - Leicester",391690,86387,162872,109501,24635,8295,492648
"LN - Lincoln",126445,23633,57809,34849,7535,2619,161940
"LS - Leeds",330485,103485,137120,72951,12820,4109,339799
"LU - Luton",129087,28467,55348,34704,7863,2705,160295
"M - Manchester",492832,178251,209151,87161,14367,3902,443818
"ME - Medway",245899,47137,102615,72522,17067,6558,328054
"MK - Milton Keynes",202910,35880,83752,63248,14735,5295,278248
"N - London N",345384,171321,129334,35597,6942,2190,231135
"NE - Newcastle upon Tyne",510129,168906,215224,102032,18699,5268,498973
"NG - Nottingham",493006,131500,210366,119752,23881,7507,555141
"NN - Northampton",272410,52911,112524,81947,18531,6497,360998
"NR - Norwich",315586,63376,142248,83644,19204,7114,399159
"NW - London NW",221382,108460,82742,24113,4640,1427,151283
"OL - Oldham",188327,58253,80053,40615,7369,2037,192579
"OX - Oxford",242290,43500,101064,73284,17669,6773,331137
