
"QS415EW - Central heating"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All household spaces with at least one usual resident"
"Units      :","Household spaces"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","All categories: Type of central heating in household","No central heating","Gas central heating","Electric (including storage heaters) central heating","Oil central heating","Solid fuel (for example wood, coal) central heating","Other central heating","Two or more types of central heating"

"AL - St Albans",99381,1261,85667,6744,1105,156,868,3580
"B - Birmingham",751008,25001,603892,65195,5494,1332,19350,30744
"BA - Bath",183389,5020,128503,20948,16880,2214,1306,8518
"BB - Blackburn",202156,8776,168875,9190,2936,1087,2581,8711
"BD - Bradford",223923,11998,179960,14476,2578,821,4496,9594
"BH - Bournemouth",242868,6533,196077,25414,3795,900,2075,8074
"BL - Bolton",160166,4586,137721,9748,689,344,1796,5282
"BN - Brighton",356346,12012,282568,37959,7385,963,3905,11554
"BR - Bromley",125000,2449,109944,7031,384,90,1554,3548
"BS - Bristol",398258,9016,319011,38987,11995,1634,4707,12908
"CA - Carlisle",140639,4345,98843,9446,14109,3840,1391,8665
"CB - Cambridge",167769,3076,120958,14495,19677,989,1648,6926
"CH - Chester",285835,7332,240980,14033,9875,1421,2985,9209
"CM - Chelmsford",270005,4645,208073,23473,20357,1301,2538,9618
"CO - Colchester",176926,3811,126817,18849,17583,1098,1400,7368
"CR - Croydon",159003,4107,131891,11697,390,124,3915,6879
"CT - Canterbury",206231,5533,168846,16702,4668,1048,2137,7297
"CV - Coventry",341799,8821,271864,30206,10908,2031,4297,13672
"CW - Crewe",130777,3436,105949,6048,7686,1257,1210,5191
"DA - Dartford",173530,4323,147304,12890,1319,242,2101,5351
"DE - Derby",306789,8777,251692,18054,7964,4529,3095,12678
"DH - Durham",132873,926,117299,4100,1722,2478,945,5403
"DL - Darlington",156929,2345,119890,8042,12865,3466,1351,8970
"DN - Doncaster",320177,6233,269238,11637,12655,5819,3336,11259
"DT - Dorchester",93219,3290,61221,10085,11556,1171,750,5146
"DY - Dudley",171537,5901,140787,11874,3417,959,2053,6546
"E - London E",371209,10960,273205,49941,1036,182,15873,20012
"EC - London EC",16712,610,9091,4379,228,7,1844,553
"EN - Enfield",137752,3328,111885,14478,537,129,2328,5067
"EX - Exeter",235920,12390,148689,27492,28346,4029,2225,12749
"FY - Blackpool",125975,5258,102572,12317,507,296,1154,3871
"GL - Gloucester",257740,7002,186351,24553,22377,3138,2338,11981
"GU - Guildford",288291,4611,234929,23595,9580,982,3108,11486
"HA - Harrow",169235,2921,143153,12402,235,59,3636,6829
"HD - Huddersfield",111708,5688,92988,5959,778,665,1503,4127
"HG - Harrogate",59524,1530,46539,3635,3899,551,628,2742
