
"QS702EW - Distance travelled to work"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Analysis   :","standard"
"Population :","All usual residents aged 16 to 74 in employment the week before the census"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","All categories: Distance travelled to work","Less than 2km","2km to less than 5km","5km to less than 10km","10km to less than 20km","20km to less than 30km","30km to less than 40km","40km to less than 60km","60km and over","Work mainly at or from home","Other","Total distance (km)","Average distance (km)"

"AL - St Albans",124273,19009,16012,16868,17225,11780,13759,2809,2153,14778,9880,1644015.9,16.5
"B - Birmingham",814223,117346,175719,187125,120877,35537,13101,8840,23595,68659,63424,8799833.9,12.9
"BA - Bath",212927,47544,33789,24043,32803,11952,6386,4122,7339,27564,17385,2606620.8,15.5
"BB - Blackburn",215099,45302,44557,34478,30481,11119,6628,3955,4257,19183,15139,2378423.0,13.2
"BD - Bradford",247719,44971,55547,47756,37433,9313,3035,3780,5527,22807,17550,2683750.5,12.9
"BH - Bournemouth",260110,45595,58541,47089,28192,6405,5400,5058,9654,30515,23661,3020775.0,14.7
"BL - Bolton",172972,29234,37485,30112,30021,11106,2308,1817,3612,14804,12473,1938960.3,13.3
"BN - Brighton",385165,78581,73035,41559,45147,17460,12011,8307,25117,47105,36843,5256451.9,17.5
"BR - Bromley",144245,15328,19274,20215,44060,12088,2058,1084,1754,14742,13642,1576147.7,13.6
"BS - Bristol",466676,87094,100414,87068,62560,16076,7073,6789,15767,45689,38146,5408209.2,14.1
"CA - Carlisle",156466,32491,26389,20172,24147,10133,4083,4101,5350,19574,10026,2129657.9,16.8
"CB - Cambridge",216100,37617,34717,27957,33512,18227,5234,5828,11614,25989,15405,2928841.1,16.8
"CH - Chester",305098,47521,58058,60389,50198,17019,6074,7392,10256,26814,21377,4116500.2,16.0
"CM - Chelmsford",330078,49174,41622,33937,50430,30019,22931,27088,8754,35573,30550,4996759.0,18.9
"CO - Colchester",188920,34252,29305,21152,24434,14576,5685,4724,15111,21790,17891,2905869.5,19.5
"CR - Croydon",194464,25573,28158,33628,46992,14762,2402,1747,3053,17919,20230,2110093.3,13.5
"CT - Canterbury",209968,43394,33557,26399,24502,16441,4581,5124,13958,22688,19324,3191058.4,19.0
"CV - Coventry",388657,65572,80770,61148,56972,26730,10739,7357,13486,38767,27116,4700036.7,14.6
"CW - Crewe",150793,25997,23133,21197,24702,11926,7277,3778,4690,17601,10492,2065079.9,16.8
"DA - Dartford",208397,24001,30954,32583,44672,21915,9366,2826,3231,16667,22182,2563482.9,15.1
"DE - Derby",348056,60143,71792,56002,56048,19795,8541,7616,10405,33506,24208,4124784.7,14.2
"DH - Durham",138714,20813,20768,27768,31074,10323,2752,948,3401,11988,8879,1949581.6,16.5
"DL - Darlington",169875,35754,26397,19867,27136,14100,5862,3909,5592,19499,11759,2477767.6,17.9
"DN - Doncaster",343634,62030,69299,54702,47614,21067,11617,8838,12585,29871,26011,4679357.8,16.3
"DT - Dorchester",99446,21262,12060,12176,14034,6550,3508,2002,3805,15089,8960,1315826.2,17.5
"DY - Dudley",186459,30726,42660,34058,27737,10514,3296,2281,4298,17026,13863,1953833.5,12.6
"E - London E",456862,60633,84023,109548,84369,9976,3637,3293,6322,35316,59745,3859140.4,10.7
"EC - London EC",17821,7249,4222,1776,639,158,77,100,260,2009,1331,94144.3,6.5
"EN - Enfield",161168,20849,21303,25865,40169,14101,2396,1332,2040,15516,17597,1674540.3,13.1
"EX - Exeter",258695,56453,38725,27427,39832,14327,4982,4815,8555,40825,22754,3187784.1,16.3
"FY - Blackpool",120635,26559,29240,20118,9945,5628,1595,1819,3301,12398,10032,1281170.1,13.0
"GL - Gloucester",304634,55255,51918,42782,45097,18596,8156,8220,11722,38264,24624,3786230.4,15.7
"GU - Guildford",373389,54339,49557,51660,54499,27549,18066,24157,11043,49597,32922,5072528.2,17.4
"HA - Harrow",230514,26126,34095,39629,57030,16573,2528,1738,2887,22767,27141,2289404.7,12.7
"HD - Huddersfield",123528,19076,25781,23780,17657,9300,3001,1430,2726,12170,8607,1392842.0,13.6
"HG - Harrogate",71411,16618,12338,6508,8755,6443,2381,1009,2235,10060,5064,909128.2,16.2
"HP - Hemel Hempstead",246487,38689,33097,28866,34536,20497,16523,15341,4934,31345,22659,3265711.1,17.0
"HR - Hereford",86957,17960,13016,9473,11122,5691,2215,1917,3416,14307,7840,1062097.1,16.4
"HU - Hull",200921,35598,50310,40098,25519,6709,3167,3065,7101,15309,14045,2359413.2,13.8
"HX - Halifax",75657,13676,18568,13893,9201,4003,1599,820,1346,7355,5196,748658.1,11.9
"IG - Ilford",146642,15147,18013,23337,46440,7487,1871,1261,2105,13180,17801,1570590.6,13.6
"IP - Ipswich",291174,54804,45146,36658,44862,20432,10655,8043,12871,34163,23540,4008059.0,17.2
"KT - Kingston upon Thames",268519,33604,39558,40633,53917,29618,7527,2490,3234,33799,24139,2880948.0,13.7
"L - Liverpool",368569,63112,79581,86049,51692,12331,5478,7361,9388,24931,28646,4425792.2,14.1
"LA - Lancaster",154010,38393,28772,19065,14285,7371,6077,2758,6409,19215,11665,1939671.1,15.8
"LE - Leicester",463892,84995,91249,82304,65338,25803,11666,10059,14730,45904,31844,5318069.6,13.8
"LN - Lincoln",136058,25698,21562,20295,17733,10920,4268,4069,5443,15709,10361,1905084.1,17.3
"LS - Leeds",366132,58077,76634,83135,56467,15075,4177,4596,10602,32225,25144,4260089.8,13.8
"LU - Luton",156964,28010,28093,17777,22228,12334,4902,11235,3777,13641,14967,2067047.4,16.1
"M - Manchester",526258,90762,121527,130691,63743,12722,6216,7905,12359,39823,40510,5489559.3,12.3
"ME - Medway",294301,44994,48363,37605,41762,18887,11255,25073,9935,27899,28528,4405905.0,18.5
"MK - Milton Keynes",256349,36744,51467,41713,31073,16241,6194,7433,17083,27916,20485,3462593.3,16.7
"N - London N",414534,42411,83909,112679,69607,7739,2489,2201,5102,41942,46455,3280328.5,10.1
"NE - Newcastle upon Tyne",528338,91218,110095,109855,84926,21472,7528,7466,15516,43111,37151,7452163.8,16.6
"NG - Nottingham",534674,91042,108114,98664,72718,30874,12795,8959,22343,49925,39240,6920780.6,15.5
"NN - Northampton",330323,56959,63150,46920,48046,24165,9669,7909,15961,32585,24959,4448270.3,16.3
"NR - Norwich",331503,58938,58889,47720,48380,23595,11099,5725,10946,36533,29678,4324138.1,16.3
"NW - London NW",263980,30159,53520,73845,34178,4314,1489,1479,3117,30671,31208,1933666.7,9.6
"OL - Oldham",198935,38548,44434,34894,30914,8830,3529,2658,3701,16018,15409,2024039.3,12.1
"OX - Oxford",315024,61280,48901,43280,45399,21684,9917,7812,14990,37928,23833,3942461.5,15.6
"PE - Peterborough",425649,77457,65604,54049,63608,34733,14039,12846,22021,46884,34408,6225583.0,18.1
"PL - Plymouth",250866,48651,48573,45987,26522,9202,4546,6014,9336,28978,23057,3727627.4,18.7
"PO - Portsmouth",384382,75233,70431,70327,48872,16637,6045,7248,15351,38028,36210,4515021.3,14.6
"PR - Preston",250871,44936,52286,39690,37646,16184,7389,5289,5268,24728,17455,2946615.2,14.1
