
"QS601EW - Economic activity"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All usual residents aged 16 to 74"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","All categories: Economic activity","Economically active: Total","Economically active: Employee: Part-time","Economically active: Employee: Full-time","Economically active: Self-employed with employees: Part-time","Economically active: Self-employed with employees: Full-time","Economically active: Self-employed without employees: Part-time","Economically active: Self-employed without employees: Full-time","Economically active: Unemployed","Economically active: Full-time student","Economically inactive: Total","Economically inactive: Retired","Economically inactive: Student (including full-time students)","Economically inactive: Looking after home or family","Economically inactive: Long-term sick or disabled","Economically inactive: Other"

"AL - St Albans",180961,131513,23287,74435,687,3744,5805,9851,5415,8289,49448,20993,13462,8124,4177,2692
"B - Birmingham",1363116,912221,183181,490972,5102,20103,27895,51212,83471,50285,450895,172029,100865,73854,63508,40639
"BA - Bath",316569,224340,48279,119624,1223,6185,10374,18191,9309,11155,92229,46496,19944,11382,9721,4686
"BB - Blackburn",351635,234005,49209,128056,1499,6392,7782,14419,16450,10198,117630,51627,16490,18028,22153,9332
"BD - Bradford",408104,274299,58954,142696,1892,7147,9673,17593,22787,13557,133805,50924,24656,25492,19607,13126
"BH - Bournemouth",398018,275378,58821,145881,1700,7718,11972,22248,12591,14447,122640,68010,19548,14773,13977,6332
"BL - Bolton",276700,187980,38513,104838,1170,4916,5921,11480,12910,8232,88720,41498,13608,12288,14989,6337
"BN - Brighton",585611,410984,84347,210470,2460,11603,20819,37626,20453,23206,174627,86264,34180,21425,22846,9912
"BR - Bromley",213478,153503,28363,86931,940,4626,6564,12694,8060,5325,59975,29705,10146,10499,5661,3964
"BS - Bristol",692383,496499,103051,277511,2203,11295,16838,33884,24356,27361,195884,90574,42580,25059,25332,12339
"CA - Carlisle",235255,165744,38066,89059,1058,5684,5125,12559,8199,5994,69511,40942,7376,7161,10581,3451
"CB - Cambridge",314413,226515,41334,133448,1074,5970,9139,15769,8698,11083,87898,34931,29199,11376,7236,5156
"CH - Chester",482300,329519,72234,184125,1569,8092,9491,18377,21274,14357,152781,79895,21750,17695,25186,8255
"CM - Chelmsford",474796,349043,68742,197331,1907,9969,13697,28294,16702,12401,125753,66687,17615,22054,12105,7292
"CO - Colchester",297937,202329,43366,106396,1089,5697,8318,16744,11284,9435,95608,52295,14320,12777,11354,4862
"CR - Croydon",293894,212384,37622,117560,1287,5348,8235,16321,14947,11064,81510,30227,18200,15180,9938,7965
"CT - Canterbury",348618,229219,48737,116055,1307,6412,9101,17714,15314,14579,119399,58283,23578,15001,15504,7033
"CV - Coventry",603666,419703,81910,238921,1895,9493,13251,25792,25439,23002,183963,83960,43199,22857,22028,11919
"CW - Crewe",227499,160535,33390,90732,888,4557,5613,10250,8377,6728,66964,37717,9374,8532,7974,3367
"DA - Dartford",309655,224379,43666,127238,1015,5420,6923,17348,13614,9155,85276,40829,14173,14534,9648,6092
"DE - Derby",533146,373993,78820,211561,1788,8767,11606,23151,22289,16011,159153,81147,23796,22431,21735,10044
"DH - Durham",233036,149887,30795,87478,629,3350,3487,7143,9654,7351,83149,38768,17797,8157,13608,4819
"DL - Darlington",265371,182707,37769,104506,917,5353,4968,11807,11734,5653,82664,44701,9066,10126,13428,5343
"DN - Doncaster",552137,376719,85216,207719,1827,8914,9901,20518,29735,12889,175418,88609,21094,25259,27052,13404
"DT - Dorchester",153527,104380,24169,52896,738,3690,5470,9559,4353,3505,49147,29971,5303,5556,5365,2952
"DY - Dudley",298302,203677,44124,111881,990,4809,6232,12976,15454,7211,94625,49522,12075,13473,13491,6064
"E - London E",745455,518901,81050,267114,3868,11768,21009,41443,49616,43033,226554,46682,69260,47923,32235,30454
"EC - London EC",27771,19461,1827,11729,94,825,730,1833,1226,1197,8310,1625,4078,914,1011,682
"EN - Enfield",247460,175019,33369,92878,1250,5353,7570,15078,11861,7660,72441,29710,15031,13010,8334,6356
"EX - Exeter",397128,272377,62251,133823,1901,10134,13724,27199,11583,11762,124751,70593,20820,13739,13616,5983
"FY - Blackpool",199826,131550,28436,67682,765,3823,4905,10367,9633,5939,68276,37543,7229,6856,12741,3907
"GL - Gloucester",443770,321357,66464,176951,1756,9225,13812,25124,14345,13680,122413,65884,19404,16399,13377,7349
"GU - Guildford",527039,391295,70011,226780,2080,10922,17956,31504,14898,17144,135744,66909,25016,24141,10897,8781
"HA - Harrow",352825,249569,42485,133242,1952,8943,11524,21990,15656,13777,103256,36466,26676,19039,10404,10671
"HD - Huddersfield",193666,133908,27543,72474,747,3616,4530,8674,8577,7747,59758,28876,11768,7377,7767,3970
"HG - Harrogate",99942,74345,15026,41134,518,2863,3233,6247,2650,2674,25597,15454,3068,3331,2403,1341
"HP - Hemel Hempstead",351560,260305,47649,147961,1437,7179,12184,21501,11773,10621,91255,44251,15012,16773,8132,7087
"HR - Hereford",128326,91670,19614,46550,646,3481,4388,9739,4200,3052,36656,21023,4678,4427,4501,2027
"HU - Hull",327751,223437,49610,120199,1000,5143,5448,11271,19752,11014,104314,49283,18854,13630,15202,7345
"HX - Halifax",116665,82330,17231,44963,486,2257,2900,5393,5961,3139,34335,17064,4970,4861,4999,2441
"IG - Ilford",238432,163033,29255,82175,1449,5810,7350,13483,13310,10201,75399,22995,19367,16497,8248,8292
"IP - Ipswich",430051,307807,66563,171133,1780,8140,12287,22313,14616,10975,122244,69170,14117,18123,12725,8109
"KT - Kingston upon Thames",384507,282439,48039,160293,1746,8848,14305,24634,11142,13432,102068,46734,21641,19095,7794,6804
"L - Liverpool",642574,416072,85927,219482,1701,8534,9625,21532,39310,29961,226502,86747,51138,24233,47624,16760
"LA - Lancaster",243479,163233,37324,84662,1035,5229,6253,12370,7643,8717,80246,43016,15538,6934,10556,4202
"LE - Leicester",725456,500334,104219,276338,2632,12743,15819,30598,29466,28519,225122,96249,57968,30444,24776,15685
"LN - Lincoln",217424,146058,31376,78514,802,4118,5105,9902,7944,8297,71366,39158,11117,8577,8989,3525
"LS - Leeds",576050,400826,75911,222416,1972,9275,11649,22630,26814,30159,175224,72790,46604,20987,22276,12567
"LU - Luton",242224,172321,31693,95181,974,3954,5538,12185,12065,10731,69903,27650,14333,13707,8040,6173
"M - Manchester",870041,583522,106557,326626,2494,11004,15740,31289,45332,44480,286519,94177,77604,37398,53751,23589
"ME - Medway",443941,316584,62932,178876,1466,7483,10127,23934,19096,12670,127357,61248,18972,21958,15760,9419
"MK - Milton Keynes",370005,274574,49909,160773,1325,6537,9242,19118,15636,12034,95431,43638,17812,15983,10881,7117
"N - London N",641252,456919,70735,242582,3338,13759,24318,42694,36053,23440,184333,47390,53301,31954,28132,23556
"NE - Newcastle upon Tyne",865397,579931,120298,325161,2632,13500,13978,29113,43860,31389,285466,134073,54703,33146,46336,17208
"NG - Nottingham",862218,582397,121006,323079,2720,13186,17356,34256,39824,30970,279821,124653,62689,34951,39880,17648
"NN - Northampton",477734,352896,66151,208804,1514,8373,10343,23451,19458,14802,124838,63620,18325,18476,16400,8017
"NR - Norwich",524843,355866,81318,184775,1869,9749,14273,27460,20884,15538,168977,93681,22758,21870,20925,9743
"NW - London NW",414662,289674,40980,152959,2415,10429,16822,28802,21431,15836,124988,30583,39559,23017,16999,14830
"OL - Oldham",332225,220319,45005,120749,1371,5336,6745,13340,18601,9172,111906,45944,17088,18038,21111,9725
"OX - Oxford",453551,329865,60825,194500,1581,8306,13197,22996,12366,16094,123686,52562,37038,16442,10068,7576
"PE - Peterborough",647491,454616,92407,260426,2444,12322,15096,31071,25688,15162,192875,106127,21487,27972,24560,12729
"PL - Plymouth",400348,268410,60313,137840,1600,7991,10773,21387,14542,13964,131938,67804,23249,15363,18544,6978
"PO - Portsmouth",598098,412641,87374,222752,1957,10058,15053,30493,22688,22266,185457,96802,32566,23546,21433,11110
"PR - Preston",383248,267431,55745,149880,1395,7486,7989,16923,13419,14594,115817,60480,18265,12534,16489,8049
"RG - Reading",570967,432199,75141,261755,1742,9777,15897,30978,18885,18024,138768,67571,24887,24646,12465,9199
"RH - Redhill",383824,288256,54998,165846,1553,7759,13008,23272,11615,10205,95568,49841,13770,16903,9088,5966
"RM - Romford",367187,261471,49311,145376,1328,6072,8133,19865,20317,11069,105716,43574,18495,20604,14052,8991
"S - Sheffield",1003790,668472,147361,360082,3108,14825,18610,39802,48136,36548,335318,153215,66260,41876,53928,20039
"SE - London SE",746466,544240,81086,304072,2752,12001,20985,41402,46141,35801,202226,52661,60387,32241,32243,24694
