
"QS211EW - Ethnic group (detailed)"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","All categories: Ethnic group","White: English/Welsh/Scottish/Northern Irish/British","White: Irish","White: Gypsy or Irish Traveller","White: Afghan","White: Albanian","White: Anglo Indian","White: Argentinian","White: Australian/New Zealander","White: Baltic States","White: Bosnian","White: Brazilian","White: British Asian","White: Burmese","White: Chilean","White: Colombian","White: Commonwealth of (Russian) Independent States","White: Croatian","White: Cuban","White: Cypriot (part not stated)","White: Ecuadorian","White: European Mixed","White: Filipino","White: Greek","White: Greek Cypriot","White: Iranian","White: Israeli","White: Italian","White: Japanese","White: Kashmiri","White: Kosovan","White: Kurdish","White: Latin/South/Central American","White: Malaysian","White: Mexican","White: Moroccan","White: Multi-ethnic islands","White: Nepalese (includes Gurkha)","White: Nigerian","White: North African","White: North American","White: Other Eastern European","White: Other Middle East","White: Other Western European","White: Peruvian","White: Polish","White: Polynesia/Micronesia/Melanesia","White: Serbian","White: Somali","White: Somalilander","White: Sri Lankan","White: Tamil","White: Thai","White: Turkish","White: Turkish Cypriot","White: Venezuelan","White: Vietnamese","White: White African","White: White Caribbean","White: Any other ethnic group","Mixed/multiple ethnic group: White and Black Caribbean","Mixed/multiple ethnic group: White and Black African","Mixed/multiple ethnic group: White and Asian","Mixed/multiple ethnic group: Afghan","Mixed/multiple ethnic group: African/Arab","Mixed/multiple ethnic group: Albanian","Mixed/multiple ethnic group: Anglo Indian","Mixed/multiple ethnic group: Australian/New Zealander","Mixed/multiple ethnic group: Baltic States","Mixed/multiple ethnic group: Black and Asian","Mixed/multiple ethnic group: Black and Chinese","Mixed/multiple ethnic group: Black and White","Mixed/multiple ethnic group: Black British","Mixed/multiple ethnic group: Black European","Mixed/multiple ethnic group: Black/African American","Mixed/multiple ethnic group: Brazilian","Mixed/multiple ethnic group: British Asian","Mixed/multiple ethnic group: Burmese","Mixed/multiple ethnic group: Caribbean Asian","Mixed/multiple ethnic group: Chilean","Mixed/multiple ethnic group: Chinese and White","Mixed/multiple ethnic group: Colombian","Mixed/multiple ethnic group: Commonwealth of (Russian) Independent States","Mixed/multiple ethnic group: Cuban","Mixed/multiple ethnic group: Cypriot (part not stated)","Mixed/multiple ethnic group: East African Asian","Mixed/multiple ethnic group: Ecuadorian","Mixed/multiple ethnic group: European Mixed","Mixed/multiple ethnic group: Filipino","Mixed/multiple ethnic group: Greek","Mixed/multiple ethnic group: Greek Cypriot","Mixed/multiple ethnic group: Indonesian","Mixed/multiple ethnic group: Iranian","Mixed/multiple ethnic group: Israeli","Mixed/multiple ethnic group: Italian","Mixed/multiple ethnic group: Japanese","Mixed/multiple ethnic group: Kashmiri","Mixed/multiple ethnic group: Korean","Mixed/multiple ethnic group: Kosovan","Mixed/multiple ethnic group: Kurdish","Mixed/multiple ethnic group: Latin/South/Central American","Mixed/multiple ethnic group: Malaysian","Mixed/multiple ethnic group: Mexican","Mixed/multiple ethnic group: Moroccan","Mixed/multiple ethnic group: Multi-ethnic islands","Mixed/multiple ethnic group: Nepalese (includes Gurkha)","Mixed/multiple ethnic group: Nigerian","Mixed/multiple ethnic group: North African","Mixed/multiple ethnic group: North American","Mixed/multiple ethnic group: Other Eastern European","Mixed/multiple ethnic group: Other Middle East","Mixed/multiple ethnic group: Other Western European","Mixed/multiple ethnic group: Peruvian","Mixed/multiple ethnic group: Polish","Mixed/multiple ethnic group: Polynesia/Micronesia/Melanesia","Mixed/multiple ethnic group: Somali","Mixed/multiple ethnic group: South Asian and Chinese","Mixed/multiple ethnic group: Sri Lankan","Mixed/multiple ethnic group: Tamil","Mixed/multiple ethnic group: Thai","Mixed/multiple ethnic group: Turkish","Mixed/multiple ethnic group: Turkish Cypriot","Mixed/multiple ethnic group: Venezuelan","Mixed/multiple ethnic group: Vietnamese","Mixed/multiple ethnic group: White African","Mixed/multiple ethnic group: White and Arab","Mixed/multiple ethnic group: White and East Asian","Mixed/multiple ethnic group: White and North African or Middle Eastern","Mixed/multiple ethnic group: White and South Asian","Mixed/multiple ethnic group: White Caribbean","Mixed/multiple ethnic group: Any other ethnic group","Asian/Asian British: Indian or British Indian","Asian/Asian British: Pakistani or British Pakistani","Asian/Asian British: Bangladeshi, British Bangladeshi","Asian/Asian British: Chinese","Asian/Asian British: Afghan","Asian/Asian British: Anglo Indian","Asian/Asian British: British Asian","Asian/Asian British: Burmese","Asian/Asian British: Cambodia","Asian/Asian British: Caribbean Asian","Asian/Asian British: Commonwealth of (Russian) Independent States","Asian/Asian British: East African Asian","Asian/Asian British: European Mixed","Asian/Asian British: Filipino","Asian/Asian British: Indonesian","Asian/Asian British: Iranian","Asian/Asian British: Italian","Asian/Asian British: Japanese","Asian/Asian British: Kashmiri","Asian/Asian British: Korean","Asian/Asian British: Kurdish","Asian/Asian British: Latin/South/Central American","Asian/Asian British: Malaysian","Asian/Asian British: Multi-ethnic islands","Asian/Asian British: Nepalese (includes Gurkha)","Asian/Asian British: North American","Asian/Asian British: Other Eastern European","Asian/Asian British: Other Middle East","Asian/Asian British: Other Western European","Asian/Asian British: Polynesia/Micronesia/Melanesia","Asian/Asian British: Punjabi","Asian/Asian British: Sinhalese","Asian/Asian British: Somali","Asian/Asian British: Sri Lankan","Asian/Asian British: Taiwanese","Asian/Asian British: Tamil","Asian/Asian British: Thai","Asian/Asian British: Turkish","Asian/Asian British: Turkish Cypriot","Asian/Asian British: Vietnamese","Asian/Asian British: Any other ethnic group","Black/African/Caribbean/Black British: African","Black/African/Caribbean/Black British: Caribbean","Black/African/Caribbean/Black British: Afghan","Black/African/Caribbean/Black British: African/Arab","Black/African/Caribbean/Black British: Black British","Black/African/Caribbean/Black British: Black European","Black/African/Caribbean/Black British: Black/African American","Black/African/Caribbean/Black British: Brazilian","Black/African/Caribbean/Black British: Caribbean Asian","Black/African/Caribbean/Black British: Colombian","Black/African/Caribbean/Black British: Cuban","Black/African/Caribbean/Black British: European Mixed","Black/African/Caribbean/Black British: Filipino","Black/African/Caribbean/Black British: Italian","Black/African/Caribbean/Black British: Latin/South/Central American","Black/African/Caribbean/Black British: Moroccan","Black/African/Caribbean/Black British: Multi-ethnic islands","Black/African/Caribbean/Black British: Nigerian","Black/African/Caribbean/Black British: North African","Black/African/Caribbean/Black British: North American","Black/African/Caribbean/Black British: Other Western European","Black/African/Caribbean/Black British: Polynesia/Micronesia/Melanesia","Black/African/Caribbean/Black British: Somali","Black/African/Caribbean/Black British: Somalilander","Black/African/Caribbean/Black British: Sri Lankan","Black/African/Caribbean/Black British: Any other ethnic group","Other ethnic group: Arab","Other ethnic group: Afghan","Other ethnic group: African/Arab","Other ethnic group: Albanian","Other ethnic group: Anglo Indian","Other ethnic group: Australian/New Zealander","Other ethnic group: Baltic States","Other ethnic group: Bosnian","Other ethnic group: Brazilian","Other ethnic group: Burmese","Other ethnic group: Caribbean Asian","Other ethnic group: Chilean","Other ethnic group: Colombian","Other ethnic group: Commonwealth of (Russian) Independent States","Other ethnic group: Cypriot (part not stated)","Other ethnic group: Ecuadorian","Other ethnic group: European Mixed","Other ethnic group: Filipino","Other ethnic group: Greek","Other ethnic group: Greek Cypriot","Other ethnic group: Indonesian","Other ethnic group: Iranian","Other ethnic group: Israeli","Other ethnic group: Italian","Other ethnic group: Japanese","Other ethnic group: Kashmiri","Other ethnic group: Korean","Other ethnic group: Kosovan","Other ethnic group: Kurdish","Other ethnic group: Latin/South/Central American","Other ethnic group: Malaysian","Other ethnic group: Mexican","Other ethnic group: Moroccan","Other ethnic group: Multi-ethnic islands","Other ethnic group: Nepalese (includes Gurkha)","Other ethnic group: North African","Other ethnic group: North American","Other ethnic group: Other Eastern European","Other ethnic group: Other Middle East","Other ethnic group: Other Western European","Other ethnic group: Peruvian","Other ethnic group: Polish","Other ethnic group: Polynesia/Micronesia/Melanesia","Other ethnic group: Punjabi","Other ethnic group: Somali","Other ethnic group: Somalilander","Other ethnic group: Sri Lankan","Other ethnic group: Tamil","Other ethnic group: Thai","Other ethnic group: Turkish","Other ethnic group: Turkish Cypriot","Other ethnic group: Vietnamese","Other ethnic group: Any other ethnic group"

"AL - St Albans",250427,198406,4185,318,1,46,11,13,633,277,21,103,2,1,5,9,340,25,1,107,0,1530,5,257,220,38,26,919,1,0,19,8,78,0,6,20,11,0,2,20,612,998,9,2430,3,2660,1,54,0,0,5,1,0,175,38,0,1,28,2,2031,1875,828,2335,0,0,2,17,1,1,28,0,68,12,0,2,18,5,3,18,0,166,1,2,2,12,8,1,51,16,16,4,0,19,0,23,2,1,1,0,1,36,9,4,22,70,0,1,23,2,10,3,56,1,11,8,0,10,9,2,3,31,2,3,0,17,54,37,9,11,14,732,5661,1891,3091,3058,67,19,91,38,3,10,16,11,0,736,26,140,0,173,33,84,1,2,140,445,62,0,1,12,7,1,6,24,0,1035,9,86,163,12,0,97,348,5102,1614,0,0,336,2,13,1,12,0,0,0,1,0,6,15,29,8,3,5,6,1,1,0,1,177,1019,10,4,2,0,1,0,0,6,1,1,2,0,9,14,4,17,41,19,46,0,163,4,3,9,0,0,1,10,92,6,6,54,109,5,54,3,5,31,14,1,12,2,0,0,0,2,1,1,66,31,3,170
"B - Birmingham",1904658,1251770,31020,780,122,316,21,18,622,2170,203,157,40,1,32,14,1015,55,8,320,2,5489,25,832,598,227,21,1404,1,27,205,205,170,7,18,5,11,3,2,113,1117,4330,112,4817,3,15983,4,223,71,13,4,3,14,440,50,5,9,52,31,5858,35104,4238,15332,70,19,8,66,4,16,692,33,845,219,10,18,52,32,1,151,8,447,3,11,6,16,29,0,155,62,57,12,8,115,1,64,9,29,5,6,43,145,7,20,17,116,0,0,90,24,163,62,210,6,66,23,39,34,14,1,16,105,9,0,42,42,463,78,56,132,46,5871,102675,164441,38345,15273,4471,68,1620,149,9,68,77,689,5,3195,208,1740,2,342,7448,559,675,7,540,359,445,3,1,929,44,21,352,44,29,1745,107,182,784,68,4,1928,10848,35146,61143,9,7,10791,26,64,6,85,2,2,25,7,4,50,6,81,38,50,29,168,10,4754,480,2,5152,13178,332,191,27,1,6,30,18,33,7,29,12,3,28,71,0,113,300,53,125,20,1192,7,22,15,77,33,53,1890,280,55,19,49,195,23,323,2,273,857,140,14,98,48,6,784,52,11,3,29,223,69,67,7455
"BA - Bath",434166,399233,2316,468,0,20,4,19,595,252,5,54,1,1,12,13,319,10,2,71,0,1738,3,169,23,28,7,784,4,0,10,5,65,2,13,5,8,3,0,17,785,945,11,2931,1,4747,4,32,0,0,0,0,4,110,6,3,0,34,3,1860,1829,672,1724,0,0,0,16,3,0,9,1,52,10,0,9,8,0,3,1,0,72,2,4,0,1,0,1,36,8,4,1,0,8,0,18,5,0,3,0,0,64,3,5,1,22,4,0,9,13,3,4,41,1,10,25,0,2,1,0,9,19,1,1,0,12,42,14,8,16,5,747,1787,256,427,2565,12,17,13,24,1,5,18,12,0,726,25,72,0,164,1,105,0,1,87,19,142,0,0,5,6,2,4,5,0,120,25,12,300,15,0,63,206,922,1060,0,1,130,0,8,0,8,1,0,0,1,0,5,2,6,2,3,3,6,48,0,0,0,100,576,0,1,0,1,1,1,0,6,1,0,1,1,10,8,0,23,18,3,8,1,74,1,9,4,0,1,0,24,63,2,8,63,13,1,27,6,4,21,14,4,9,38,0,0,0,0,0,4,56,6,0,169
"BB - Blackburn",488917,388314,2809,314,19,23,1,1,115,695,10,8,18,0,1,0,151,6,2,13,0,740,9,29,8,17,3,729,1,5,21,6,17,6,5,10,1,0,0,8,222,397,1,730,2,3238,3,11,0,0,0,0,7,42,2,2,0,12,1,986,1064,421,2678,3,1,0,1,2,2,17,0,20,3,0,1,1,6,0,1,1,30,0,2,0,0,5,0,22,6,1,3,0,9,0,16,0,10,0,1,4,11,3,1,3,20,0,0,6,3,6,1,14,0,9,13,0,1,3,0,9,26,0,0,0,7,23,16,5,18,0,581,20952,47956,6328,1730,264,5,538,24,0,5,3,80,3,539,15,170,0,47,521,13,40,1,69,38,47,1,5,40,25,0,0,1,0,287,3,4,217,43,0,31,578,903,473,0,0,65,1,6,1,4,0,0,0,0,0,3,0,5,4,1,1,2,0,5,0,0,72,826,19,12,0,0,0,2,1,4,4,0,0,0,5,0,0,11,57,1,2,1,92,0,3,3,11,3,0,298,42,4,2,9,35,0,27,0,7,82,15,3,15,31,0,0,0,0,0,6,63,0,0,171
"BD - Bradford",578336,385861,2661,502,15,18,7,8,180,1542,71,12,25,1,3,1,524,16,2,53,0,1650,11,266,12,32,0,772,0,12,21,17,20,0,1,2,4,0,2,8,267,2368,38,1000,1,5419,1,81,3,0,4,0,0,62,0,0,3,14,3,1752,4855,922,5853,6,3,0,9,7,21,34,2,86,16,0,4,4,23,0,21,2,77,1,7,0,1,0,5,41,18,3,1,1,21,0,30,1,2,4,1,14,32,15,7,0,19,0,0,12,7,62,6,25,0,39,11,1,0,3,0,3,22,0,2,0,5,58,33,16,29,11,930,14266,107528,9917,2259,783,5,618,192,1,17,7,52,4,1403,33,295,1,61,1751,40,166,1,248,91,118,4,3,263,5,9,14,9,0,175,8,20,172,21,0,73,1612,5087,3661,0,0,403,2,4,0,9,0,0,0,0,0,13,0,3,7,7,2,8,0,18,0,0,231,3766,45,13,12,0,3,11,5,6,9,0,5,2,10,4,0,27,97,5,2,1,292,6,38,7,16,1,3,847,69,12,12,3,69,0,77,4,501,215,70,3,133,9,0,1,0,0,0,4,29,0,0,1400
"BH - Bournemouth",551987,500598,3207,858,3,43,11,13,431,644,9,295,11,1,8,48,500,18,2,33,0,2867,8,190,36,55,18,844,1,0,14,9,248,5,7,7,9,1,0,29,603,1420,35,4749,6,5380,0,29,0,0,0,0,5,376,4,17,1,99,1,2892,2011,1063,2767,1,0,0,25,5,0,12,1,61,3,0,2,65,3,0,3,1,111,7,0,0,3,1,0,62,7,9,8,0,31,1,31,2,0,5,0,10,180,5,6,4,46,0,0,16,20,2,7,65,3,7,19,0,3,2,0,9,41,0,2,4,18,74,31,17,13,4,1036,3428,378,1096,3033,225,33,77,23,1,1,44,15,2,1140,85,307,2,191,2,373,46,3,58,84,239,2,2,46,6,3,8,8,0,290,31,46,489,65,1,152,286,1749,589,0,0,131,4,13,6,9,0,2,1,0,1,4,3,21,0,3,1,3,15,0,0,0,84,876,11,5,1,1,2,4,0,24,0,4,1,16,28,4,0,42,45,6,6,2,213,3,3,8,0,4,0,155,240,3,13,9,40,0,57,7,2,71,38,3,7,34,0,0,0,4,0,7,121,3,0,261
"BL - Bolton",380259,309149,2734,265,18,12,2,4,104,296,67,19,7,0,1,0,219,6,0,12,0,776,1,64,18,37,6,373,0,0,37,25,21,0,2,2,4,0,0,7,156,710,13,665,2,2222,0,11,1,3,2,1,5,90,0,1,2,7,1,826,2162,850,2373,6,0,0,4,2,1,17,0,41,1,0,1,4,13,2,3,0,64,0,4,0,0,2,0,15,13,2,1,0,32,0,12,0,0,2,0,16,7,3,0,2,11,0,0,6,3,37,2,42,0,12,0,2,0,0,0,2,28,0,0,6,5,34,10,13,19,6,603,22167,18341,816,1885,695,17,341,109,2,7,2,46,0,396,5,462,2,44,173,41,149,0,25,81,30,1,1,145,8,1,1,3,0,294,1,25,142,69,0,73,469,3909,819,0,1,215,1,2,2,2,0,1,1,0,0,1,1,9,4,2,1,8,0,194,96,0,129,925,48,12,4,0,0,6,5,6,25,0,0,0,2,1,0,9,18,4,5,0,222,1,8,1,3,0,0,360,32,5,5,2,9,0,18,1,35,193,22,1,4,3,0,15,9,5,1,2,96,0,0,167
"BN - Brighton",802831,703891,7793,934,15,157,27,33,1298,1468,40,255,10,1,22,31,868,59,11,221,7,5228,7,828,186,231,26,2086,5,0,73,50,316,3,25,14,25,0,0,82,1570,2657,82,9133,12,4402,0,77,1,0,9,0,5,477,25,21,2,104,15,5306,3974,3265,5959,9,2,0,55,10,7,50,5,156,9,0,7,64,3,5,13,5,186,5,6,1,11,5,1,144,22,32,24,0,123,2,41,24,0,2,1,5,198,13,31,13,99,4,5,55,30,12,27,139,3,15,14,1,4,13,0,16,92,4,5,6,34,183,77,79,75,10,2374,5585,1157,2880,5059,267,106,90,45,14,18,53,30,2,2160,101,600,4,442,17,228,37,3,163,217,249,5,0,49,12,2,6,15,0,649,54,79,696,47,2,229,578,4806,1540,0,0,268,5,19,18,12,0,2,0,3,0,22,4,59,7,17,7,8,0,12,0,1,256,2920,27,23,3,3,3,5,0,29,6,4,3,8,32,16,1,54,77,31,41,2,593,9,9,18,3,0,1,128,268,5,23,15,68,4,215,11,7,88,67,9,16,10,0,8,0,5,6,9,192,24,3,625
"BR - Bromley",299293,235727,4126,612,1,126,15,9,617,483,16,161,4,1,12,19,549,43,3,190,6,2014,4,260,204,60,11,819,3,0,111,18,191,0,11,2,10,3,1,44,488,903,27,2457,6,1370,0,31,0,0,15,1,4,634,362,3,2,48,7,1976,3375,1180,2753,0,0,4,49,5,3,66,9,109,10,1,1,16,2,10,23,0,150,4,5,0,17,10,1,68,20,9,7,0,19,0,27,10,0,5,2,1,65,7,5,1,66,0,3,15,5,3,1,87,1,4,5,0,1,11,3,11,94,16,0,10,11,45,37,5,20,7,1240,5796,870,1107,2693,116,93,110,51,1,23,19,26,0,718,34,166,3,243,1,56,16,5,70,205,115,0,0,17,11,1,2,14,2,1758,2,289,172,24,5,179,502,8665,5548,1,2,1256,0,15,2,24,0,2,0,0,2,34,1,22,16,9,5,19,0,9,18,1,600,773,10,2,7,4,4,0,0,24,1,4,0,13,15,53,1,45,197,11,38,1,180,0,9,10,0,1,1,62,164,1,5,10,51,0,85,3,6,55,30,5,3,4,0,1,0,8,10,5,302,370,6,367
