
"LC6119EW - Former industry by sex"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All usual residents aged 16 and over not in employment the week before the census"
"Units      :","Persons"
"Date       :","2011"
"Sex        :","All persons"

"postcode areas","All categories: Former Industry","A, B, D, E Agriculture, energy and water","C Manufacturing","F Construction","G, I Distribution, hotels and restaurants","H, J Transport and communication","K, L, M, N Financial, Real Estate, Professional and Administrative activities","O, P, Q Public administration, education and health","R, S, T, U Other","Never worked"

"AL - St Albans",75148,977,7962,3182,14181,4737,11298,16460,2849,13502
"B - Birmingham",681277,9470,108120,32700,121545,33818,61955,107788,20342,185539
"BA - Bath",141124,3637,17537,6518,28314,7457,15110,36313,5588,20650
"BB - Blackburn",170422,2429,34215,8384,30039,7307,12788,32548,4381,38331
"BD - Bradford",197451,2579,27417,8846,35033,8482,17161,34747,5093,58093
"BH - Bournemouth",201370,3684,20962,11733,44958,13342,27811,46652,9067,23161
"BL - Bolton",129789,2193,20689,7250,25312,6861,11812,24910,3736,27026
"BN - Brighton",279472,5552,21444,15657,59350,18772,37713,68286,13304,39394
"BR - Bromley",95078,1302,5853,5108,15967,7073,17663,22100,4330,15682
"BS - Bristol",297572,5778,34737,15875,62232,19181,35764,65575,10905,47525
"CA - Carlisle",106653,4963,15544,6516,22728,6029,9207,24174,3520,13972
"CB - Cambridge",127745,3106,11588,5726,22932,7279,16237,31787,5486,23604
"CH - Chester",233095,4645,34221,12765,45285,13415,25214,52437,8617,36496
"CM - Chelmsford",195824,4197,22371,11890,37321,13878,31286,40845,7100,26936
"CO - Colchester",148824,3627,16222,8838,30247,11082,17661,33585,5720,21842
"CR - Croydon",123016,1390,6949,6429,21322,8508,17047,24125,4791,32455
"CT - Canterbury",184197,4709,14694,10827,38347,13734,19633,43488,7800,30965
"CV - Coventry",276586,5234,44267,12377,53765,16716,27351,52574,9383,54919
"CW - Crewe",100819,2824,16406,4946,20042,7320,11068,20583,3269,14361
"DA - Dartford",134065,2491,12953,8523,25374,9986,18561,26778,5215,24184
"DE - Derby",241911,7535,44907,13031,45864,13996,20486,47513,7805,40774
"DH - Durham",117731,4689,14633,7063,23474,5727,9815,27042,4218,21070
"DL - Darlington",125187,3699,18521,8066,24081,7022,10654,28873,4312,19959
"DN - Doncaster",268806,12255,39865,16959,55381,16509,21350,50109,8758,47620
"DT - Dorchester",77598,2449,6824,4100,15129,4499,8868,23407,3331,8991
"DY - Dudley",145719,2798,31692,9093,28383,6674,12544,25207,4427,24901
"E - London E",322594,2106,20550,11742,52413,17115,32005,42416,10420,133827
"EC - London EC",11295,68,463,350,1820,743,1769,1757,598,3727
"EN - Enfield",110663,1674,10689,5882,21008,7473,14445,19355,4422,25715
"EX - Exeter",195806,7398,18218,10174,42401,11595,21365,51861,8172,24622
"FY - Blackpool",108701,1961,11988,6086,27104,6215,10615,25442,5188,14102
"GL - Gloucester",190580,5520,24697,9916,36540,10174,22019,47457,7305,26952
"GU - Guildford",208618,3735,16774,10224,37834,16267,31963,50230,9088,32503
"HA - Harrow",153148,955,10618,6579,26613,10728,18549,24926,5316,48864
"HD - Huddersfield",88986,1340,15737,4516,17187,3605,7912,18268,2744,17677
"HG - Harrogate",41329,1357,3317,2038,8335,2118,5237,12059,1846,5022
"HP - Hemel Hempstead",140571,1993,16940,6909,26470,10129,19317,29996,5373,23444
"HR - Hereford",58193,2887,6982,3035,11332,3058,5820,14834,2244,8001
"HU - Hull",161765,3706,21923,9851,34855,9811,14279,31968,5481,29891
"HX - Halifax",51949,759,10035,2836,8497,2314,5520,10419,1553,10016
"IG - Ilford",110798,856,8330,4301,17971,7124,13680,16633,3658,38245
"IP - Ipswich",193116,7771,21652,10823,39137,14515,22442,43598,8169,25009
"KT - Kingston upon Thames",157053,2116,11000,7429,27738,12090,26218,35487,7542,27433
"L - Liverpool",338325,3955,37812,20993,67627,21128,31598,63947,14091,77174
"LA - Lancaster",119844,3832,16253,6093,25864,6091,10440,29429,4645,17197
"LE - Leicester",332136,7326,58732,15571,63720,15229,28786,59708,10194,72870
"LN - Lincoln",107934,4566,12530,6062,23397,6233,9618,26034,4041,15453
"LS - Leeds",265172,5041,30396,14962,56930,14244,28968,52169,9519,52943
"LU - Luton",105450,955,15561,4899,19692,6951,10473,16518,3154,27247
"M - Manchester",412008,5039,44443,23087,85714,24103,41572,69321,13330,105399
"ME - Medway",190192,5151,20799,12645,38924,12448,22600,37734,6863,33028
"MK - Milton Keynes",143553,2271,15505,7264,29269,10875,17471,29986,4935,25977
"N - London N",263661,1651,17010,10583,43786,16000,29863,42454,11925,90389
"NE - Newcastle upon Tyne",429329,13128,49853,27218,86337,23258,40330,93784,14904,80517
"NG - Nottingham",414275,16324,58143,22240,87367,22190,36465,79971,14407,77168
"NN - Northampton",190602,3067,31996,10257,39335,12390,20978,36673,6700,29206
"NR - Norwich",265694,9078,31285,15718,59739,15443,30243,59219,11087,33882
"NW - London NW",176599,915,7788,7076,30526,10848,22650,27538,8131,61127
"OL - Oldham",162183,1889,26417,9134,30510,8516,12732,28826,4218,39941
"OX - Oxford",181675,3461,16354,7905,34437,10242,21792,47396,8035,32053
"PE - Peterborough",298835,13466,39002,16411,62387,18835,31709,62093,10381,44551
"PL - Plymouth",196140,6450,19185,10612,44859,12145,18607,48534,8010,27738
"PO - Portsmouth",292014,5251,30180,16657,63487,18311,32034,72493,12413,41188
"PR - Preston",174309,3929,23499,9746,35689,9986,16232,41704,6215,27309
"RG - Reading",210134,3948,19635,11171,40766,18127,29735,45358,8597,32797
"RH - Redhill",151377,3064,12416,7785,27336,13682,26183,32542,6356,22013
"RM - Romford",165848,2370,17558,9841,32525,12679,22881,27374,5855,34765
"S - Sheffield",497395,18481,74888,28758,100798,25173,41300,94982,16086,96929
"SE - London SE",298160,2370,12953,14907,52722,19362,37153,55816,13180,89697
"SG - Stevenage",112951,1938,15505,6499,21708,7570,14904,23961,4415,16451
"SK - Stockport",195564,3514,29747,11101,36053,12215,22867,43784,6390,29893
"SL - Slough",107509,1407,12257,4794,18679,9966,13988,18559,4450,23409
"SM - Sutton",63892,872,4118,3840,11001,4618,9267,14479,2769,12928
"SN - Swindon",131148,3308,15743,7273,26622,9166,15990,29347,4805,18894
"SO - Southampton",217423,4303,22380,11033,46607,15439,26217,48857,8825,33762
"SP - Salisbury",67318,1819,5961,3499,12772,3929,8705,19213,2993,8427
"SR - Sunderland",100147,4792,13821,6141,20370,5190,7813,18296,3483,20241
"SS - Southend-on-Sea",173170,2962,21375,11236,34023,12404,27048,32544,6608,24970
"ST - Stoke-on-Trent",229095,6423,44022,12924,46101,12681,17658,43829,7673,37784
"SW - London SW",234927,1839,9032,9486,39835,16291,38632,43043,12782,63987
"SY - Shrewsbury",116273,5568,11207,6049,23916,6466,10936,30076,4519,17536
"TA - Taunton",111338,4427,13712,5981,22768,6206,11629,28727,4242,13646
"TD - Galashiels",6692,416,716,381,1601,376,595,1604,289,714
"TF - Telford",68833,2240,11387,3621,13215,3367,6342,14604,2241,11816
"TN - Tonbridge",225348,6187,17646,13471,42337,15392,33993,54100,10017,32205
"TQ - Torquay",106296,2943,9481,6465,26070,6367,11521,26468,4627,12354
"TR - Truro",108492,4010,9369,6166,27457,6052,10838,26646,4916,13038
"TS - Cleveland",230728,5564,31543,16311,45010,11399,21542,44616,7524,47219
"TW - Twickenham",142932,1597,9572,5531,25989,16189,18509,24850,6193,34502
"UB - Southall",121048,808,8837,5058,21751,10663,11471,16040,3831,42589
"W - London W",162059,1058,6239,6169,27123,11875,24173,25426,8403,51593
"WA - Warrington",203460,5140,31256,11760,39808,13440,22342,40210,6304,33200
"WC - London WC",15967,91,404,341,2739,849,2051,2269,921,6302
"WD - Watford",71495,831,6397,3761,13917,5504,10062,14494,3104,13425
"WF - Wakefield",176158,8506,26980,9989,34485,8890,15171,31761,5008,35368
"WN - Wigan",105785,2619,19541,7248,21658,6337,9090,19628,3289,16375
"WR - Worcester",94811,3032,12071,4685,19360,5162,10570,23568,3512,12851
"WS - Walsall",159728,3871,31211,10164,30444,7888,12760,26217,4465,32708
"WV - Wolverhampton",145218,2157,29536,8404,27047,7133,11976,23764,4227,30974
"YO - York",196270,7541,21425,10341,43721,11401,18495,48253,8434,26659
"CF - Cardiff",367667,10981,47506,22135,73006,18867,32249,78168,12575,72180
"LD - Llandrindod Wells",17246,1149,1521,892,3076,870,1594,5008,714,2422
"LL - Llandudno",200300,7238,22559,11765,43502,10720,16999,49403,7479,30635
"NP - Newport",179878,5369,31382,9904,33933,9414,15195,37838,5402,31441
"SA - Swansea",283558,10858,37115,16615,58620,14997,22645,66563,9552,46593



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""

