
"LC6113EW - Former occupation by age"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All usual residents aged 16 and over not in employment the week before the census"
"Units      :","Persons"
"Date       :","2011"
"Age        :","All categories: Age 16 and over"

"postcode areas","All categories: Former occupation","1. Managers, directors and senior officials","2. Professional occupations","3. Associate professional and technical occupations","4. Administrative and secretarial occupations","5. Skilled trades occupations","6. Caring, leisure and other service occupations","7. Sales and customer service occupations","8. Process, plant and machine operatives","9. Elementary occupations","Never worked"

"AL - St Albans",75148,5124,10868,5839,11563,5515,4626,6431,3513,8167,13502
"B - Birmingham",681277,28373,43541,28462,68722,62857,38219,52669,68006,104889,185539
"BA - Bath",141124,9490,17279,9638,19306,13895,9716,12383,9587,19180,20650
"BB - Blackburn",170422,9136,12789,7038,14327,18971,11661,12288,20273,25608,38331
"BD - Bradford",197451,9385,13195,8183,18087,16584,12116,13588,18377,29843,58093
"BH - Bournemouth",201370,17070,22566,14693,32983,20145,14478,19884,11372,25018,23161
"BL - Bolton",129789,7347,10510,6188,13473,12550,8391,10648,13879,19777,27026
"BN - Brighton",279472,20812,30907,20304,44004,26055,21977,27020,14368,34631,39394
"BR - Bromley",95078,6883,11238,7316,19600,7527,5608,7995,4048,9181,15682
"BS - Bristol",297572,16464,30961,19033,41025,27263,20692,28621,20689,45299,47525
"CA - Carlisle",106653,7038,11520,5331,10794,12269,7042,8934,11444,18309,13972
"CB - Cambridge",127745,7464,18287,8902,16156,10424,8679,9947,7247,17035,23604
"CH - Chester",233095,13670,23676,13868,29397,22140,15971,20741,21201,35935,36496
"CM - Chelmsford",195824,14172,20281,13762,34846,18414,12706,16250,13619,24838,26936
"CO - Colchester",148824,10048,13029,9142,21342,15652,11561,13474,11519,21215,21842
"CR - Croydon",123016,6765,11640,7384,18840,9156,7629,10384,5655,13108,32455
"CT - Canterbury",184197,12321,16870,10918,23148,17267,15113,17430,12428,27737,30965
"CV - Coventry",276586,14885,25488,14658,31660,26547,16957,22968,25320,43184,54919
"CW - Crewe",100819,7097,10631,6032,12121,10457,6728,8265,9674,15453,14361
"DA - Dartford",134065,6844,9871,7732,23314,12773,8507,12540,9447,18853,24184
"DE - Derby",241911,13649,21293,12087,26035,24951,15352,19456,27965,40349,40774
"DH - Durham",117731,5389,9953,5844,11980,11260,7615,10834,12988,20798,21070
"DL - Darlington",125187,7727,11442,6357,13080,13698,8678,10336,12760,21150,19959
"DN - Doncaster",268806,13768,18039,11262,24226,28135,18393,23439,33529,50395,47620
"DT - Dorchester",77598,6897,11018,5869,11063,8117,5712,5840,4331,9760,8991
"DY - Dudley",145719,8373,9974,6335,16732,17872,8717,11920,18259,22636,24901
"E - London E",322594,9473,17485,14328,25342,22369,16573,23855,18733,40609,133827
"EC - London EC",11295,503,1204,986,1155,608,501,770,376,1465,3727
"EN - Enfield",110663,6308,8528,6545,17171,9901,6624,9251,7450,13170,25715
"EX - Exeter",195806,15540,24197,12641,27166,21296,14936,17194,11827,26387,24622
"FY - Blackpool",108701,9331,8503,5593,15061,11941,8016,9902,8556,17696,14102
"GL - Gloucester",190580,13840,22855,12429,28376,17656,12767,15537,13981,26187,26952
"GU - Guildford",208618,17314,29491,17576,34442,16212,13637,16617,8836,21990,32503
"HA - Harrow",153148,8940,14299,8938,21669,9843,7707,11858,7066,13964,48864
"HD - Huddersfield",88986,5311,8381,4736,9042,8594,5724,7074,9192,13255,17677
