
"QS302EW - General health"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","All categories: General health","Very good health","Good health","Fair health","Bad health","Very bad health"

"AL - St Albans",250427,133561,81935,26088,6943,1900
"B - Birmingham",1904658,866149,652904,264708,91989,28908
"BA - Bath",434166,208944,150727,54945,15339,4211
"BB - Blackburn",488917,219229,164158,71175,26884,7471
"BD - Bradford",578336,259061,206187,79446,26094,7548
"BH - Bournemouth",551987,250373,194227,77912,22821,6654
"BL - Bolton",380259,174543,128408,53237,18999,5072
"BN - Brighton",802831,366743,281962,110485,33909,9732
"BR - Bromley",299293,148537,102485,35604,9782,2885
"BS - Bristol",940241,454399,321233,117272,36572,10765
"CA - Carlisle",318244,143147,110530,45533,14956,4078
"CB - Cambridge",421467,218061,142475,45584,12038,3309
"CH - Chester",659743,313658,213473,89553,33290,9769
"CM - Chelmsford",653492,321736,226708,78207,20980,5861
"CO - Colchester",411418,183914,145745,59377,17277,5105
"CR - Croydon",405982,196164,143272,48289,13966,4291
"CT - Canterbury",482504,210980,169569,71823,23490,6642
"CV - Coventry",821807,385903,285679,106526,33835,9864
"CW - Crewe",309489,148076,104324,40631,12875,3583
"DA - Dartford",430560,205191,150158,54543,16054,4614
"DE - Derby",730620,330769,255575,103412,31899,8965
"DH - Durham",309211,134635,102807,48024,18441,5304
"DL - Darlington",360975,159836,124462,53303,18135,5239
"DN - Doncaster",755713,330732,264371,112831,37189,10590
"DT - Dorchester",213203,95008,76593,30726,8456,2420
"DY - Dudley",410598,176233,145106,62471,20691,6097
"E - London E",990035,484511,336208,112662,41717,14937
"EC - London EC",33205,17895,10348,3251,1276,435
"EN - Enfield",344434,164420,119869,43211,12965,3969
"EX - Exeter",547511,251982,190062,76782,22311,6374
"FY - Blackpool",276623,114068,93231,46021,17943,5360
"GL - Gloucester",605821,288546,213358,77132,20948,5837
"GU - Guildford",725368,380795,245790,74713,18729,5341
"HA - Harrow",480953,230117,172183,56489,16750,5414
"HD - Huddersfield",262814,121215,91518,35451,11435,3195
"HG - Harrogate",138343,69531,46924,16489,4233,1166
"HP - Hemel Hempstead",488351,249967,166796,53762,13911,3915
"HR - Hereford",176493,80344,62141,24701,7213,2094
"HU - Hull",443223,198071,154138,63674,21132,6208
"HX - Halifax",160378,74829,55079,21780,6879,1811
"IG - Ilford",335694,162471,116142,40322,12845,3914
"IP - Ipswich",595934,275122,213803,79912,21288,5809
"KT - Kingston upon Thames",531664,281738,176405,55149,14414,3958
"L - Liverpool",857079,399641,263733,121627,55334,16744
"LA - Lancaster",328704,150494,112147,46590,15170,4303
"LE - Leicester",985795,461217,349723,127295,36660,10900
"LN - Lincoln",293310,127295,104902,43891,13382,3840
"LS - Leeds",774180,374653,260741,97865,31754,9167
"LU - Luton",335950,158650,121080,40755,11812,3653
"M - Manchester",1167402,553710,376587,155577,62741,18787
"ME - Medway",607143,281798,216614,78771,23323,6637
"MK - Milton Keynes",507978,251530,178099,57528,16199,4622
"N - London N",848197,427818,276278,95996,35681,12424
"NE - Newcastle upon Tyne",1162698,519734,386877,173901,63625,18561
"NG - Nottingham",1163185,526221,399297,166944,54916,15807
"NN - Northampton",653215,304573,235708,82722,23465,6747
"NR - Norwich",722087,310651,262078,108393,31754,9211
"NW - London NW",551407,284344,177489,60090,21919,7565
"OL - Oldham",462833,206965,154455,68184,25975,7254
"OX - Oxford",612827,320060,205645,65239,17028,4855
"PE - Peterborough",890223,385107,326432,129699,38261,10724
"PL - Plymouth",542719,246865,184148,77761,26312,7633
"PO - Portsmouth",822331,372246,293582,113694,33185,9624
"PR - Preston",520556,242866,176510,71114,23544,6522
"RG - Reading",778677,404649,267926,80665,19921,5516
"RH - Redhill",532536,270501,183343,58889,15448,4355
"RM - Romford",516824,242084,179931,67107,21439,6263
"S - Sheffield",1358507,600420,457264,203965,75424,21434
"SE - London SE",988702,503414,324908,110340,37814,12226
"SG - Stevenage",402911,201503,139055,46737,12310,3306
"SK - Stockport",603795,288997,200953,80239,26339,7267
"SL - Slough",373607,193410,126211,39661,11161,3164
"SM - Sutton",217048,104716,77526,25701,7067,2038
"SN - Swindon",459049,227487,157783,54447,15298,4034
"SO - Southampton",665193,325875,230748,79694,22338,6538
"SP - Salisbury",232524,115945,79277,27961,7335,2006
"SR - Sunderland",250826,104882,81327,41338,17851,5428
"SS - Southend-on-Sea",518677,234658,183332,72103,22121,6463
"ST - Stoke-on-Trent",644068,283047,225086,93542,32752,9641
"SW - London SW",874844,494304,265084,80516,26330,8610
"SY - Shrewsbury",342140,160133,118080,46376,13726,3825
"TA - Taunton",322197,144034,114029,47129,13454,3551
"TD - Galashiels",18324,7621,6618,2898,918,269
"TF - Telford",212061,97455,73282,28645,9809,2870
"TN - Tonbridge",680816,321912,236885,88863,25800,7356
"TQ - Torquay",281404,122772,97487,43208,13870,4067
"TR - Truro",293864,135631,97017,42921,14141,4154
"TS - Cleveland",602474,268689,200714,89003,33834,10234
"TW - Twickenham",490472,249454,167928,52908,15551,4631
"UB - Southall",371969,175441,132737,45048,14235,4508
"W - London W",533706,289666,164050,52949,19966,7075
"WA - Warrington",616180,299057,196807,80570,31132,8614
"WC - London WC",35995,19004,11119,3904,1455,513
"WD - Watford",255988,130526,86667,28446,8074,2275
"WF - Wakefield",512657,223151,176295,76921,28347,7943
"WN - Wigan",308483,140210,100728,45168,17676,4701
"WR - Worcester",287414,133644,101229,38438,10985,3118
"WS - Walsall",449687,194562,156936,66963,23988,7238
"WV - Wolverhampton",395857,169604,139816,60097,20253,6087
"YO - York",562439,260409,195840,77549,22334,6307
"CF - Cardiff",1005334,476160,306136,142014,61769,19255
"LD - Llandrindod Wells",49792,22154,17197,7545,2259,637
