
"KS604EW - Hours worked"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All usual residents aged 16 to 74 in employment the week before the census"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","All usual residents aged 16 to 74 in employment the week before the census","Part-time: 15 hours or less worked","Part-time: 16 to 30 hours worked","Full-time: 31 to 48 hours worked","Full-time: 49 or more hours worked","Males: Total","Males: Part-time: 15 hours or less worked","Males: Part-time: 16 to 30 hours worked","Males: Full-time: 31 to 48 hours worked","Males: Full-time: 49 or more hours worked","Females: Total","Females: Part-time: 15 hours or less worked","Females: Part-time: 16 to 30 hours worked","Females: Full-time: 31 to 48 hours worked","Females: Full-time: 49 or more hours worked"

"AL - St Albans",124273,13728,21486,69143,19916,66018,4208,5342,41345,15123,58255,9520,16144,27798,4793
"B - Birmingham",814223,77055,167906,480647,88615,432085,25873,52858,286155,67199,382138,51182,115048,194492,21416
"BA - Bath",212927,24211,43426,116017,29273,111916,7094,10214,71883,22725,101011,17117,33212,44134,6548
"BB - Blackburn",215099,17877,46801,129235,21186,115742,6529,15060,78025,16128,99357,11348,31741,51210,5058
"BD - Bradford",247719,22137,56160,144035,25387,134751,7982,19476,87743,19550,112968,14155,36684,56292,5837
"BH - Bournemouth",260110,29463,53086,143993,33568,137947,9196,13599,88766,26386,122163,20267,39487,55227,7182
"BL - Bolton",172972,14270,36240,104417,18045,91042,4921,10406,61845,13870,81930,9349,25834,42572,4175
"BN - Brighton",385165,42193,80735,213689,48548,200737,13713,22537,128319,36168,184428,28480,58198,85370,12380
"BR - Bromley",144245,13816,25360,83585,21484,74865,3917,6285,48403,16260,69380,9899,19075,35182,5224
"BS - Bristol",466676,48831,91673,271264,54908,245625,14833,21766,166599,42427,221051,33998,69907,104665,12481
"CA - Carlisle",156466,14732,33666,86768,21300,82457,4104,6973,54474,16906,74009,10628,26693,32294,4394
"CB - Cambridge",216100,21898,36949,125173,32080,116024,6796,9155,75655,24418,100076,15102,27794,49518,7662
"CH - Chester",305098,28087,64556,179104,33351,157026,8519,15294,107503,25710,148072,19568,49262,71601,7641
"CM - Chelmsford",330078,34149,58620,185987,51322,175946,9216,13276,112868,40586,154132,24933,45344,73119,10736
"CO - Colchester",188920,21482,37563,101885,27990,100057,6199,8829,62802,22227,88863,15283,28734,39083,5763
"CR - Croydon",194464,17509,35867,117355,23733,101883,6063,11046,67070,17704,92581,11446,24821,50285,6029
"CT - Canterbury",209968,23386,44932,112893,28757,109221,7645,11868,67756,21952,100747,15741,33064,45137,6805
"CV - Coventry",388657,37117,74394,229931,47215,205548,12110,18317,138990,36131,183109,25007,56077,90941,11084
"CW - Crewe",150793,14693,29684,86126,20290,79268,4367,6785,52230,15886,71525,10326,22899,33896,4404
"DA - Dartford",208397,19230,37890,124401,26876,109841,5437,8868,74315,21221,98556,13793,29022,50086,5655
"DE - Derby",348056,33309,69111,201194,44442,185038,9525,16328,123758,35427,163018,23784,52783,77436,9015
"DH - Durham",138714,12031,27699,84104,14880,71902,4032,6685,49722,11463,66812,7999,21014,34382,3417
"DL - Darlington",169875,13911,33401,97904,24659,90552,4119,7550,59027,19856,79323,9792,25851,38877,4803
"DN - Doncaster",343634,30914,73631,194999,44090,182950,8477,16482,121769,36222,160684,22437,57149,73230,7868
"DT - Dorchester",99446,11202,21671,51879,14694,52864,3277,5518,32680,11389,46582,7925,16153,19199,3305
"DY - Dudley",186459,17160,38678,108722,21899,99132,4760,9311,67639,17422,87327,12400,29367,41083,4477
"E - London E",456862,42119,87546,265050,62147,257487,19770,42226,152008,43483,199375,22349,45320,113042,18664
"EC - London EC",17821,1223,2035,8803,5760,10375,576,875,4898,4026,7446,647,1160,3905,1734
"EN - Enfield",161168,15744,30900,93250,21274,84335,4865,9021,54131,16318,76833,10879,21879,39119,4956
"EX - Exeter",258695,29311,56985,135151,37248,135278,8767,14388,83394,28729,123417,20544,42597,51757,8519
"FY - Blackpool",120635,10679,27195,69394,13367,62052,3844,7424,40676,10108,58583,6835,19771,28718,3259
"GL - Gloucester",304634,31923,59758,172832,40121,160964,9227,13742,107090,30905,143670,22696,46016,65742,9216
"GU - Guildford",373389,39125,62830,209916,61518,200898,11117,14687,127236,47858,172491,28008,48143,82680,13660
"HA - Harrow",230514,21864,42304,137132,29214,125590,7853,14894,80541,22302,104924,14011,27410,56591,6912
"HD - Huddersfield",123528,12335,25484,71080,14629,65484,4287,6740,43266,11191,58044,8048,18744,27814,3438
"HG - Harrogate",71411,7131,13659,39072,11549,37574,2173,3099,23231,9071,33837,4958,10560,15841,2478
"HP - Hemel Hempstead",246487,25267,43177,139906,38137,131772,7585,10959,83925,29303,114715,17682,32218,55981,8834
"HR - Hereford",86957,8807,17909,45929,14312,46204,2508,4169,28163,11364,40753,6299,13740,17766,2948
"HU - Hull",200921,19423,43426,115311,22761,105859,5920,9959,71667,18313,95062,13503,33467,43644,4448
"HX - Halifax",75657,6405,16179,44528,8545,39781,2090,4300,26860,6531,35876,4315,11879,17668,2014
"IG - Ilford",146642,14556,28950,85173,17963,81153,5553,10993,50826,13781,65489,9003,17957,34347,4182
"IP - Ipswich",291174,31759,56437,159657,43321,157136,8712,12922,100454,35048,134038,23047,43515,59203,8273
"KT - Kingston upon Thames",268519,27496,45413,150136,45474,142373,8225,11830,87981,34337,126146,19271,33583,62155,11137
"L - Liverpool",368569,34683,80897,217802,35187,186668,12175,21276,126383,26834,181901,22508,59621,91419,8353
"LA - Lancaster",154010,17479,33322,84116,19093,79726,5302,7883,52080,14461,74284,12177,25439,32036,4632
"LE - Leicester",463892,46960,93786,267155,55991,247515,15286,25246,163045,43938,216377,31674,68540,104110,12053
"LN - Lincoln",136058,14824,27906,74053,19275,71459,4404,6735,45008,15312,64599,10420,21171,29045,3963
"LS - Leeds",366132,35945,72570,215990,41627,189922,12489,19337,127131,30965,176210,23456,53233,88859,10662
"LU - Luton",156964,14869,29211,94014,18870,85570,4945,9069,56703,14853,71394,9924,20142,37311,4017
"M - Manchester",526258,47996,103918,323689,50655,276357,18346,33427,187198,37386,249901,29650,70491,136491,13269
"ME - Medway",294301,28400,53959,168613,43329,157397,7907,12130,102512,34848,136904,20493,41829,66101,8481
"MK - Milton Keynes",256349,23681,44479,152450,35739,135754,7323,10518,90353,27560,120595,16358,33961,62097,8179
"N - London N",414534,36290,74653,238687,64904,216947,14000,28815,130119,44013,197587,22290,45838,108568,20891
"NE - Newcastle upon Tyne",528338,45941,110551,314510,57336,273167,15284,28044,185494,44345,255171,30657,82507,129016,12991
"NG - Nottingham",534674,52226,108132,310696,63620,281632,16422,27517,187473,50220,253042,35804,80615,123223,13400
"NN - Northampton",330323,28966,58805,197614,44938,174555,8505,12489,117954,35607,155768,20461,46316,79660,9331
"NR - Norwich",331503,37436,70378,179253,44436,175547,10597,17656,111747,35547,155956,26839,52722,67506,8889
"NW - London NW",263980,24088,44640,146832,48420,140318,9117,17725,79871,33605,123662,14971,26915,66961,14815
"OL - Oldham",198935,15363,42826,121482,19264,106198,5594,13986,71709,14909,92737,9769,28840,49773,4355
"OX - Oxford",315024,31351,55296,182714,45663,166226,9833,12842,109257,34294,148798,21518,42454,73457,11369
"PE - Peterborough",425649,38888,80691,244793,61277,227393,11331,19248,147925,48889,198256,27557,61443,96868,12388
"PL - Plymouth",250866,26534,55423,136244,32665,131535,8093,13565,84622,25255,119331,18441,41858,51622,7410
"PO - Portsmouth",384382,40659,78127,216907,48689,201800,12549,19153,132610,37488,182582,28110,58974,84297,11201
"PR - Preston",250871,24000,51131,146383,29357,131073,7822,13320,87049,22882,119798,16178,37811,59334,6475
"RG - Reading",410006,39062,65936,244476,60532,218971,11453,15009,146582,45927,191035,27609,50927,97894,14605
"RH - Redhill",274884,27956,48723,157407,40798,145693,7803,11484,95027,31379,129191,20153,37239,62380,9419
"RM - Romford",237948,21424,43381,144769,28374,126063,5983,11193,86136,22751,111885,15441,32188,58633,5623
"S - Sheffield",610527,57806,133693,352590,66438,320335,18252,33368,216108,52607,290192,39554,100325,136482,13831
"SE - London SE",487971,40274,83550,291971,72176,253999,15445,29077,159634,49843,233972,24829,54473,132337,22333
"SG - Stevenage",209035,20282,36026,122420,30307,111302,5648,7958,74110,23586,97733,14634,28068,48310,6721
"SK - Stockport",294068,26441,57751,174017,35859,152881,8160,14205,102961,27555,141187,18281,43546,71056,8304
"SL - Slough",185342,16694,30530,108802,29316,100071,5398,8727,63735,22211,85271,11296,21803,45067,7105
"SM - Sutton",109763,9928,19609,65955,14271,57529,3048,5394,38268,10819,52234,6880,14215,27687,3452
"SN - Swindon",236229,22269,42535,139527,31898,126749,6357,9365,85976,25051,109480,15912,33170,53551,6847
"SO - Southampton",327390,37495,61898,182981,45016,173100,11609,14699,111768,35024,154290,25886,47199,71213,9992
"SP - Salisbury",119971,11711,21280,66952,20028,65180,3234,4578,41138,16230,54791,8477,16702,25814,3798
"SR - Sunderland",106915,8672,23555,65182,9506,55095,2928,5944,38793,7430,51820,5744,17611,26389,2076
"SS - Southend-on-Sea",246272,24977,46077,141719,33499,131637,6705,10861,87141,26930,114635,18272,35216,54578,6569
"ST - Stoke-on-Trent",298364,27768,60432,174014,36150,159315,9041,15773,105893,28608,139049,18727,44659,68121,7542
"SW - London SW",490228,32651,61047,283023,113507,257396,12120,21367,146926,76983,232832,20531,39680,136097,36524
"SY - Shrewsbury",165285,17452,34722,86633,26478,88015,5211,8583,53222,20999,77270,12241,26139,33411,5479
"TA - Taunton",153629,15969,33029,83469,21162,80664,4583,7656,51983,16442,72965,11386,25373,31486,4720
"TD - Galashiels",8611,860,1986,4595,1170,4487,221,440,2917,909,4124,639,1546,1678,261
"TF - Telford",100673,8831,18745,60123,12974,54184,2678,4310,36945,10251,46489,6153,14435,23178,2723
"TN - Tonbridge",322557,35023,62968,172913,51653,171410,9975,15722,105268,40445,151147,25048,47246,67645,11208
"TQ - Torquay",128126,14106,29727,67042,17251,66281,4346,7988,40856,13091,61845,9760,21739,26186,4160
"TR - Truro",135194,14782,31891,70886,17635,70287,4588,8772,43635,13292,64907,10194,23119,27251,4343
"TS - Cleveland",256071,24038,58863,145500,27670,131950,7114,13737,88624,22475,124121,16924,45126,56876,5195
"TW - Twickenham",250297,22612,40708,149844,37133,134787,7810,12733,87000,27244,115510,14802,27975,62844,9889
"UB - Southall",169728,16093,30846,104749,18040,93958,6353,11647,61929,14029,75770,9740,19199,42820,4011
"W - London W",279221,20571,38088,155318,65244,149368,7910,14471,82562,44425,129853,12661,23617,72756,20819
"WA - Warrington",293334,24752,57161,177077,34344,152714,7541,12868,105643,26662,140620,17211,44293,71434,7682
"WC - London WC",15937,1838,2243,8197,3659,9054,788,1076,4697,2493,6883,1050,1167,3500,1166
"WD - Watford",130772,12609,22842,76313,19008,69170,3684,5856,45177,14453,61602,8925,16986,31136,4555
"WF - Wakefield",234186,19225,50003,139448,25510,125249,5897,13099,85952,20301,108937,13328,36904,53496,5209
"WN - Wigan",143412,11339,29059,88607,14407,75605,3613,6637,53921,11434,67807,7726,22422,34686,2973
"WR - Worcester",141060,14962,28194,77650,20254,74164,4427,6719,47375,15643,66896,10535,21475,30275,4611
"WS - Walsall",199213,18159,40934,115924,24196,106580,5150,10597,71473,19360,92633,13009,30337,44451,4836
"WV - Wolverhampton",174579,16060,35312,104463,18744,93020,4921,9311,63975,14813,81559,11139,26001,40488,3931
"YO - York",271285,29636,57673,145434,38542,141204,8956,13849,88504,29895,130081,20680,43824,56930,8647
"CF - Cardiff",448170,40465,91104,269319,47282,233275,13469,23400,159644,36762,214895,26996,67704,109675,10520
"LD - Llandrindod Wells",23786,2344,4868,11896,4678,12565,705,1266,7006,3588,11221,1639,3602,4890,1090
"LL - Llandudno",240058,22316,51991,135759,29992,125338,7153,13618,81013,23554,114720,15163,38373,54746,6438
"NP - Newport",215147,18397,44274,128415,24061,112726,5752,10649,77261,19064,102421,12645,33625,51154,4997
"SA - Swansea",315932,29592,69751,177172,39417,165363,9676,17905,107228,30554,150569,19916,51846,69944,8863



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""

