
"QS406EW - Household size"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All household spaces with at least one usual resident"
"Units      :","Household spaces"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","All categories: Household size","1 person in household","2 people in household","3 people in household","4 people in household","5 people in household","6 people in household","7 people in household","8 or more people in household"

"AL - St Albans",99381,27405,32645,15438,16196,5675,1565,301,156
"B - Birmingham",751008,226868,231511,118217,97994,42967,21468,6286,5697
"BA - Bath",183389,54910,67491,26883,23461,7780,2199,447,218
"BB - Blackburn",202156,63789,65847,30989,24272,10099,4745,1369,1046
"BD - Bradford",223923,66491,70393,33693,27988,12663,7791,2418,2486
"BH - Bournemouth",242868,77675,90780,33590,27663,9276,2900,628,356
"BL - Bolton",160166,50211,52759,25577,20158,7221,2891,787,562
"BN - Brighton",356346,121814,125509,49682,40350,13418,4296,862,415
"BR - Bromley",125000,37601,40212,20728,18033,6374,1609,307,136
"BS - Bristol",398258,122644,139944,58868,51685,17222,5716,1304,875
"CA - Carlisle",140639,44738,51620,20365,17062,5179,1313,243,119
"CB - Cambridge",167769,46553,59773,26404,24034,8033,2303,424,245
"CH - Chester",285835,90272,98397,44835,35935,11887,3499,666,344
"CM - Chelmsford",270005,74319,94587,43429,40624,12961,3248,573,264
"CO - Colchester",176926,53715,66211,25693,21371,7196,2101,458,181
"CR - Croydon",159003,44916,47417,27663,23720,9950,3834,925,578
"CT - Canterbury",206231,66981,72885,29969,23183,8729,3261,796,427
"CV - Coventry",341799,102243,117863,54040,44728,15785,5199,1213,728
"CW - Crewe",130777,36751,47463,21604,17886,5215,1446,278,134
"DA - Dartford",173530,48807,55434,28802,26653,9712,3131,635,356
"DE - Derby",306789,88806,110482,47933,40234,13084,4478,1102,670
"DH - Durham",132873,41082,47753,21900,15937,4539,1300,260,102
"DL - Darlington",156929,48575,58013,24508,18346,5547,1536,280,124
"DN - Doncaster",320177,91796,117803,51655,40261,13306,4071,867,418
