
"KS104EW - Living arrangements"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All usual residents aged 16 and over in households"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","All categories: Living arrangements","Living in a couple","Living in a couple: Married or in a registered same-sex civil partnership","Living in a couple: Cohabiting","Not living in a couple","Not living in a couple: Single (never married or never registered a same-sex civil partnership)","Not living in a couple: Married or in a registered same-sex civil partnership","Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership)","Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved","Not living in a couple: Widowed or surviving partner from a same-sex civil partnership"

"AL - St Albans",195080,118544,96640,21904,76536,49117,2293,3375,10855,10896
"B - Birmingham",1470659,793999,643386,150613,676660,428169,27499,36158,90056,94778
"BA - Bath",344641,210541,168210,42331,134100,79279,3536,5928,23629,21728
"BB - Blackburn",381425,221930,176067,45863,159495,92364,5726,9338,27092,24975
"BD - Bradford",438939,253972,204144,49828,184967,109127,9846,11320,27833,26841
"BH - Bournemouth",453931,269874,217353,52521,184057,104046,5492,8141,32684,33694
"BL - Bolton",300411,174768,139145,35623,125643,74048,3590,7007,21174,19824
"BN - Brighton",651355,365516,278652,86864,285839,171625,7142,13579,48468,45025
"BR - Bromley",238272,140329,115824,24505,97943,59552,2754,5089,14644,15904
"BS - Bristol",749884,431590,335360,96230,318294,202029,9351,14336,48098,44480
"CA - Carlisle",260056,159442,130342,29100,100614,57242,2512,4425,17155,19280
"CB - Cambridge",324892,202429,159517,42912,122463,76888,4189,5355,18439,17592
"CH - Chester",533579,305894,246845,59049,227685,133888,4713,10243,40225,38616
"CM - Chelmsford",521838,328779,266561,62218,193059,113807,4877,9645,32531,32199
"CO - Colchester",329903,202893,164740,38153,127010,70172,3222,6395,23191,24030
"CR - Croydon",314724,165336,133802,31534,149388,96912,7805,8299,19957,16415
"CT - Canterbury",382112,219823,172545,47278,162289,92407,4202,8889,28804,27987
"CV - Coventry",649963,378220,303796,74424,271743,166356,8496,13295,41741,41855
"CW - Crewe",248917,157748,127558,30190,91169,52257,2167,4396,15848,16501
"DA - Dartford",340553,199479,159728,39751,141074,85974,4639,7735,20749,21977
"DE - Derby",581953,358458,283394,75064,223495,130536,6429,11583,36834,38113
"DH - Durham",247134,145923,117206,28717,101211,59847,2132,5108,16630,17494
"DL - Darlington",286842,176030,142263,33767,110812,60966,2700,6015,20521,20610
"DN - Doncaster",602789,370506,287956,82550,232283,130036,6319,12152,42683,41093
"DT - Dorchester",172352,109972,90582,19390,62380,31973,1790,3098,12353,13166
"DY - Dudley",329295,202009,162211,39798,127286,74067,3276,6382,20440,23121
"E - London E",772686,330146,248934,81212,442540,312260,31734,23675,43814,31057
"EC - London EC",26890,10363,6424,3939,16527,12195,924,721,1677,1010
"EN - Enfield",270246,150793,123645,27148,119453,74613,4014,6753,17604,16469
"EX - Exeter",443322,275328,222818,52510,167994,92831,4512,7633,30156,32862
"FY - Blackpool",224141,125989,98640,27349,98152,52419,2246,5086,19531,18870
"GL - Gloucester",486880,304996,243486,61510,181884,105092,4967,8769,31518,31538
"GU - Guildford",567312,364978,303029,61949,202334,120046,7436,9878,32625,32349
"HA - Harrow",380479,211112,187764,23348,169367,108361,13776,7437,18071,21722
"HD - Huddersfield",208742,123933,97844,26089,84809,50283,2737,4536,14056,13197
"HG - Harrogate",110488,70348,57888,12460,40140,21830,1232,1906,7699,7473
"HP - Hemel Hempstead",382021,239711,196238,43473,142310,85106,5068,7257,22726,22153
"HR - Hereford",143516,89961,72888,17073,53555,29694,1549,2455,9739,10118
"HU - Hull",355525,207092,158261,48831,148433,90248,3541,7503,24299,22842
"HX - Halifax",126985,74955,57835,17120,52030,29665,1646,3099,9347,8273
"IG - Ilford",256421,137598,119428,18170,118823,76453,8044,6446,13809,14071
"IP - Ipswich",475489,305639,245605,60034,169850,94182,5220,9101,30085,31262
"KT - Kingston upon Thames",419414,258118,213705,44413,161296,99779,5934,7252,23744,24587
"L - Liverpool",687777,329193,259518,69675,358584,239256,7477,16911,46557,48383
"LA - Lancaster",262307,158270,127558,30712,104037,58633,2768,4460,18511,19665
"LE - Leicester",773420,460779,373654,87125,312641,192579,12133,15527,44375,48027
"LN - Lincoln",235669,149383,119375,30008,86286,47995,2122,4016,15839,16314
"LS - Leeds",612777,335581,259015,76566,277196,179736,7622,13184,38808,37846
"LU - Luton",260678,149370,120927,28443,111308,69464,5642,6304,15579,14319
"M - Manchester",910366,448092,327437,120655,462274,309249,14972,23811,60166,54076
"ME - Medway",476417,292627,229103,63524,183790,108825,4537,11101,30933,28394
"MK - Milton Keynes",394597,242124,193780,48344,152473,91169,5760,9067,25458,21019
"N - London N",672049,300574,220461,80113,371475,263107,17337,20110,43207,27714
"NE - Newcastle upon Tyne",940576,529367,417787,111580,411209,249968,9668,20637,65253,65683
"NG - Nottingham",926226,540067,418979,121088,386159,237096,10073,19133,60990,58867
"NN - Northampton",514844,318584,248196,70388,196260,114673,5700,12858,33589,29440
"NR - Norwich",586164,365260,287079,78181,220904,123175,5459,10363,40446,41461
"NW - London NW",437504,195405,150872,44533,242099,167655,15668,12391,27292,19093
"OL - Oldham",357649,201985,157441,44544,155664,91438,5955,9767,25068,23436
"OX - Oxford",472666,289585,232624,56961,183081,114787,6248,7868,27784,26394
"PE - Peterborough",714692,455339,360637,94702,259353,141592,8726,14215,46427,48393
"PL - Plymouth",438601,266515,210688,55827,172086,98049,4403,7973,32288,29373
"PO - Portsmouth",661603,389844,308974,80870,271759,155271,7118,13697,48776,46897
"PR - Preston",413527,247742,199657,48085,165785,97408,4163,7783,28425,28006
"RG - Reading",609516,385931,312590,73341,223585,136925,7678,11067,35993,31922
"RH - Redhill",420178,266077,217384,48693,154101,89899,5098,7616,26170,25318
"RM - Romford",401931,224277,179141,45136,177654,109407,6412,9870,25801,26164
"S - Sheffield",1090292,640606,497020,143586,449686,273906,11633,20570,70382,73195
"SE - London SE",773856,338533,235993,102540,435323,302897,22275,26148,52381,31622
"SG - Stevenage",319205,202427,161880,40547,116778,68695,3226,6366,19623,18868
"SK - Stockport",485486,291591,233288,58303,193895,112563,4366,9779,33918,33269
"SL - Slough",289654,173315,144916,28399,116339,69397,6798,6191,17376,16577
"SM - Sutton",171433,99402,80898,18504,72031,45160,2645,3648,10481,10097
"SN - Swindon",362675,232118,187174,44944,130557,74740,4187,7232,23585,20813
"SO - Southampton",530382,317248,254635,62613,213134,130170,6033,9944,34486,32501
"SP - Salisbury",180612,117790,96780,21010,62822,34334,1827,3495,11637,11529
"SR - Sunderland",203605,111953,88574,23379,91652,55785,1776,4210,14125,15756
"SS - Southend-on-Sea",416362,250041,198572,51469,166321,96043,4303,8984,28676,28315
"ST - Stoke-on-Trent",516172,311961,248530,63431,204211,119017,5129,10117,33706,36242
"SW - London SW",715055,321234,225187,96047,393821,291243,18709,16635,41344,25890
"SY - Shrewsbury",274278,169065,136164,32901,105213,60888,2711,4333,17917,19364
"TA - Taunton",260119,165586,133783,31803,94533,49695,2675,4858,17761,19544
"TD - Galashiels",14992,9542,7716,1826,5450,2846,157,314,975,1158
