
"KS107EW - Lone parent households with dependent children"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All lone parent households with dependent children where the lone parent is aged 16 to 74"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","All lone parent housholds with dependent children","Lone parent in part-time employment: Total","Lone parent in full-time employment: Total","Lone parent not in employment: Total","Male lone parent: Total","Male lone parent: In part-time employment","Male lone parent: In full-time employment","Male lone parent: Not in employment","Female lone parent: Total","Female lone parent: In part-time employment","Female lone parent: In full-time employment","Female lone parent: Not in employment"

"AL - St Albans",5530,1878,1719,1933,572,62,374,136,4958,1816,1345,1797
"B - Birmingham",65659,19523,16224,29912,5576,756,2606,2214,60083,18767,13618,27698
"BA - Bath",11175,4591,2820,3764,1224,205,707,312,9951,4386,2113,3452
"BB - Blackburn",16221,5321,4422,6478,1833,275,925,633,14388,5046,3497,5845
"BD - Bradford",16874,5410,4105,7359,1469,203,734,532,15405,5207,3371,6827
"BH - Bournemouth",12589,5148,2903,4538,1396,260,739,397,11193,4888,2164,4141
"BL - Bolton",12651,4176,3783,4692,1277,203,660,414,11374,3973,3123,4278
"BN - Brighton",22417,8619,5646,8152,2451,440,1335,676,19966,8179,4311,7476
"BR - Bromley",8928,2834,2516,3578,701,103,397,201,8227,2731,2119,3377
"BS - Bristol",27945,10064,6517,11364,3028,504,1559,965,24917,9560,4958,10399
"CA - Carlisle",8151,3273,2077,2801,872,106,527,239,7279,3167,1550,2562
"CB - Cambridge",7644,2770,2415,2459,796,106,506,184,6848,2664,1909,2275
"CH - Chester",22389,7896,5610,8883,2123,257,1135,731,20266,7639,4475,8152
"CM - Chelmsford",16049,5894,4385,5770,1566,191,959,416,14483,5703,3426,5354
"CO - Colchester",11266,4238,2625,4403,1187,151,662,374,10079,4087,1963,4029
"CR - Croydon",16567,5018,4443,7106,1390,240,651,499,15177,4778,3792,6607
"CT - Canterbury",14464,5202,3385,5877,1464,248,677,539,13000,4954,2708,5338
"CV - Coventry",25254,8478,7044,9732,2583,326,1468,789,22671,8152,5576,8943
"CW - Crewe",8345,3050,2484,2811,931,133,551,247,7414,2917,1933,2564
"DA - Dartford",13344,4224,3683,5437,1176,160,683,333,12168,4064,3000,5104
"DE - Derby",20377,7059,5508,7810,2271,335,1263,673,18106,6724,4245,7137
"DH - Durham",9764,3226,2808,3730,994,127,550,317,8770,3099,2258,3413
"DL - Darlington",11642,4006,3257,4379,1244,164,654,426,10398,3842,2603,3953
"DN - Doncaster",23282,8343,5431,9508,2090,274,1137,679,21192,8069,4294,8829
"DT - Dorchester",4721,2032,1178,1511,594,119,314,161,4127,1913,864,1350
"DY - Dudley",11523,3691,2877,4955,1166,130,615,421,10357,3561,2262,4534
"E - London E",33842,8455,7776,17611,2327,460,931,936,31515,7995,6845,16675
"EC - London EC",1011,226,228,557,73,16,30,27,938,210,198,530
"EN - Enfield",12574,3485,2923,6166,904,153,448,303,11670,3332,2475,5863
"EX - Exeter",12476,5486,3013,3977,1371,245,796,330,11105,5241,2217,3647
"FY - Blackpool",9355,3393,2329,3633,999,166,433,400,8356,3227,1896,3233
"GL - Gloucester",13206,5285,3583,4338,1334,198,817,319,11872,5087,2766,4019
"GU - Guildford",13346,4859,4244,4243,1315,164,902,249,12031,4695,3342,3994
"HA - Harrow",11370,3382,3178,4810,927,164,466,297,10443,3218,2712,4513
"HD - Huddersfield",7963,2776,2217,2970,855,117,463,275,7108,2659,1754,2695
"HG - Harrogate",3403,1385,1253,765,434,62,280,92,2969,1323,973,673
"HP - Hemel Hempstead",11552,3921,3727,3904,1306,188,815,303,10246,3733,2912,3601
"HR - Hereford",4130,1620,1129,1381,513,82,279,152,3617,1538,850,1229
"HU - Hull",14362,4924,3353,6085,1395,171,710,514,12967,4753,2643,5571
"HX - Halifax",5243,1848,1529,1866,590,93,340,157,4653,1755,1189,1709
"IG - Ilford",10987,2901,2557,5529,888,157,384,347,10099,2744,2173,5182
"IP - Ipswich",14488,5511,3877,5100,1655,239,967,449,12833,5272,2910,4651
"KT - Kingston upon Thames",10716,3658,3366,3692,1065,158,686,221,9651,3500,2680,3471
"L - Liverpool",35946,11535,7505,16906,2873,422,1133,1318,33073,11113,6372,15588
"LA - Lancaster",8572,3470,2226,2876,929,137,491,301,7643,3333,1735,2575
"LE - Leicester",25227,8812,7005,9410,2777,414,1612,751,22450,8398,5393,8659
"LN - Lincoln",7210,2727,1975,2508,727,93,436,198,6483,2634,1539,2310
"LS - Leeds",24330,8386,6225,9719,2295,301,1169,825,22035,8085,5056,8894
"LU - Luton",9971,3013,2777,4181,828,120,468,240,9143,2893,2309,3941
"M - Manchester",45349,13556,11343,20450,3941,570,1691,1680,41408,12986,9652,18770
"ME - Medway",18517,6032,4708,7777,1946,213,1124,609,16571,5819,3584,7168
"MK - Milton Keynes",14920,4903,4656,5361,1453,171,903,379,13467,4732,3753,4982
"N - London N",33042,8687,7553,16802,2488,478,916,1094,30554,8209,6637,15708
"NE - Newcastle upon Tyne",38726,13028,9758,15940,3627,459,1772,1396,35099,12569,7986,14544
"NG - Nottingham",36072,12169,9425,14478,3744,532,1970,1242,32328,11637,7455,13236
"NN - Northampton",20098,7163,5832,7103,2097,250,1275,572,18001,6913,4557,6531
"NR - Norwich",18457,6953,4297,7207,2177,310,1173,694,16280,6643,3124,6513
"NW - London NW",17359,4821,3921,8617,1238,289,456,493,16121,4532,3465,8124
"OL - Oldham",16694,4850,4559,7285,1654,240,794,620,15040,4610,3765,6665
"OX - Oxford",13521,4909,3914,4698,1260,178,788,294,12261,4731,3126,4404
"PE - Peterborough",22135,7929,6084,8122,2171,297,1246,628,19964,7632,4838,7494
"PL - Plymouth",14487,5715,3408,5364,1550,271,810,469,12937,5444,2598,4895
"PO - Portsmouth",24019,8661,6156,9202,2575,379,1447,749,21444,8282,4709,8453
"PR - Preston",14908,5309,4566,5033,1777,228,995,554,13131,5081,3571,4479
"RG - Reading",18384,6320,5661,6403,1945,254,1243,448,16439,6066,4418,5955
"RH - Redhill",11460,4370,3388,3702,1069,156,683,230,10391,4214,2705,3472
"RM - Romford",19392,5436,4482,9474,1508,215,729,564,17884,5221,3753,8910
"S - Sheffield",41212,14250,10032,16930,4662,623,2373,1666,36550,13627,7659,15264
"SE - London SE",44527,12291,11927,20309,3561,667,1479,1415,40966,11624,10448,18894
"SG - Stevenage",10224,3632,3064,3528,1093,157,652,284,9131,3475,2412,3244
"SK - Stockport",18226,6230,5771,6225,2043,270,1147,626,16183,5960,4624,5599
"SL - Slough",8991,2839,2752,3400,831,141,482,208,8160,2698,2270,3192
"SM - Sutton",5948,1838,1735,2375,488,83,283,122,5460,1755,1452,2253
