
"QS303EW - Long-term health problem or disability"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","All categories: Long-term health problem or disability","Day-to-day activities limited a lot","Day-to-day activities limited a little","Day-to-day activities not limited"

"AL - St Albans",250427,14413,19335,216679
"B - Birmingham",1904658,172044,181289,1551325
"BA - Bath",434166,31524,41747,360895
"BB - Blackburn",488917,51454,49941,387522
"BD - Bradford",578336,48802,51964,477570
"BH - Bournemouth",551987,47609,59833,444545
"BL - Bolton",380259,36821,37282,306156
"BN - Brighton",802831,67877,82759,652195
"BR - Bromley",299293,20405,25603,253285
"BS - Bristol",940241,73542,86444,780255
"CA - Carlisle",318244,30321,32953,254970
"CB - Cambridge",421467,24798,34678,361991
"CH - Chester",659743,68966,67303,523474
"CM - Chelmsford",653492,43233,56696,553563
"CO - Colchester",411418,36991,43434,330993
"CR - Croydon",405982,26951,32209,346822
"CT - Canterbury",482504,46648,52361,383495
"CV - Coventry",821807,66013,75701,680093
"CW - Crewe",309489,25739,30139,253611
"DA - Dartford",430560,31441,37803,361316
"DE - Derby",730620,63900,74003,592717
"DH - Durham",309211,35196,34159,239856
"DL - Darlington",360975,36665,38610,285700
"DN - Doncaster",755713,74622,78565,602526
"DT - Dorchester",213203,18489,24360,170354
"DY - Dudley",410598,40257,42785,327556
"E - London E",990035,69755,70768,849512
"EC - London EC",33205,1994,2362,28849
"EN - Enfield",344434,24646,28935,290853
"EX - Exeter",547511,46613,59244,441654
"FY - Blackpool",276623,35375,33722,207526
"GL - Gloucester",605821,43717,56999,505105
"GU - Guildford",725368,39866,56346,629156
"HA - Harrow",480953,32644,37360,410949
"HD - Huddersfield",262814,21455,24458,216901
"HG - Harrogate",138343,9372,12535,116436
"HP - Hemel Hempstead",488351,28407,39044,420900
"HR - Hereford",176493,14865,18319,143309
"HU - Hull",443223,40758,43601,358864
"HX - Halifax",160378,12874,15347,132157
"IG - Ilford",335694,23486,26137,286071
"IP - Ipswich",595934,44967,59245,491722
"KT - Kingston upon Thames",531664,29571,39797,462296
"L - Liverpool",857079,108430,85661,662988
"LA - Lancaster",328704,31646,35394,261664
"LE - Leicester",985795,73023,89414,823358
"LN - Lincoln",293310,27982,32716,232612
"LS - Leeds",774180,59935,68699,645546
"LU - Luton",335950,22546,27692,285712
"M - Manchester",1167402,114947,107309,945146
"ME - Medway",607143,45321,55345,506477
"MK - Milton Keynes",507978,32551,40707,434720
"N - London N",848197,60397,63355,724445
"NE - Newcastle upon Tyne",1162698,120459,120674,921565
"NG - Nottingham",1163185,109080,118026,936079
"NN - Northampton",653215,47339,58827,547049
"NR - Norwich",722087,66167,79676,576244
"NW - London NW",551407,38069,40112,473226
"OL - Oldham",462833,47573,46399,368861
"OX - Oxford",612827,35398,48975,528454
"PE - Peterborough",890223,76928,91381,721914
"PL - Plymouth",542719,53154,58968,430597
"PO - Portsmouth",822331,68009,84222,670100
"PR - Preston",520556,48130,51438,420988
"RG - Reading",778677,41329,58787,678561
"RH - Redhill",532536,32201,44061,456274
"RM - Romford",516824,41857,44415,430552
"S - Sheffield",1358507,144723,142705,1071079
"SE - London SE",988702,68171,71755,848776
"SG - Stevenage",402911,24779,34046,344086
"SK - Stockport",603795,52047,58901,492847
"SL - Slough",373607,21683,27465,324459
"SM - Sutton",217048,14261,17665,185122
"SN - Swindon",459049,30624,40181,388244
"SO - Southampton",665193,46681,59604,558908
"SP - Salisbury",232524,15447,21587,195490
"SR - Sunderland",250826,33968,28800,188058
"SS - Southend-on-Sea",518677,44256,50069,424352
"ST - Stoke-on-Trent",644068,65208,69216,509644
"SW - London SW",874844,47515,54216,773113
"SY - Shrewsbury",342140,29114,35576,277450
"TA - Taunton",322197,28121,34970,259106
"TD - Galashiels",18324,1875,2099,14350
"TF - Telford",212061,18790,20430,172841
"TN - Tonbridge",680816,52217,66122,562477
"TQ - Torquay",281404,29061,33192,219151
"TR - Truro",293864,29123,32993,231748
"TS - Cleveland",602474,64279,63105,475090
"TW - Twickenham",490472,29349,36510,424613
"UB - Southall",371969,26365,29054,316550
"W - London W",533706,34485,36123,463098
"WA - Warrington",616180,60552,58557,497071
"WC - London WC",35995,2415,2789,30791
"WD - Watford",255988,16018,20183,219787
"WF - Wakefield",512657,53494,52353,406810
"WN - Wigan",308483,34096,32302,242085
"WR - Worcester",287414,22316,28414,236684
"WS - Walsall",449687,46192,46222,357273
"WV - Wolverhampton",395857,38133,40757,316967
"YO - York",562439,45622,56439,460378
"CF - Cardiff",1005334,120057,103457,781820
"LD - Llandrindod Wells",49792,4824,5611,39357
"LL - Llandudno",537467,59607,60049,417811
"NP - Newport",488368,59595,53043,375730
"SA - Swansea",730232,97092,83741,549399



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""

