
"QS204EW - Main language (detailed)"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All usual residents aged 3 and over"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","All usual residents aged 3 and over","English (English or Welsh if in Wales)","Welsh/Cymraeg (in England only)","Other UK language: Total","Other UK language: Gaelic (Irish)","Other UK language: Gaelic (Scottish)","Other UK language: Manx Gaelic","Other UK language: Gaelic (Not otherwise specified)","Other UK language: Cornish","Other UK language: Scots","Other UK language: Gypsy/Traveller languages","French","Portuguese","Spanish","Other European Language (EU): Total","Other European Language (EU): Italian","Other European Language (EU): German","Other European Language (EU): Polish","Other European Language (EU): Slovak","Other European Language (EU): Czech","Other European Language (EU): Romanian","Other European Language (EU): Lithuanian","Other European Language (EU): Latvian","Other European Language (EU): Hungarian","Other European Language (EU): Bulgarian","Other European Language (EU): Greek","Other European Language (EU): Dutch","Other European Language (EU): Swedish","Other European Language (EU): Danish","Other European Language (EU): Finnish","Other European Language (EU): Estonian","Other European Language (EU): Slovenian","Other European Language (EU): Maltese","Other European Language (EU): Any other European Language (EU)","Other European Language (non EU): Total","Other European Language (non EU): Albanian","Other European Language (non EU): Serbian/Croatian/Bosnian","Other European Language (non EU): Ukrainian","Other European Language (non EU): Any other Eastern European Language (non EU)","Other European Language (non EU): Northern European Language (non EU)","Other European Language (non-national): Total","Other European Language (non-national): Romani language (any)","Other European Language (non-national): Yiddish","Russian","Turkish","Arabic","West/Central Asian Language: Total","West/Central Asian Language: Hebrew","West/Central Asian Language: Kurdish","West/Central Asian Language: Persian/Farsi","West/Central Asian Language: Pashto","West/Central Asian Language: West/Central Asian Language (all other)","South Asian Language: Total","South Asian Language: Urdu","South Asian Language: Hindi","South Asian Language: Panjabi","South Asian Language: Pakistani Pahari (with Mirpuri and Potwari)","South Asian Language: Bengali (with Sylheti and Chatgaya)","South Asian Language: Gujarati","South Asian Language: Marathi","South Asian Language: Telugu","South Asian Language: Tamil","South Asian Language: Malayalam","South Asian Language: Sinhala","South Asian Language: Nepalese","South Asian Language: South Asian Language (all other)","East Asian Language: Total","East Asian Language: Mandarin Chinese","East Asian Language: Cantonese Chinese","East Asian Language: All other Chinese","East Asian Language: Japanese","East Asian Language: Korean","East Asian Language: Vietnamese","East Asian Language: Thai","East Asian Language: Malay","East Asian Language: Tagalog/Filipino","East Asian Language: East Asian Language (all other)","Oceanic/Australian language (any)","North/South American language (any)","Caribbean Creole: Total","Caribbean Creole: Caribbean Creole (English-based)","Caribbean Creole: Caribbean Creole (all other)","African Language: Total","African Language: Amharic","African Language: Tigrinya","African Language: Somali","African Language: Krio","African Language: Akan","African Language: Yoruba","African Language: Igbo","African Language: Swahili/Kiswahili","African Language: Luganda","African Language: Lingala","African Language: Shona","African Language: Afrikaans","African Language: Any other Nigerian language","African Language: West African language (all other)","African Language: African language (all other)","Other Languages: Total","Other Languages: All other languages","Sign Language: Total","Sign Language: British sign language","Sign Language: Sign Language (all other)","Sign Language: Any Sign Communication System"

"AL - St Albans",240105,223570,36,13,11,0,0,1,0,1,0,625,440,520,5673,596,437,2714,254,226,252,163,62,246,106,207,156,101,62,50,11,6,4,20,281,89,75,20,15,82,0,0,0,268,227,629,375,34,15,237,44,45,4106,533,266,160,2,1512,540,58,173,306,92,273,54,137,2280,128,236,1132,132,34,46,123,49,353,47,0,2,1,0,1,871,6,3,16,2,64,36,32,59,6,4,341,136,42,20,104,105,105,83,55,6,22
"B - Birmingham",1824526,1622515,248,117,56,0,2,10,1,30,18,3289,1404,1313,28924,1046,1373,16570,1661,825,1471,1155,971,713,668,995,690,283,190,119,101,14,37,42,1245,554,458,85,20,128,19,18,1,1541,646,8220,14011,33,3387,3679,6556,356,111142,33972,2166,33914,11687,17362,6286,173,486,1426,948,267,324,2131,13667,944,1651,6480,274,470,1037,598,424,1567,222,15,35,41,35,6,14479,354,1130,8553,9,174,301,149,437,39,236,1258,103,194,526,1016,683,683,972,687,158,127
"BA - Bath",419616,404056,109,18,5,0,0,3,0,7,3,620,523,600,8131,627,613,5030,214,84,246,186,84,210,172,224,173,116,63,40,13,2,20,14,219,44,31,22,29,93,2,0,2,295,205,380,184,9,27,99,7,42,966,72,81,46,0,233,31,20,32,66,230,18,102,35,2806,186,329,1217,141,77,46,270,72,418,50,55,0,1,1,0,218,3,1,2,2,4,9,1,14,5,0,57,37,8,24,51,34,34,194,168,12,14
"BB - Blackburn",468646,430939,31,74,26,0,0,3,0,45,0,188,114,216,5374,380,190,3427,122,107,77,568,198,105,26,42,64,19,17,4,3,3,22,0,120,42,23,30,1,24,2,0,2,181,130,509,1629,2,401,266,873,87,27078,6171,165,10751,265,2372,6477,20,28,115,114,37,20,543,1335,93,229,431,45,12,7,155,14,296,53,6,61,1,1,0,300,5,13,15,2,3,4,9,31,2,17,61,17,16,34,71,124,124,234,150,36,48
"BD - Bradford",551669,477310,28,35,12,0,0,1,0,13,9,447,148,224,12140,570,288,5805,2168,663,258,441,1001,180,89,384,123,20,20,21,52,19,26,12,430,65,133,194,11,27,3,3,0,706,90,2421,5559,7,1281,601,3602,68,47776,16699,316,20072,1057,4754,2673,33,85,144,156,63,75,1649,2598,133,279,945,56,33,34,129,201,703,85,7,18,8,7,1,1195,25,23,24,0,27,58,41,98,5,29,261,23,63,91,427,247,247,279,195,52,32
"BH - Bournemouth",534824,510027,63,31,8,0,0,2,0,18,3,839,1882,1352,10563,582,878,6001,337,243,447,366,233,443,191,145,271,125,107,103,56,4,14,17,509,81,52,33,19,324,3,3,0,670,696,656,940,19,227,489,73,132,2239,112,197,43,2,520,126,84,82,245,529,39,184,76,3622,187,333,1253,162,291,79,402,88,733,94,20,0,1,1,0,478,6,3,3,1,15,11,8,27,3,5,172,86,22,26,90,99,99,134,95,23,16
"BL - Bolton",365223,337924,35,22,7,0,0,2,0,11,2,361,263,136,4081,235,137,2280,197,214,69,297,36,359,25,55,82,23,45,12,1,1,11,2,268,66,104,75,7,16,0,0,0,121,230,730,2137,12,691,811,504,119,15928,4213,170,2512,55,331,7965,13,42,109,212,43,40,223,1326,82,185,515,34,30,24,105,14,217,120,1,60,0,0,0,1355,29,50,498,8,29,42,51,36,4,65,120,9,18,60,336,88,88,157,115,30,12
"BN - Brighton",776636,736714,61,52,25,1,0,12,0,12,2,2146,2127,2469,14775,1653,1712,4581,770,559,348,1109,430,777,381,915,478,499,182,181,56,8,59,77,771,292,137,78,34,230,6,6,0,1028,770,2755,1633,55,219,1023,169,167,3882,297,218,107,6,1545,422,76,93,301,407,120,193,97,5806,327,645,2094,391,174,140,580,109,1206,140,0,0,3,3,0,1077,45,30,23,10,34,42,12,90,19,14,225,103,67,103,260,174,174,387,273,29,85
"BR - Bromley",287896,272300,31,25,10,0,0,8,1,6,0,838,585,678,4320,554,442,1264,110,102,292,433,52,163,259,193,168,104,82,34,19,4,32,13,537,323,82,44,20,68,7,7,0,529,858,498,455,20,81,265,51,38,3188,229,246,183,0,439,476,26,67,1081,126,119,101,95,1925,79,240,673,206,31,61,148,35,415,37,0,2,2,2,0,917,16,16,70,13,120,141,70,42,30,6,71,162,35,38,87,69,69,132,97,18,17
