
"QS701EW - Method of travel to work"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All usual residents aged 16 to 74"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","All categories: Method of travel to work","Work mainly at or from home","Underground, metro, light rail, tram","Train","Bus, minibus or coach","Taxi","Motorcycle, scooter or moped","Driving a car or van","Passenger in a car or van","Bicycle","On foot","Other method of travel to work","Not in employment"

"AL - St Albans",180961,8593,1297,18702,3987,440,848,70460,4665,2619,12045,617,56688
"B - Birmingham",1363116,31564,2802,32729,105527,4670,4254,499099,45455,12206,71566,4351,548893
"BA - Bath",316569,15826,307,5405,6973,588,1972,129467,11130,6361,33641,1257,103642
"BB - Blackburn",351635,8920,131,2188,12454,2348,1224,142629,15885,2368,25727,1225,136536
"BD - Bradford",408104,10783,257,9954,21757,2807,1252,151019,17562,2063,28664,1601,160385
"BH - Bournemouth",398018,16688,371,4272,13652,709,3168,167920,12819,11069,27636,1806,137908
"BL - Bolton",276700,6988,1674,4756,11249,1977,1044,114801,11065,1857,16672,889,103728
"BN - Brighton",585611,26892,718,30809,29804,1505,3187,201272,17109,14629,56716,2524,200446
"BR - Bromley",213478,8130,3915,43092,10378,810,1596,60608,3478,1961,9427,850,69233
"BS - Bristol",692383,24482,516,8614,30919,1276,5525,282315,23256,24682,62668,2423,225707
"CA - Carlisle",235255,10529,94,1201,7579,565,876,98006,11148,2963,22548,957,78789
"CB - Cambridge",314413,14857,389,9217,9061,683,1790,121059,8951,26037,22901,1155,98313
"CH - Chester",482300,13497,1586,11305,17376,1989,2425,201204,18645,6625,28131,2315,177202
"CM - Chelmsford",474796,18978,6217,39337,9465,1667,2163,199794,14635,6048,30054,1720,144718
"CO - Colchester",297937,11362,388,12071,7056,723,1433,117705,9373,5829,21819,1161,109017
"CR - Croydon",293894,8857,14335,42132,25777,661,1835,77084,4837,2540,15112,1294,99430
"CT - Canterbury",348618,11925,459,9081,10654,1037,1740,127402,12261,4978,28977,1454,138650
"CV - Coventry",603666,20216,401,8624,22967,1543,2705,252479,25402,10058,42159,2103,215009
"CW - Crewe",227499,9760,171,2972,2872,429,1174,105874,8599,4423,13730,789,76706
"DA - Dartford",309655,7920,2869,40892,14601,1465,2704,111977,8753,2267,13820,1129,101258
"DE - Derby",533146,17099,307,3556,18681,1943,3133,235158,20810,8666,36954,1749,185090
"DH - Durham",233036,5394,308,1353,11106,802,617,93243,10298,1326,13367,900,94322
"DL - Darlington",265371,9932,146,1998,7553,897,738,108615,11471,3174,23743,1608,95496
"DN - Doncaster",552137,13880,237,4105,17048,1738,2699,229012,24061,12647,36020,2187,208503
"DT - Dorchester",153527,8243,180,1173,3179,305,1098,61128,4817,2643,15793,887,54081
"DY - Dudley",298302,8234,426,5221,10494,638,1572,129408,10955,2599,16073,839,111843
"E - London E",745455,16014,160552,42316,63617,2166,3678,88347,6194,24171,46674,3133,288593
"EC - London EC",27771,1197,3307,817,2479,239,165,965,97,1191,7177,187,9950
"EN - Enfield",247460,7728,13424,19263,11411,1304,1353,86545,5395,2140,11581,1024,86292
"EX - Exeter",397128,23949,259,3786,11113,754,2663,150740,13000,8141,42290,2000,138433
"FY - Blackpool",199826,6289,104,1307,7997,973,1038,75047,8174,3763,14848,1095,79191
"GL - Gloucester",443770,21588,441,3495,12531,506,2751,198812,15519,11426,35954,1611,139136
"GU - Guildford",527039,28580,950,34078,8786,800,2783,236204,15044,7943,35592,2629,153650
"HA - Harrow",352825,11622,58667,14852,22840,843,1407,95219,5734,2164,15906,1260,122311
"HD - Huddersfield",193666,6103,104,3807,10463,741,778,80091,7328,1133,12356,624,70138
"HG - Harrogate",99942,5701,108,1814,3015,216,391,43576,3662,1571,10889,468,28531
"HP - Hemel Hempstead",351560,17929,3853,16274,7980,1301,1529,157572,11274,3394,23941,1440,105073
"HR - Hereford",128326,7947,83,592,1548,288,606,54142,4619,3270,13134,728,41369
"HU - Hull",327751,6987,122,2091,17747,1418,2107,121465,13294,12297,21609,1784,126830
"HX - Halifax",116665,3702,67,2403,6875,435,502,47524,5006,690,8075,378,41008
"IG - Ilford",238432,6224,40713,13947,11015,1370,932,57598,3578,1371,8951,943,91790
"IP - Ipswich",430051,18290,388,5959,9478,853,2652,190893,15772,10871,34436,1582,138877
"KT - Kingston upon Thames",384507,19958,5275,51535,13333,952,3349,134819,7383,8476,21785,1654,115988
"L - Liverpool",642574,11084,1777,21953,52764,5324,1609,200108,23003,7245,41174,2528,274005
"LA - Lancaster",243479,9945,134,2899,6489,1051,1413,90053,9394,5702,25750,1180,89469
"LE - Leicester",725456,22814,564,5591,31464,1447,3069,299715,27671,14161,55007,2389,261564
"LN - Lincoln",217424,8229,141,958,4529,522,1320,87546,7645,5941,18324,903,81366
"LS - Leeds",576050,16401,535,14352,49555,3130,1773,206951,21515,6542,43664,1714,209918
"LU - Luton",242224,6762,472,9227,8522,1242,869,98095,10900,2111,17712,1052,85260
"M - Manchester",870041,19037,11564,10748,80330,4583,2703,288870,28476,15804,61086,3057,343783
"ME - Medway",443941,13707,554,22384,10832,987,2823,190857,16358,4118,30118,1563,149640
"MK - Milton Keynes",370005,15279,446,12277,11221,1999,1381,168897,14844,7069,21488,1448,113656
"N - London N",641252,23676,122381,29060,74847,1848,4606,89184,5329,25102,35680,2821,226718
"NE - Newcastle upon Tyne",865397,20484,25941,6618,60662,3498,2292,304237,33398,10777,55383,5048,337059
"NG - Nottingham",862218,24581,4583,7001,52653,2410,3906,330416,29973,16253,59923,2975,327544
