
"KS608EW to KS610EW - Occupation by sex"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All usual residents aged 16 to 74 in employment the week before the census"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"
"Sex        :","All persons"

"postcode areas","All categories: Occupation","1. Managers, directors and senior officials","2. Professional occupations","3. Associate professional and technical occupations","4. Administrative and secretarial occupations","5. Skilled trades occupations","6. Caring, leisure and other service occupations","7. Sales and customer service occupations","8. Process plant and machine operatives","9. Elementary occupations"

"AL - St Albans",124273,16977,30388,19109,13628,10225,9690,9451,5112,9693
"B - Birmingham",814223,77104,137951,92195,99652,87194,77643,71020,70290,101174
"BA - Bath",212927,23746,37618,25418,22013,28071,20102,17831,14655,23473
"BB - Blackburn",215099,21307,30557,21725,22596,28652,24364,18854,23049,23995
"BD - Bradford",247719,23606,35047,26849,29387,30691,24928,21781,24143,31287
"BH - Bournemouth",260110,31280,42362,31913,29716,33461,25866,23605,15185,26722
"BL - Bolton",172972,17663,27344,20565,20453,19177,16687,17498,14642,18943
"BN - Brighton",385165,44289,72277,54464,41247,43161,41068,33732,19281,35646
"BR - Bromley",144245,18673,30037,22620,22131,13645,11006,10246,6442,9445
"BS - Bristol",466676,46925,91956,61121,56473,50925,41293,41024,28308,48651
"CA - Carlisle",156466,15354,20604,14883,15491,24942,14992,13418,16852,19930
"CB - Cambridge",216100,23959,56181,26487,21396,22190,19289,14070,11982,20546
"CH - Chester",305098,29870,52020,36203,35653,34742,30417,27582,25456,33155
"CM - Chelmsford",330078,41968,55726,47354,43930,37860,28523,23587,20906,30224
"CO - Colchester",188920,21643,28055,23927,21423,24429,20879,15661,13252,19651
"CR - Croydon",194464,20365,36311,26128,27988,19840,18565,17081,10515,17671
"CT - Canterbury",209968,21720,33937,24545,21854,25433,24967,19742,13765,24005
"CV - Coventry",388657,40516,68766,46234,43991,41446,34683,31760,29551,51710
"CW - Crewe",150793,18247,25166,18176,15725,16853,13844,12561,12443,17778
"DA - Dartford",208397,20740,29849,25721,32700,26085,18429,18330,15451,21092
"DE - Derby",348056,36683,54416,38278,37089,43249,31896,28039,34966,43440
"DH - Durham",138714,12413,21914,15283,16975,16293,13268,13120,12890,16558
"DL - Darlington",169875,16960,22580,22892,18559,23157,16970,14580,14288,19889
"DN - Doncaster",343634,32351,40178,33646,34612,45744,35282,30934,41032,49855
"DT - Dorchester",99446,11490,15571,12191,9902,15535,10360,7291,6117,10989
"DY - Dudley",186459,19505,25937,19899,21962,25633,18064,16563,17962,20934
"E - London E",456862,41726,93126,70409,48552,40133,36030,42221,24480,60185
"EC - London EC",17821,2695,5908,4146,1366,652,764,839,419,1032
"EN - Enfield",161168,18488,27639,21056,22987,18682,14576,12446,10642,14652
"EX - Exeter",258695,28141,39313,27606,26023,40961,26884,22311,17199,30257
"FY - Blackpool",120635,13583,16494,12359,16836,13981,13772,10985,8564,14061
"GL - Gloucester",304634,35384,52312,37297,37593,38075,28466,22987,21289,31231
"GU - Guildford",373389,52088,78680,57689,41692,38774,32310,25834,16164,30158
"HA - Harrow",230514,26488,49659,29185,30310,21584,17569,20283,13374,22062
"HD - Huddersfield",123528,13762,21800,15479,13137,14672,11524,9997,10182,12975
"HG - Harrogate",71411,9873,13047,10241,7701,8213,6623,5408,3388,6917
"HP - Hemel Hempstead",246487,34166,47530,36774,28206,26223,21258,18577,12992,20761
"HR - Hereford",86957,9957,12234,8888,8426,14153,8629,6555,7497,10618
"HU - Hull",200921,18145,28340,21702,21904,27186,19939,19317,18104,26284
"HX - Halifax",75657,7999,12758,9348,8828,9102,7320,5640,6952,7710
"IG - Ilford",146642,16271,29164,18515,20630,13241,11725,13090,9768,14238
"IP - Ipswich",291174,31228,42038,37409,32179,38329,27980,22626,24606,34779
"KT - Kingston upon Thames",268519,39983,62461,43350,32127,23281,21834,17960,9772,17751
"L - Liverpool",368569,30414,60357,41295,49714,36318,39044,37820,28631,44976
"LA - Lancaster",154010,15927,25526,15889,14702,23041,16671,13266,10646,18342
"LE - Leicester",463892,48755,74546,53807,51735,52978,42320,39360,42874,57517
"LN - Lincoln",136058,14389,19481,16467,13979,17707,14363,12095,11675,15902
"LS - Leeds",366132,36203,70323,48139,43410,36662,33036,33546,23193,41620
"LU - Luton",156964,15449,23120,17766,18688,18349,15066,13210,14220,21096
"M - Manchester",526258,44877,91956,64968,63976,49227,51118,56313,37050,66773
"ME - Medway",294301,31311,41366,37321,37008,37360,27127,24683,23593,34532
"MK - Milton Keynes",256349,30079,46842,34096,30882,25880,21314,21304,16607,29345
