
"WD212EW - Passports held (detailed)"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All usual residents who are either in employment in the area, or not in employment but live in the area"
"Units      :","Persons"
"Date       :","2011"

"postcode areas","All categories: Passports held","Europe: Total","Europe: United Kingdom","Europe: Ireland","Europe: Other Europe: Total","Europe: Other Europe: EU countries: Total","Europe: Other Europe: EU countries: Member countries in March 2001: Total","Europe: Other Europe: EU countries: Member countries in March 2001: France","Europe: Other Europe: EU countries: Member countries in March 2001: Germany","Europe: Other Europe: EU countries: Member countries in March 2001: Italy","Europe: Other Europe: EU countries: Member countries in March 2001: Portugal","Europe: Other Europe: EU countries: Member countries in March 2001: Spain","Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Total","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries","Europe: Other Europe: Rest of Europe: Total","Europe: Other Europe: Rest of Europe: Turkey","Europe: Other Europe: Rest of Europe: Other Europe","Africa: Total","Africa: North Africa","Africa: Central and Western Africa: Total","Africa: Central and Western Africa: Ghana","Africa: Central and Western Africa: Nigeria","Africa: Central and Western Africa: Other Central and Western Africa","Africa: South and Eastern Africa: Total","Africa: South and Eastern Africa: Kenya","Africa: South and Eastern Africa: Somalia","Africa: South and Eastern Africa: South Africa","Africa: South and Eastern Africa: Zimbabwe","Africa: South and Eastern Africa: Other South and Eastern Africa","Middle East and Asia: Total","Middle East and Asia: Middle East: Total","Middle East and Asia: Middle East: Iran","Middle East and Asia: Middle East: Iraq","Middle East and Asia: Middle East: Other Middle East","Middle East and Asia: Eastern Asia: Total","Middle East and Asia: Eastern Asia: China","Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China)","Middle East and Asia: Eastern Asia: Japan","Middle East and Asia: Eastern Asia: Other Eastern Asia","Middle East and Asia: Southern Asia: Total","Middle East and Asia: Southern Asia: Afghanistan","Middle East and Asia: Southern Asia: Bangladesh","Middle East and Asia: Southern Asia: India","Middle East and Asia: Southern Asia: Pakistan","Middle East and Asia: Southern Asia: Sri Lanka","Middle East and Asia: Southern Asia: Other Southern Asia","Middle East and Asia: South-East Asia: Total","Middle East and Asia: South-East Asia: Malaysia","Middle East and Asia: South-East Asia: Philippines","Middle East and Asia: South-East Asia: Singapore","Middle East and Asia: South-East Asia: Other South-East Asia","Middle East and Asia: Central Asia","The Americas and the Caribbean: Total","The Americas and the Caribbean: North America: Total","The Americas and the Caribbean: North America: Canada","The Americas and the Caribbean: North America: United States","The Americas and the Caribbean: Central America","The Americas and the Caribbean: South America","The Americas and the Caribbean: The Caribbean: Total","The Americas and the Caribbean: The Caribbean: Jamaica","The Americas and the Caribbean: The Caribbean: Other Caribbean","Antarctica and Oceania: Total","Antarctica and Oceania: Australasia: Total","Antarctica and Oceania: Australasia: Australia","Antarctica and Oceania: Australasia: New Zealand","Antarctica and Oceania: Other Oceania","British Overseas Territories","No passport held"

"AL - St Albans",256298,218853,204790,3070,10993,10506,4642,671,698,1099,429,486,1259,5864,345,3877,323,1319,487,106,381,3265,149,1462,358,1009,95,1654,154,2,508,579,411,5763,446,117,15,314,1135,860,52,171,52,3289,8,419,1752,536,482,92,879,377,266,46,190,14,1177,759,165,594,30,218,170,76,94,613,610,379,231,3,1,26626
"B - Birmingham",1951302,1534706,1466150,17647,50909,48542,22578,2411,2667,1942,1279,1029,13250,25964,1536,16605,1627,6196,2367,322,2045,11947,1005,5498,854,2978,1666,5444,421,112,850,2388,1673,52976,3157,1104,497,1556,6406,5048,274,316,768,39305,1459,3274,19314,14388,510,360,4014,1331,1317,146,1220,94,8040,2126,691,1435,117,587,5210,4739,471,842,795,554,241,47,63,342728
"BA - Bath",440490,350991,338488,1497,11006,10494,4476,657,836,900,430,497,1156,6018,226,4468,281,1043,512,87,425,1014,141,218,43,130,45,655,57,0,342,147,109,3943,298,78,20,200,1424,940,174,170,140,1145,3,98,805,93,50,96,1047,235,426,38,348,29,1399,1013,256,757,59,174,153,75,78,686,593,397,196,93,15,82442
"BB - Blackburn",483065,383428,374437,1547,7444,7152,2493,252,310,848,179,289,615,4659,675,3205,89,690,292,67,225,631,77,164,18,98,48,390,42,0,138,122,88,7014,123,47,31,45,295,212,16,46,21,6175,83,427,1560,4001,77,27,417,105,176,12,124,4,414,307,97,210,17,46,44,19,25,164,139,93,46,25,10,91404
"BD - Bradford",574120,458212,441742,1627,14843,14600,3800,409,525,1140,202,252,1272,10800,557,5297,280,4666,243,39,204,3083,748,1105,191,703,211,1230,73,1,210,506,440,16167,1401,162,216,1023,911,768,35,61,47,12832,230,673,2382,9384,87,76,1021,237,459,31,294,2,809,448,114,334,27,108,226,159,67,267,257,143,114,10,8,95574
"BH - Bournemouth",544786,446881,427475,2169,17237,15991,7049,880,1164,1145,1302,811,1747,8942,534,6094,455,1859,1246,370,876,1829,214,388,73,218,97,1227,57,0,641,384,145,5760,375,118,26,231,1484,870,98,175,341,2387,80,178,1751,102,134,142,1418,153,757,31,477,96,1872,840,250,590,35,906,91,24,67,498,479,334,145,19,13,87933
"BL - Bolton",374512,302137,293713,1580,6844,6493,2723,211,257,500,283,236,1236,3770,379,2381,58,952,351,89,262,1599,86,780,71,550,159,733,49,4,130,278,272,5673,316,142,96,78,380,318,13,31,18,4551,226,126,2007,2100,79,13,421,106,180,14,121,5,450,281,83,198,8,77,84,46,38,116,112,76,36,4,0,64537
"BN - Brighton",764624,636291,605014,5102,26175,24475,14529,2214,2301,2477,1729,1843,3965,9946,1142,4644,398,3762,1700,447,1253,3234,408,955,151,566,238,1871,156,1,750,554,410,8630,1001,342,76,583,2508,1436,338,414,320,2932,77,431,1757,267,227,173,2112,372,1007,60,673,77,3062,1977,615,1362,117,760,208,62,146,1211,1209,805,404,2,20,112176
"BR - Bromley",263900,226004,215421,2489,8094,7451,4271,829,654,870,379,370,1169,3180,607,1283,285,1005,643,165,478,2672,161,1593,346,1004,243,918,77,2,341,245,253,3252,196,69,55,72,458,240,26,151,41,1918,20,210,1008,148,380,152,659,166,313,48,132,21,1457,577,152,425,14,305,561,445,116,466,465,305,160,1,2,30047
"BS - Bristol",952555,777535,743876,4388,29271,27959,12641,1876,1696,1917,1121,1318,4713,15318,976,9628,772,3942,1312,301,1011,4682,418,1949,315,1040,594,2315,257,61,809,702,486,11164,681,143,82,456,2406,1687,161,227,331,5569,63,404,3447,1241,243,171,2469,816,682,176,795,39,3459,1698,477,1221,111,643,1007,858,149,1154,1133,783,350,21,20,154541
"CA - Carlisle",319648,245706,241232,585,3889,3762,1158,107,223,174,196,106,352,2604,145,1851,124,484,127,37,90,312,28,78,13,56,9,206,32,0,141,13,20,1110,20,10,2,8,217,127,53,22,15,571,0,101,269,62,20,119,298,38,134,13,113,4,400,331,74,257,7,37,25,12,13,172,172,103,69,0,6,71942
"CB - Cambridge",435157,355131,327134,3083,24914,23397,12577,1949,2584,2188,1069,1407,3380,10820,1506,5822,510,2982,1517,287,1230,2426,296,664,138,421,105,1466,98,2,675,347,344,10390,862,204,16,642,3156,1958,157,569,472,4088,15,384,2727,473,304,185,2208,628,701,336,543,76,5341,4366,709,3657,157,579,239,137,102,1471,1411,908,503,60,15,60383
"CH - Chester",638521,514104,502691,2746,8667,8325,2806,367,534,483,235,333,854,5519,407,3692,387,1033,342,135,207,805,85,219,37,156,26,501,45,0,256,106,94,2571,72,25,17,30,417,285,11,96,25,1424,7,229,924,151,92,21,652,108,307,14,223,6,784,571,141,430,36,109,68,21,47,326,295,187,108,31,2,119929
"CM - Chelmsford",614945,518208,499766,4098,14344,13618,6190,798,1036,1067,889,664,1736,7428,740,4288,558,1842,726,199,527,3084,145,1155,407,635,113,1784,101,0,590,640,453,4854,222,42,24,156,496,295,52,109,40,2845,10,416,1642,427,193,157,1271,277,623,50,321,20,1584,1022,248,774,29,332,201,96,105,724,718,454,264,6,2,86489
"CO - Colchester",387963,303571,294096,1695,7780,7271,3071,474,601,364,188,266,1178,4200,501,2042,449,1208,509,140,369,1452,118,593,142,382,69,741,39,0,320,174,208,4323,829,71,52,706,978,752,70,100,56,1412,12,99,657,158,112,374,1048,198,562,24,264,56,1007,648,137,511,56,184,119,53,66,360,283,186,97,77,6,77244
"CR - Croydon",352386,287863,264368,3612,19883,18912,9449,1698,1568,1477,1439,854,2413,9463,876,5762,738,2087,971,273,698,7931,249,4721,2223,1843,655,2961,148,13,630,537,1633,11175,228,101,58,69,994,547,71,284,92,8844,283,310,4495,1827,1754,175,1061,309,412,58,282,48,3536,758,239,519,39,683,2056,1698,358,581,579,386,193,2,11,41289
"CT - Canterbury",466771,371496,355592,2325,13579,12754,5381,1194,1007,714,307,426,1733,7373,661,2400,566,3746,825,231,594,1585,130,517,84,365,68,938,122,0,326,257,233,7025,304,46,17,241,1102,654,136,185,127,4571,44,166,1027,185,162,2987,1028,318,363,32,315,20,1412,1048,240,808,27,175,162,51,111,513,479,329,150,34,21,84719
