
"KS101EW - Usual resident population"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","All usual residents","Males","Females","Lives in a household","Lives in a communal establishment","Schoolchild or full-time student aged 4 and over at their non term-time address","Area (Hectares)","Density (number of persons per hectare)"

"AL - St Albans",250427,123101,127326,245053,5374,4574,31044.95,8.1
"B - Birmingham",1904658,936024,968634,1875349,29309,18762,129635.27,14.7
"BA - Bath",434166,212518,221648,421476,12690,7291,182254.82,2.4
"BB - Blackburn",488917,241644,247273,483480,5437,5276,99303.29,4.9
"BD - Bradford",578336,284509,293827,570247,8089,5300,130241.13,4.4
"BH - Bournemouth",551987,269540,282447,541986,10001,6386,96944.45,5.7
"BL - Bolton",380259,187440,192819,377031,3228,4258,30457.63,12.5
"BN - Brighton",802831,390346,412485,785760,17071,8589,110142.84,7.3
"BR - Bromley",299293,143365,155928,297192,2101,4624,14393.46,20.8
"BS - Bristol",940241,464341,475900,923053,17188,10417,115844.53,8.1
"CA - Carlisle",318244,156746,161498,313800,4444,3975,511323.16,0.6
"CB - Cambridge",421467,211046,210421,400561,20906,6861,186636.33,2.3
"CH - Chester",659743,320150,339593,653382,6361,7950,98550.57,6.7
"CM - Chelmsford",653492,319823,333669,646952,6540,9449,179595.53,3.6
"CO - Colchester",411418,200530,210888,402061,9357,5044,132033.86,3.1
"CR - Croydon",405982,197284,208698,401911,4071,5538,15280.12,26.6
"CT - Canterbury",482504,234015,248489,467888,14616,5364,91376.80,5.3
"CV - Coventry",821807,407483,414324,803988,17819,10787,184365.58,4.5
"CW - Crewe",309489,152174,157315,305881,3608,4291,93718.14,3.3
"DA - Dartford",430560,209693,220867,427630,2930,4660,26595.19,16.2
"DE - Derby",730620,360746,369874,720442,10178,8154,179042.92,4.1
"DH - Durham",309211,151491,157720,299212,9999,2792,71655.70,4.3
"DL - Darlington",360975,178525,182450,351470,9505,4406,340984.71,1.1
"DN - Doncaster",755713,372690,383023,744039,11674,7529,276879.99,2.7
"DT - Dorchester",213203,104619,108584,206455,6748,3520,167427.93,1.3
"DY - Dudley",410598,202279,208319,406246,4352,3772,59646.90,6.9
"E - London E",990035,503620,486415,981683,8352,7747,12111.24,81.7
"EC - London EC",33205,17527,15678,30858,2347,308,412.75,80.4
"EN - Enfield",344434,165899,178535,341758,2676,4430,22450.52,15.3
"EX - Exeter",547511,265417,282094,533451,14060,7354,479103.23,1.1
"FY - Blackpool",276623,134642,141981,270375,6248,2831,15965.45,17.3
"GL - Gloucester",605821,297142,308679,594154,11667,9505,281369.20,2.2
"GU - Guildford",725368,358165,367203,706433,18935,14276,162560.37,4.5
"HA - Harrow",480953,238230,242723,475742,5211,7871,11278.58,42.6
"HD - Huddersfield",262814,129773,133041,258473,4341,3019,32654.84,8.0
"HG - Harrogate",138343,67353,70990,135398,2945,2447,94153.32,1.5
"HP - Hemel Hempstead",488351,240537,247814,481091,7260,9269,99825.50,4.9
"HR - Hereford",176493,86892,89601,173763,2730,2814,205855.79,0.9
"HU - Hull",443223,219670,223553,435051,8172,4183,94224.98,4.7
"HX - Halifax",160378,78408,81970,159401,977,1636,29159.67,5.5
"IG - Ilford",335694,166416,169278,333829,1865,4445,9263.93,36.2
"IP - Ipswich",595934,295080,300854,584061,11873,8125,380275.43,1.6
"KT - Kingston upon Thames",531664,258959,272705,523243,8421,10056,33876.17,15.7
"L - Liverpool",857079,417624,439455,836036,21043,6872,53521.74,16.0
"LA - Lancaster",328704,160439,168265,315206,13498,4535,262905.38,1.3
"LE - Leicester",985795,487019,498776,959967,25828,13096,235189.60,4.2
"LN - Lincoln",293310,143208,150102,283854,9456,3629,254424.53,1.2
"LS - Leeds",774180,378756,395424,753855,20325,8715,91254.54,8.5
"LU - Luton",335950,167465,168485,333485,2465,4145,38216.84,8.8
"M - Manchester",1167402,579852,587550,1137268,30134,10301,38798.98,30.1
"ME - Medway",607143,299950,307193,597703,9440,6348,99452.18,6.1
"MK - Milton Keynes",507978,251096,256882,500892,7086,7950,135568.32,3.7
"N - London N",848197,415740,432457,839655,8542,9778,10883.33,77.9
"NE - Newcastle upon Tyne",1162698,569489,593209,1142959,19739,10191,479344.48,2.4
"NG - Nottingham",1163185,574809,588376,1137664,25521,12351,265159.53,4.4
"NN - Northampton",653215,321734,331481,645422,7793,8326,188962.42,3.5
"NR - Norwich",722087,353068,369019,707799,14288,8107,326644.59,2.2
"NW - London NW",551407,270254,281153,545666,5741,7068,7980.88,69.1
"OL - Oldham",462833,227342,235491,458510,4323,4525,37327.46,12.4
"OX - Oxford",612827,302696,310131,584534,28293,10891,236055.41,2.6
"PE - Peterborough",890223,437419,452804,877084,13139,10983,563348.21,1.6
"PL - Plymouth",542719,265606,277113,532363,10356,5689,286837.08,1.9
"PO - Portsmouth",822331,402870,419461,804791,17540,8572,109016.93,7.5
"PR - Preston",520556,256791,263765,507466,13090,6212,96776.30,5.4
"RG - Reading",778677,386575,392102,763747,14930,14221,196322.38,4.0
"RH - Redhill",532536,260883,271653,522697,9839,9140,141645.81,3.8
"RM - Romford",516824,250184,266640,513752,3072,4790,29171.22,17.7
"S - Sheffield",1358507,668119,690388,1338119,20388,12057,184783.60,7.4
"SE - London SE",988702,487062,501640,974314,14388,10481,13392.57,73.8
"SG - Stevenage",402911,198658,204253,398642,4269,6187,130876.00,3.1
"SK - Stockport",603795,295610,308185,597722,6073,8472,115821.00,5.2
"SL - Slough",373607,184318,189289,368040,5567,6693,41691.96,9.0
"SM - Sutton",217048,105683,111365,214149,2899,3012,5482.00,39.6
"SN - Swindon",459049,227561,231488,452193,6856,7412,216572.53,2.1
"SO - Southampton",665193,328029,337164,647963,17230,9097,150700.67,4.4
"SP - Salisbury",232524,115124,117400,224059,8465,4624,167727.18,1.4
"SR - Sunderland",250826,121956,128870,246921,3905,1405,13560.16,18.5
"SS - Southend-on-Sea",518677,252994,265683,514058,4619,4837,38470.96,13.5
"ST - Stoke-on-Trent",644068,320137,323931,631035,13033,6412,149008.84,4.3
"SW - London SW",874844,430587,444257,861365,13479,12999,10478.30,83.5
"SY - Shrewsbury",342140,169331,172809,332099,10041,5614,607067.53,0.6
"TA - Taunton",322197,156342,165855,315423,6774,4445,221837.71,1.5
"TD - Galashiels",18324,8846,9478,17941,383,249,39435.45,0.5
"TF - Telford",212061,105352,106709,208699,3362,2497,81016.23,2.6
"TN - Tonbridge",680816,331232,349584,669197,11619,11514,266870.70,2.6
"TQ - Torquay",281404,135875,145529,275170,6234,3513,115617.32,2.4
"TR - Truro",293864,142224,151640,288654,5210,3418,140661.63,2.1
"TS - Cleveland",602474,294263,308211,594172,8302,5512,103624.48,5.8
"TW - Twickenham",490472,242706,247766,483089,7383,6501,16498.00,29.7
"UB - Southall",371969,186893,185076,364432,7537,4007,13294.09,28.0
"W - London W",533706,264972,268734,525561,8145,7333,5658.21,94.3
"WA - Warrington",616180,302807,313373,609673,6507,7506,70215.89,8.8
"WC - London WC",35995,18429,17566,30812,5183,309,356.93,100.8
"WD - Watford",255988,125231,130757,253217,2771,4363,18607.41,13.8
"WF - Wakefield",512657,252148,260509,507636,5021,4180,48534.92,10.6
"WN - Wigan",308483,152791,155692,306166,2317,2604,21043.40,14.7
"WR - Worcester",287414,140817,146597,281901,5513,4314,124872.98,2.3
"WS - Walsall",449687,221550,228137,445116,4571,3895,45784.03,9.8
"WV - Wolverhampton",395857,195798,200059,389370,6487,3712,56412.61,7.0
"YO - York",562439,274142,288297,546673,15766,7936,490885.28,1.1
"CF - Cardiff",1005334,492871,512463,985881,19453,10531,149895.30,6.7
