
"KS501EW - Qualifications and students"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All usual residents aged 16 and over"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","No qualifications","Highest level of qualification: Level 1 qualifications","Highest level of qualification: Level 2 qualifications","Highest level of qualification: Apprenticeship","Highest level of qualification: Level 3 qualifications","Highest level of qualification: Level 4 qualifications and above","Highest level of qualification: Other qualifications","Schoolchildren and full-time students: Age 16 to 17","Schoolchildren and full-time students: Age 18 and over","Full-time students: Age 18 to 74: Economically active: In employment","Full-time students: Age 18 to 74: Economically active: Unemployed","Full-time students: Age 18 to 74: Economically inactive"

"AL - St Albans",14.7,11.3,14.1,3.0,12.8,39.2,4.9,2.9,7.7,2.6,0.7,4.5
"B - Birmingham",27.6,13.8,14.7,2.7,12.4,22.8,6.0,3.1,6.7,2.0,0.7,4.1
"BA - Bath",19.4,12.8,16.0,4.1,14.1,29.1,4.4,2.8,5.8,1.8,0.4,3.5
"BB - Blackburn",27.2,13.7,15.6,4.6,12.2,21.4,5.3,3.0,3.8,1.5,0.4,1.9
"BD - Bradford",27.5,14.2,15.1,4.1,11.5,21.4,6.2,3.1,5.3,1.7,0.6,3.0
"BH - Bournemouth",21.1,13.6,16.2,4.6,13.2,26.1,5.2,2.3,4.9,1.8,0.4,2.7
"BL - Bolton",25.1,13.9,16.1,4.1,12.1,23.6,5.1,3.0,4.0,1.5,0.4,2.1
"BN - Brighton",20.4,13.1,15.3,3.2,13.3,29.6,5.0,2.4,6.0,2.1,0.5,3.3
"BR - Bromley",19.0,13.8,16.3,2.8,11.4,31.7,4.9,3.0,3.3,1.2,0.2,1.8
"BS - Bristol",19.6,13.2,15.0,4.0,13.8,30.0,4.4,2.5,6.4,2.2,0.5,3.8
"CA - Carlisle",25.5,14.1,16.2,4.8,12.1,23.1,4.2,2.4,2.6,1.2,0.2,1.2
"CB - Cambridge",16.5,10.9,13.3,3.3,13.1,37.4,5.4,2.6,8.9,2.1,0.3,6.5
"CH - Chester",22.6,13.9,16.7,4.3,12.7,26.0,3.9,2.8,3.8,1.5,0.3,1.9
"CM - Chelmsford",20.7,15.8,17.4,3.7,11.8,26.3,4.3,2.9,2.6,1.2,0.2,1.2
"CO - Colchester",25.5,14.8,16.7,3.8,11.8,22.6,4.7,2.5,4.3,1.5,0.4,2.4
