
"QS210EW - Religion (detailed)"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","All categories: Religion","Christian","Buddhist","Hindu","Jewish","Muslim (Islam)","Sikh","Other religion: Total","Other religion: Animism","Other religion: Baha'i","Other religion: Believe in God","Other religion: Brahma Kumari","Other religion: Chinese Religion","Other religion: Church of All Religion","Other religion: Confucianist","Other religion: Deist","Other religion: Druid","Other religion: Druze","Other religion: Eckankar","Other religion: Heathen","Other religion: Jain","Other religion: Mixed Religion","Other religion: Mysticism","Other religion: Native American Church","Other religion: New Age","Other religion: Occult","Other religion: Own Belief System","Other religion: Pagan","Other religion: Pantheism","Other religion: Rastafarian","Other religion: Ravidassia","Other religion: Reconstructionist","Other religion: Satanism","Other religion: Scientology","Other religion: Shamanism","Other religion: Shintoism","Other religion: Spiritual","Other religion: Spiritualist","Other religion: Taoist","Other religion: Theism","Other religion: Thelemite","Other religion: Traditional African Religion","Other religion: Unification Church","Other religion: Universalist","Other religion: Vodun","Other religion: Wicca","Other religion: Witchcraft","Other religion: Zoroastrian","Other religion: Other religions","No religion: Total","No religion: No religion","No religion: Agnostic","No religion: Atheist","No religion: Free Thinker","No religion: Heavy Metal","No religion: Humanist","No religion: Jedi Knight","No religion: Realist","Religion not stated"

"AL - St Albans",250427,146941,1504,4528,2442,7907,675,939,0,63,8,0,2,1,3,9,30,0,0,4,113,89,0,0,3,3,11,168,10,24,3,1,5,8,2,8,49,137,22,5,1,1,0,4,0,37,6,43,66,67263,65884,174,156,4,40,101,897,7,18228
"B - Birmingham",1904658,1015781,6476,32857,2801,267511,61540,8872,7,128,94,18,11,11,9,27,112,2,5,46,327,510,5,3,18,10,39,1324,29,605,2930,5,57,78,8,22,282,1101,102,32,6,15,29,21,5,294,18,103,424,386177,379843,878,776,12,206,355,4101,6,122643
"BA - Bath",434166,260769,1880,856,464,2238,204,2917,14,41,41,0,0,11,2,10,86,0,5,16,7,679,1,2,20,5,27,923,44,69,3,0,15,13,19,8,190,275,55,13,3,5,10,23,2,111,17,15,137,129285,126637,342,279,6,40,166,1808,7,35553
"BB - Blackburn",488917,294116,1054,1078,148,75194,278,1350,0,38,16,0,0,1,0,4,29,1,0,16,17,103,0,2,2,1,5,354,14,33,7,2,16,11,3,3,67,349,24,6,4,2,0,4,3,99,8,17,89,86713,85159,149,158,0,44,82,1121,0,28986
"BD - Bradford",578336,276991,1148,5131,277,130111,5546,1890,5,24,13,7,3,1,0,9,30,1,0,16,28,167,1,0,6,4,14,500,23,72,221,2,14,11,11,6,71,335,27,3,1,2,0,8,1,112,7,13,121,120858,119023,212,196,1,55,125,1241,5,36384
"BH - Bournemouth",551987,340723,2293,1997,2095,4979,271,3006,7,57,38,1,1,5,1,9,57,2,4,14,17,354,4,0,11,10,29,725,25,62,7,0,24,49,4,9,236,817,47,9,3,1,8,17,1,125,20,22,174,153944,150523,378,325,3,58,198,2455,4,42679
"BL - Bolton",380259,242694,782,6266,1279,39877,198,970,1,10,15,2,0,0,0,4,34,11,1,15,23,69,1,0,2,2,12,261,9,18,1,0,4,12,0,1,50,248,32,1,0,0,6,2,0,51,3,3,66,66522,65103,130,121,11,119,74,964,0,21671
"BN - Brighton",802831,434447,5011,3435,4015,10824,640,5514,29,141,40,9,2,17,3,31,106,9,8,47,56,830,8,2,13,25,60,1426,75,114,0,11,41,65,10,25,502,958,140,21,12,5,0,33,15,258,41,44,282,272259,265082,824,815,15,125,409,4980,9,66686
"BR - Bromley",299293,183860,1423,5184,915,6910,706,1019,0,25,15,2,0,3,1,8,17,0,0,13,46,115,0,0,2,0,10,224,8,43,1,3,3,5,1,10,68,168,10,9,2,2,11,1,0,48,10,62,73,76151,74865,179,120,1,29,71,884,2,23125
"BS - Bristol",940241,510409,3945,4783,1118,25135,2865,4812,9,129,90,1,1,8,1,18,110,0,4,35,39,667,1,3,15,22,54,1147,63,285,6,7,45,21,20,21,417,860,116,16,4,13,1,16,6,202,12,27,300,313890,307749,822,709,10,129,326,4138,7,73284
"CA - Carlisle",318244,233129,719,399,80,943,47,794,3,10,8,4,0,0,0,4,19,0,1,8,7,94,0,0,14,1,8,277,9,15,0,0,7,8,5,2,45,99,22,1,2,2,2,6,0,59,7,3,42,60852,59650,120,126,1,73,65,814,3,21281
"CB - Cambridge",421467,234787,2881,3617,1458,7329,551,1804,5,97,16,16,1,6,2,12,42,4,0,12,55,161,4,1,11,9,30,456,42,77,9,2,12,14,8,15,128,229,37,13,3,2,1,19,2,95,13,27,116,134323,131610,404,401,5,46,198,1657,2,34717
"CH - Chester",659743,455929,1749,1381,480,3541,392,1672,1,36,14,2,0,4,0,7,40,0,0,13,21,203,2,1,8,2,18,506,14,29,1,2,27,6,3,7,134,288,28,9,0,1,0,12,2,117,9,15,90,149793,147108,291,280,3,65,173,1865,8,44806
"CM - Chelmsford",653492,409414,2110,3814,2039,6336,707,2217,4,48,23,6,0,3,1,13,39,3,3,16,48,191,0,1,5,2,16,593,18,31,4,2,10,13,11,8,163,552,38,6,2,3,0,8,1,137,11,36,148,180727,177488,393,275,4,50,165,2347,5,46128
"CO - Colchester",411418,251756,1541,1603,586,3431,240,1739,4,23,19,3,2,3,0,18,19,0,1,23,16,160,2,1,6,6,19,463,15,36,6,1,12,15,3,10,108,465,41,6,1,3,1,4,3,88,10,19,104,119776,117551,235,216,1,51,135,1580,7,30746
"CR - Croydon",405982,232014,2541,25559,767,30069,1342,2052,0,29,44,0,2,1,0,9,24,1,9,8,668,121,0,0,4,3,17,269,8,125,8,3,17,12,4,9,99,213,14,6,2,7,35,9,2,80,9,52,129,81808,80394,169,140,7,28,88,976,6,29830
"CT - Canterbury",482504,297544,2823,3887,704,4315,420,2405,6,48,37,0,3,4,1,13,57,4,3,26,33,217,4,7,12,7,23,728,26,36,7,1,16,21,7,18,154,477,39,16,5,2,10,7,3,167,19,16,125,133438,130477,332,271,6,50,185,2113,4,36968
"CV - Coventry",821807,491753,2746,16811,693,29637,25341,3560,4,141,33,5,0,4,0,21,59,1,2,22,145,301,2,1,7,5,21,851,36,84,531,1,33,13,4,18,145,550,68,17,1,14,0,12,2,169,19,51,167,196353,192907,446,374,7,56,196,2367,0,54913
"CW - Crewe",309489,217461,598,486,200,1442,177,878,3,9,6,0,0,0,1,2,23,0,5,12,13,92,4,0,2,1,8,256,7,7,0,0,3,13,1,6,64,198,15,2,0,0,0,8,1,53,3,9,51,67915,66692,146,122,4,26,78,845,2,20332
"DA - Dartford",430560,264986,1923,5859,382,8407,13254,1657,0,23,35,0,0,1,1,7,25,0,0,16,37,118,0,2,3,4,11,413,8,26,278,0,11,10,6,4,93,302,26,4,0,7,0,7,1,84,7,22,65,104977,103187,172,154,3,38,63,1359,1,29115
"DE - Derby",730620,435870,1784,3136,355,26507,10951,2810,5,31,22,4,3,5,0,16,43,0,4,38,17,244,1,0,4,3,16,995,27,54,116,0,30,20,16,12,140,515,33,7,6,4,0,8,2,226,18,4,121,199183,196116,310,291,6,104,199,2152,5,50024
"DH - Durham",309211,218494,705,472,148,1617,483,939,3,29,13,0,2,2,1,3,22,0,0,8,2,49,4,0,2,1,10,230,10,15,0,1,16,4,2,5,35,337,19,3,0,0,1,4,1,53,3,10,39,68324,67083,142,137,1,29,73,858,1,18029
"DL - Darlington",360975,255962,984,999,132,1521,486,1052,5,10,17,0,0,3,0,5,21,0,0,15,4,80,0,0,5,4,7,328,13,21,0,1,13,5,4,3,51,264,12,7,1,1,0,3,0,70,8,11,60,77030,75783,145,138,7,26,107,823,1,22809
"DN - Doncaster",755713,496065,1594,1891,244,9924,1967,2234,2,30,22,0,0,4,1,4,71,3,0,20,19,152,0,1,5,8,22,677,13,48,1,3,28,14,8,7,82,633,21,0,2,3,0,11,0,178,27,11,103,188932,186231,269,258,4,76,125,1965,4,52862
"DT - Dorchester",213203,136935,803,363,203,710,64,1304,11,5,11,0,0,2,0,9,34,0,2,5,1,219,1,0,7,2,12,479,18,18,1,1,11,9,8,7,103,158,21,8,2,1,6,5,1,58,6,2,60,55490,54277,177,120,6,11,100,797,2,17331
"DY - Dudley",410598,271209,833,2439,137,13213,5118,1512,2,8,14,0,0,1,0,12,41,0,0,18,15,129,1,0,1,3,8,342,12,37,157,1,15,6,6,5,70,397,18,4,0,9,1,4,0,94,7,3,71,90041,88643,130,122,0,45,77,1022,2,26096
"E - London E",990035,390629,9261,39426,7174,266989,10144,3850,11,92,115,1,26,8,1,32,31,7,18,20,277,254,12,1,5,10,32,604,45,431,292,11,32,55,8,25,311,290,95,22,7,43,0,16,3,97,11,87,412,169570,165762,674,693,10,64,203,2162,2,92992
"EC - London EC",33205,13622,401,592,349,2781,99,153,2,2,5,0,1,0,1,0,1,0,0,1,18,14,0,0,0,0,1,20,2,10,0,0,2,2,0,7,17,6,5,2,0,1,0,2,0,7,0,12,12,9984,9770,24,48,0,1,13,128,0,5224
"EN - Enfield",344434,204725,1737,6506,6183,26807,671,1682,0,31,41,3,1,5,0,4,18,4,12,9,522,99,1,0,4,2,6,256,9,53,1,0,9,10,0,5,82,192,22,4,0,5,8,9,1,59,6,81,108,70042,68765,185,145,3,26,82,834,2,26081
"EX - Exeter",547511,335010,1845,701,489,2643,246,2961,9,40,27,0,2,4,0,17,56,0,1,14,7,499,6,3,17,6,27,958,41,68,2,4,26,16,11,4,184,520,47,8,2,6,1,18,2,136,26,10,136,158111,154938,429,288,6,67,243,2137,3,45505
"FY - Blackpool",276623,193834,775,596,608,1544,110,1018,4,7,8,0,0,1,1,5,17,0,2,8,3,78,2,1,3,3,10,249,12,18,1,1,18,4,2,4,36,365,9,2,0,0,0,0,1,84,8,3,48,60056,58935,116,95,4,22,64,820,0,18082
"GL - Gloucester",605821,385060,1766,2210,547,5799,470,2951,11,37,25,0,0,3,0,25,59,0,5,21,23,598,5,0,8,4,32,804,37,75,0,0,14,12,10,15,224,479,64,7,2,3,5,13,0,166,17,18,130,161759,158538,411,289,4,49,217,2247,4,45259
"GU - Guildford",725368,449131,6820,9677,1251,14547,1428,2810,10,97,26,0,1,3,0,19,72,13,0,15,74,457,1,1,7,5,27,656,44,57,10,2,21,30,9,21,200,419,66,15,0,5,6,11,2,174,15,69,150,185892,181490,504,468,3,70,263,3087,7,53812
"HA - Harrow",480953,190106,5928,109289,21852,59654,5301,9717,4,96,39,58,2,4,1,4,11,2,13,10,8144,165,0,0,6,4,8,145,5,96,30,0,2,8,2,17,77,132,26,4,0,4,52,7,5,32,1,356,145,48844,47714,144,129,3,28,103,721,2,30262
"HD - Huddersfield",262814,146460,643,1025,129,21115,2871,914,1,24,12,0,3,1,0,0,17,0,0,9,10,75,2,1,4,2,5,273,10,31,31,1,8,7,1,3,49,182,21,4,1,4,1,0,0,53,9,7,52,71365,70035,148,134,1,35,78,931,3,18292
"HG - Harrogate",138343,94379,356,228,279,531,74,492,1,19,5,0,0,0,0,3,13,0,5,8,6,60,1,0,0,1,7,139,3,6,0,0,5,3,3,2,45,73,16,2,2,0,0,1,1,14,4,3,41,32240,31622,83,63,0,19,60,393,0,9764
"HP - Hemel Hempstead",488351,285377,2204,6040,1543,26623,1548,1843,9,72,28,0,0,3,0,13,41,0,0,21,81,243,2,4,4,2,17,478,18,61,13,0,11,9,7,9,110,269,38,4,3,14,0,12,2,88,8,37,112,127813,125305,304,230,2,68,158,1744,2,35360
"HR - Hereford",176493,119537,557,216,131,362,75,863,3,23,5,0,0,2,2,4,14,2,0,13,0,269,0,0,1,0,7,228,14,14,0,1,1,12,1,3,45,95,12,2,0,0,0,6,1,20,6,3,54,40266,39537,72,82,2,14,64,494,1,14486
"HU - Hull",443223,265757,1176,939,440,6399,406,1239,2,14,12,0,0,2,1,6,26,0,0,17,18,86,0,0,3,2,11,447,24,21,6,1,22,10,7,3,71,182,18,5,1,1,0,2,1,119,11,8,79,134636,132605,229,237,6,53,88,1417,1,32231
"HX - Halifax",160378,88506,474,534,123,14143,282,570,1,15,6,0,0,0,1,1,11,0,0,8,4,61,0,0,0,2,9,166,11,18,0,2,6,3,4,1,26,100,10,6,2,0,3,3,0,40,4,1,45,44378,43619,54,83,0,25,60,537,0,11368
"IG - Ilford",335694,134081,2029,32577,11922,74184,18217,1432,2,41,14,5,0,5,0,5,4,3,2,0,511,95,0,0,3,1,12,140,1,39,85,1,8,4,0,6,37,120,22,5,0,5,1,0,0,24,1,106,124,39569,38840,103,114,0,9,39,462,2,21683
"IP - Ipswich",595934,364527,1689,2008,572,5207,585,2507,6,23,35,0,4,3,0,8,49,0,2,23,20,279,0,2,4,4,21,824,28,68,2,2,24,6,5,10,156,516,42,6,0,3,3,7,1,146,23,30,122,174407,171648,368,251,5,57,223,1849,6,44432
"KT - Kingston upon Thames",531664,321975,3768,13462,2247,16625,2233,2086,3,132,32,2,0,2,2,17,25,20,3,8,199,278,7,1,7,2,19,330,15,40,0,3,18,22,5,25,161,256,48,15,2,3,1,5,1,87,11,141,138,129187,126485,353,313,2,43,173,1816,2,40081
"L - Liverpool",857079,643477,2546,3249,2387,16415,672,1702,2,41,29,0,6,3,2,23,48,4,2,20,13,141,2,1,6,8,8,488,16,95,3,3,33,15,9,4,99,231,33,12,2,7,0,12,1,132,9,18,121,134627,131574,356,395,6,66,129,2098,3,52004
"LA - Lancaster",328704,223231,1186,606,243,2161,122,1260,6,25,13,0,0,3,0,11,33,0,0,22,6,175,1,0,5,3,12,398,30,30,0,1,3,7,5,0,53,194,30,9,2,0,0,5,1,94,7,10,66,76464,74892,222,212,3,36,116,978,5,23431
"LE - Leicester",985795,502627,2823,68664,907,70586,22453,4235,3,53,32,37,5,5,1,23,108,4,9,62,743,337,2,0,14,5,26,982,34,133,204,3,33,27,8,8,180,624,78,15,3,7,0,8,0,185,15,45,174,252776,248455,558,482,10,122,191,2952,6,60724
"LN - Lincoln",293310,192872,599,620,159,1339,158,1206,3,28,11,0,0,3,0,9,28,0,0,11,8,117,1,0,5,2,8,422,8,19,0,1,10,12,5,1,67,237,17,5,0,0,2,2,0,102,5,10,47,75300,73845,214,167,1,30,70,971,2,21057
"LS - Leeds",774180,437182,2798,6960,6912,40423,8604,2467,6,49,42,4,3,4,2,18,46,4,5,31,57,258,2,2,13,12,24,678,28,163,38,3,30,23,10,19,131,321,41,8,2,7,0,12,3,165,15,41,147,216336,212140,505,492,8,83,212,2888,8,52498
"LU - Luton",335950,178774,1111,7730,644,51040,2567,1359,2,27,14,2,4,1,0,0,36,2,4,9,173,105,0,1,5,0,4,285,8,70,98,1,13,4,2,3,53,160,14,1,0,10,4,2,1,83,6,28,124,71041,69855,120,118,2,28,57,859,2,21684
"M - Manchester",1167402,680795,6175,9390,19939,101844,4412,3667,9,114,78,2,11,7,6,29,47,0,11,38,162,289,4,1,9,15,30,833,45,194,18,1,47,80,6,17,253,547,92,20,6,12,4,23,14,199,20,71,303,266200,260394,706,779,8,347,245,3717,4,74980
"ME - Medway",607143,369182,2258,4828,496,7942,4398,2667,7,45,18,1,0,3,1,12,49,4,1,33,27,202,2,2,5,8,11,823,20,49,269,2,26,12,4,7,149,488,35,6,0,2,7,10,3,180,14,9,121,173892,170760,270,286,7,49,161,2356,3,41480
"MK - Milton Keynes",507978,290654,2038,9909,781,21492,4876,3029,7,33,24,0,2,4,0,8,43,1,7,23,127,174,2,2,4,14,17,593,11,68,955,8,13,4,4,9,140,310,43,9,1,8,9,5,1,129,16,42,159,141561,138826,303,258,5,36,193,1938,2,33638
"N - London N",848197,368670,8595,23114,39459,109725,3546,5778,18,128,149,9,6,12,4,36,34,21,24,17,2034,401,7,2,19,10,38,577,54,381,7,9,31,40,15,71,355,232,126,28,5,34,0,19,3,116,16,235,455,200497,195929,805,870,8,125,315,2440,5,88813
"NE - Newcastle upon Tyne",1162698,752712,3378,4767,3984,25040,2955,3189,4,78,28,1,6,4,5,16,57,2,6,41,21,221,1,4,9,10,30,850,25,84,2,1,39,42,11,10,186,854,76,6,2,6,6,9,4,217,15,34,166,295504,290633,559,543,7,86,327,3347,2,71169
"NG - Nottingham",1163185,658090,4071,8344,1805,33679,7602,4511,4,83,54,2,5,6,1,30,89,0,3,68,193,333,2,4,9,10,47,1472,44,185,19,4,41,28,17,10,260,786,108,8,1,6,2,16,3,254,32,20,252,361771,356477,608,609,8,125,273,3663,8,83312
"NN - Northampton",653215,387967,2076,7903,641,11884,2723,2744,7,81,32,2,3,6,1,8,45,0,0,28,199,229,3,1,9,3,27,748,17,82,134,7,28,11,6,4,137,500,28,8,2,4,1,6,2,155,15,12,153,193234,190256,300,270,4,54,109,2240,1,44043
"NR - Norwich",722087,429178,2555,1954,803,4454,369,3413,4,67,24,3,0,6,2,19,47,2,3,39,35,397,3,0,15,10,35,982,42,60,1,6,35,15,10,8,202,837,53,7,2,2,0,13,0,183,26,13,205,224664,220708,503,411,20,137,225,2655,5,54697
