
"QS106EW - Second address"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","Any address","No second address","Second address (total)","Second address within the UK","Second address outside the UK"

"AL - St Albans",250427,233148,17279,12439,4840
"B - Birmingham",1904658,1822607,82051,62501,19550
"BA - Bath",434166,401784,32382,24793,7589
"BB - Blackburn",488917,473756,15161,11118,4043
"BD - Bradford",578336,557281,21055,15042,6013
"BH - Bournemouth",551987,520179,31808,23357,8451
"BL - Bolton",380259,367034,13225,9802,3423
"BN - Brighton",802831,753611,49220,34950,14270
"BR - Bromley",299293,288363,10930,6760,4170
"BS - Bristol",940241,883107,57134,44941,12193
"CA - Carlisle",318244,305939,12305,9790,2515
"CB - Cambridge",421467,383668,37799,25979,11820
"CH - Chester",659743,634561,25182,19221,5961
"CM - Chelmsford",653492,629315,24177,16053,8124
"CO - Colchester",411418,391282,20136,13677,6459
"CR - Croydon",405982,390849,15133,8869,6264
"CT - Canterbury",482504,448535,33969,24815,9154
"CV - Coventry",821807,772669,49138,35373,13765
"CW - Crewe",309489,296358,13131,9909,3222
"DA - Dartford",430560,417817,12743,8619,4124
"DE - Derby",730620,700740,29880,23307,6573
"DH - Durham",309211,290226,18985,15712,3273
"DL - Darlington",360975,346162,14813,11756,3057
"DN - Doncaster",755713,732249,23464,17755,5709
"DT - Dorchester",213203,200620,12583,9308,3275
"DY - Dudley",410598,398896,11702,9098,2604
"E - London E",990035,937768,52267,29438,22829
"EC - London EC",33205,27202,6003,3449,2554
"EN - Enfield",344434,332463,11971,7657,4314
"EX - Exeter",547511,514915,32596,24731,7865
"FY - Blackpool",276623,266618,10005,6925,3080
"GL - Gloucester",605821,573319,32502,24706,7796
"GU - Guildford",725368,681502,43866,28936,14930
"HA - Harrow",480953,459289,21664,10816,10848
"HD - Huddersfield",262814,248994,13820,10551,3269
"HG - Harrogate",138343,131550,6793,4617,2176
"HP - Hemel Hempstead",488351,465850,22501,15494,7007
"HR - Hereford",176493,168666,7827,5412,2415
"HU - Hull",443223,421471,21752,16899,4853
"HX - Halifax",160378,154668,5710,4271,1439
"IG - Ilford",335694,323564,12130,6493,5637
"IP - Ipswich",595934,570061,25873,18888,6985
"KT - Kingston upon Thames",531664,500105,31559,18563,12996
"L - Liverpool",857079,808534,48545,39283,9262
"LA - Lancaster",328704,304789,23915,18650,5265
"LE - Leicester",985795,924039,61756,47570,14186
"LN - Lincoln",293310,275624,17686,14625,3061
"LS - Leeds",774180,714344,59836,49531,10305
"LU - Luton",335950,323603,12347,7854,4493
"M - Manchester",1167402,1089516,77886,59195,18691
"ME - Medway",607143,584733,22410,16400,6010
"MK - Milton Keynes",507978,485804,22174,14851,7323
"N - London N",848197,798736,49461,28046,21415
"NE - Newcastle upon Tyne",1162698,1102239,60459,47385,13074
"NG - Nottingham",1163185,1092362,70823,56359,14464
"NN - Northampton",653215,627600,25615,18762,6853
"NR - Norwich",722087,686853,35234,27020,8214
"NW - London NW",551407,507040,44367,21275,23092
"OL - Oldham",462833,450168,12665,9449,3216
"OX - Oxford",612827,559992,52835,37542,15293
"PE - Peterborough",890223,855954,34269,24974,9295
"PL - Plymouth",542719,509423,33296,27090,6206
"PO - Portsmouth",822331,774364,47967,36934,11033
"PR - Preston",520556,495507,25049,19310,5739
"RG - Reading",778677,734595,44082,30788,13294
"RH - Redhill",532536,507504,25032,15848,9184
"RM - Romford",516824,503244,13580,9045,4535
"S - Sheffield",1358507,1285566,72941,60366,12575
"SE - London SE",988702,927570,61132,38488,22644
"SG - Stevenage",402911,387278,15633,10870,4763
"SK - Stockport",603795,580461,23334,16709,6625
"SL - Slough",373607,354591,19016,11111,7905
"SM - Sutton",217048,209693,7355,4471,2884
"SN - Swindon",459049,438347,20702,15059,5643
"SO - Southampton",665193,616190,49003,36773,12230
"SP - Salisbury",232524,219200,13324,10227,3097
"SR - Sunderland",250826,242341,8485,6448,2037
"SS - Southend-on-Sea",518677,504260,14417,10059,4358
"ST - Stoke-on-Trent",644068,614681,29387,23867,5520
"SW - London SW",874844,788926,85918,47321,38597
"SY - Shrewsbury",342140,319764,22376,17991,4385
"TA - Taunton",322197,308093,14104,10471,3633
"TD - Galashiels",18324,17627,697,541,156
"TF - Telford",212061,203004,9057,7158,1899
"TN - Tonbridge",680816,650158,30658,20043,10615
"TQ - Torquay",281404,269339,12065,8478,3587
"TR - Truro",293864,278006,15858,12676,3182
"TS - Cleveland",602474,580321,22153,16568,5585
"TW - Twickenham",490472,460912,29560,16953,12607
"UB - Southall",371969,353642,18327,11366,6961
"W - London W",533706,476665,57041,27113,29928
"WA - Warrington",616180,594716,21464,15785,5679
"WC - London WC",35995,27288,8707,4543,4164
"WD - Watford",255988,245650,10338,6186,4152
"WF - Wakefield",512657,497677,14980,11451,3529
"WN - Wigan",308483,299642,8841,6909,1932
"WR - Worcester",287414,273100,14314,10596,3718
"WS - Walsall",449687,437624,12063,9347,2716
"WV - Wolverhampton",395857,383041,12816,9616,3200
"YO - York",562439,525208,37231,28728,8503
"CF - Cardiff",1005334,947696,57638,46796,10842
"LD - Llandrindod Wells",49792,47361,2431,1892,539
"LL - Llandudno",537467,510447,27020,21547,5473
"NP - Newport",488368,472106,16262,12806,3456
"SA - Swansea",730232,694752,35480,28922,6558



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""

