
"WD403EW - Tenure - people"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All usual residents in households who are either in employment in the area, or not in employment but live in the area"
"Units      :","Persons"
"Date       :","2011"

"postcode areas","All categories: Tenure","Owned: Total","Owned: Owned outright","Owned: Owned with a mortgage or loan","Shared ownership (part owned and part rented)","Social rented: Total","Social rented: Rented from council (Local Authority)","Social rented: Other social rented","Private rented: Total","Private rented: Private landlord or letting agency","Private rented: Employer of a household member","Private rented: Relative or friend of household member","Private rented: Other","Living rent free"

"AL - St Albans",251123,167287,61705,105582,1745,44130,31569,12561,35857,33539,557,1312,449,2104
"B - Birmingham",1922329,1246064,481736,764328,12953,360362,244242,116120,278807,259393,1789,14201,3424,24143
"BA - Bath",427772,293144,123471,169673,2671,55642,13769,41873,71284,62561,2655,4202,1866,5031
"BB - Blackburn",477272,337463,144981,192482,1613,56980,19712,37268,75666,68633,592,5508,933,5550
"BD - Bradford",566031,393096,151996,241100,2689,69412,30683,38729,93591,85384,621,6178,1408,7243
"BH - Bournemouth",534730,365379,163599,201780,3767,57363,24325,33038,103319,94353,2186,5260,1520,4902
"BL - Bolton",371043,255295,101156,154139,1442,61697,43217,18480,48017,43789,231,3370,627,4592
"BN - Brighton",747671,490420,208096,282324,5268,92431,53567,38864,152139,141736,1362,7760,1281,7413
"BR - Bromley",261691,186825,75382,111443,1978,40634,8213,32421,30192,28157,292,1416,327,2062
"BS - Bristol",935408,627389,237485,389904,5383,127893,74086,53807,165929,153287,1673,9198,1771,8814
"CA - Carlisle",315094,227301,104461,122840,1567,46041,10255,35786,35952,31485,849,2946,672,4233
"CB - Cambridge",414290,268433,105431,163002,5474,65270,32719,32551,69281,61919,2375,3101,1886,5832
"CH - Chester",631848,445954,179314,266640,3033,88914,46038,42876,88650,81102,900,5462,1186,5297
"CM - Chelmsford",608251,438715,168066,270649,3711,91229,44337,46892,69373,63514,1179,3809,871,5223
"CO - Colchester",378746,264234,119155,145079,1611,45616,24857,20759,63500,56156,1944,3636,1764,3785
"CR - Croydon",348236,204987,73410,131577,3331,68107,34468,33639,68474,64650,507,2627,690,3337
