
"QS612EW - Year last worked"
"ONS Crown Copyright Reserved [from Nomis on 17 August 2018]"
"Population :","All usual residents aged 16 to 74"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode areas","All categories: Year last worked","In employment","Not in employment: Total","Last worked in 2011","Last worked in 2010","Last worked in 2009","Last worked in 2008","Last worked in 2007","Last worked in 2006","Last worked in 2001 - 2005","Last worked before 2001","Never worked"

"AL - St Albans",180961,124273,56688,2405,8855,4858,3470,2316,2108,8630,11679,12367
"B - Birmingham",1363116,814223,548893,17064,66124,39100,28996,20932,19096,71995,113428,172158
"BA - Bath",316569,212927,103642,3990,16416,8375,6265,4778,4580,17179,24155,17904
"BB - Blackburn",351635,215099,136536,3774,13768,9433,7443,5823,5264,20231,35217,35583
"BD - Bradford",408104,247719,160385,4241,17000,11267,8282,6220,5634,21434,31992,54315
"BH - Bournemouth",398018,260110,137908,5037,20432,10992,8500,6595,6278,23958,37429,18687
"BL - Bolton",276700,172972,103728,2869,11279,7264,5815,4712,4247,16098,26313,25131
"BN - Brighton",585611,385165,200446,7988,29683,16213,12206,8951,8596,33267,49360,34182
"BR - Bromley",213478,144245,69233,2220,8301,5462,4015,3219,2842,11436,17582,14156
"BS - Bristol",692383,466676,225707,9344,36036,18982,14190,10323,9236,34637,50857,42102
"CA - Carlisle",235255,156466,78789,2088,9511,5637,4426,3601,3445,13938,24663,11480
"CB - Cambridge",314413,216100,98313,3935,16821,8720,6454,4558,3924,14274,18007,21620
"CH - Chester",482300,305098,177202,5581,20440,13603,10022,7486,7400,27517,52960,32193
"CM - Chelmsford",474796,330078,144718,5015,17919,11981,9403,7246,6643,25983,37000,23528
"CO - Colchester",297937,188920,109017,3366,12901,8423,6871,5312,4998,19186,29273,18687
"CR - Croydon",293894,194464,99430,3382,12536,7239,5557,4040,3700,13550,19163,30263
"CT - Canterbury",348618,209968,138650,4732,19188,10846,8231,6183,5712,22641,34041,27076
"CV - Coventry",603666,388657,215009,7828,30221,16813,12692,9607,8665,32864,46618,49701
"CW - Crewe",227499,150793,76706,2416,9472,6341,4782,3568,3302,12921,21483,12421
"DA - Dartford",309655,208397,101258,3534,12435,7990,6027,4645,4227,16550,24275,21575
"DE - Derby",533146,348056,185090,5999,21847,14609,11615,8666,7809,30022,48466,36057
"DH - Durham",233036,138714,94322,3116,12357,6776,5212,3721,3221,12855,28451,18613
"DL - Darlington",265371,169875,95496,2558,10383,7403,5681,4219,3911,15652,28781,16908
"DN - Doncaster",552137,343634,208503,6255,23992,16154,12326,9089,8603,32425,58653,41006
"DT - Dorchester",153527,99446,54081,1507,6512,4118,3243,2681,2504,10328,15898,7290
"DY - Dudley",298302,186459,111843,2851,11587,8591,6797,5145,4789,19690,30045,22348
"E - London E",745455,456862,288593,10326,37579,18031,12561,8319,6820,25825,41087,128045
"EC - London EC",27771,17821,9950,415,1918,722,468,304,222,882,1389,3630
"EN - Enfield",247460,161168,86292,2739,10314,6576,4871,3594,3322,12648,18441,23787
"EX - Exeter",397128,258695,138433,4784,19937,10920,8148,6564,6146,24101,37738,20095
"FY - Blackpool",199826,120635,79191,2332,9431,5972,4407,3717,3422,13611,24319,11980
"GL - Gloucester",443770,304634,139136,5460,18740,11385,8868,6782,6051,24057,34521,23272
"GU - Guildford",527039,373389,153650,6003,21689,13045,9401,7358,6703,25851,35496,28104
"HA - Harrow",352825,230514,122311,3948,15187,8152,5955,4234,3965,14781,21899,44190
"HD - Huddersfield",193666,123528,70138,2220,9200,5575,4113,3084,2843,10875,15917,16311
"HG - Harrogate",99942,71411,28531,999,3605,2334,1811,1408,1310,5221,7914,3929
"HP - Hemel Hempstead",351560,246487,105073,4165,14113,8556,6687,4848,4661,17622,23648,20773
"HR - Hereford",128326,86957,41369,1337,4979,3284,2539,2038,1860,7329,11297,6706
"HU - Hull",327751,200921,126830,4238,16486,10331,7729,5751,4941,19238,31705,26411
"HX - Halifax",116665,75657,41008,1209,4887,3301,2516,1889,1764,6728,9468,9246
"IG - Ilford",238432,146642,91790,2757,10214,6060,4343,3266,2842,10400,16110,35798
"IP - Ipswich",430051,291174,138877,4612,16720,11540,9111,7175,6666,25532,36519,21002
"KT - Kingston upon Thames",384507,268519,115988,4383,16528,9360,7218,5152,4728,18044,26192,24383
"L - Liverpool",642574,368569,274005,9518,36479,19208,13450,9022,8464,31697,75006,71161
"LA - Lancaster",243479,154010,89469,3125,12445,6570,4912,3638,3410,14425,25958,14986
"LE - Leicester",725456,463892,261564,9814,37451,20202,15457,11256,9876,37952,53174,66382
"LN - Lincoln",217424,136058,81366,2662,10772,6044,4837,3795,3605,13997,22511,13143
