
"QS401EW - Accommodation type - People"
"ONS Crown Copyright Reserved [from Nomis on 12 August 2018]"
"Population :","All usual residents in households"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All categories: Accommodation type","Unshared dwelling: Total","Unshared dwelling: Whole house or bungalow: Total","Unshared dwelling: Whole house or bungalow: Detached","Unshared dwelling: Whole house or bungalow: Semi-detached","Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace)","Unshared dwelling: Flat, maisonette or apartment: Total","Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement","Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Unshared dwelling: Flat, maisonette or apartment: In commercial building","Unshared dwelling: Caravan or other mobile or temporary structure","Shared dwelling"

"AL1  1",5408,5398,4138,948,1125,2065,1259,1019,176,64,1,10
"AL1  2",6418,6418,5184,900,2350,1934,1215,980,172,63,19,0
"AL1  3",4100,4080,1745,451,414,880,2334,1882,353,99,1,20
"AL1  4",9765,9750,8853,3831,3070,1952,891,608,198,85,6,15
"AL1  5",10211,10163,7659,1142,4196,2321,2423,2116,262,45,81,48
"AL10 0",9855,9850,6705,443,2583,3679,3138,2951,82,105,7,5
"AL10 8",10833,10824,9045,866,2160,6019,1774,1562,194,18,5,9
"AL10 9",12219,12207,9757,1830,3308,4619,2450,2193,215,42,0,12
"AL2  1",9440,9402,7540,1375,2880,3285,1856,1668,100,88,6,38
"AL2  2",6034,6034,5256,1967,2027,1262,661,569,48,44,117,0
"AL2  3",7863,7849,7209,3961,2761,487,519,424,53,42,121,14
"AL3  4",5500,5500,5106,2539,1030,1537,393,238,72,83,1,0
"AL3  5",8604,8568,7398,1249,3529,2620,1167,792,253,122,3,36
"AL3  6",4271,4271,3887,817,1931,1139,373,296,47,30,11,0
"AL3  7",5284,5284,4867,1934,1806,1127,417,354,37,26,0,0
"AL3  8",4402,4402,4112,1136,1601,1375,277,200,61,16,13,0
"AL4  0",9215,9207,8261,2792,4198,1271,905,786,80,39,41,8
"AL4  8",6504,6504,5797,2601,2099,1097,705,621,50,34,2,0
"AL4  9",11383,11383,9676,2670,4962,2044,1707,1549,99,59,0,0
"AL5  1",6074,6074,5651,2764,1871,1016,423,377,11,35,0,0
"AL5  2",4622,4622,4165,3225,535,405,457,267,66,124,0,0
"AL5  3",4631,4631,4522,2916,1179,427,109,64,38,7,0,0
"AL5  4",6101,6101,5072,1823,2427,822,1029,915,93,21,0,0
"AL5  5",8279,8279,7005,2358,3100,1547,1253,1122,94,37,21,0
"AL6  0",6416,6416,6212,4773,1033,406,190,133,30,27,14,0
"AL6  9",4688,4688,4299,1885,1509,905,329,256,47,26,60,0
"AL7  1",5761,5761,4992,569,1240,3183,769,744,6,19,0,0
"AL7  2",7342,7342,5342,1770,1066,2506,2000,1936,44,20,0,0
"AL7  3",10008,10008,8818,421,2510,5887,1188,1113,24,51,2,0
"AL7  4",10563,10559,8819,492,3082,5245,1740,1720,19,1,0,4
"AL8  6",5869,5869,4731,901,1762,2068,1136,944,41,151,2,0
"AL8  7",7316,7316,6799,2024,2126,2649,513,485,10,18,4,0
"AL9  5",2054,2054,1834,863,274,697,205,127,62,16,15,0
"AL9  6",1217,1217,1050,492,346,212,67,48,14,5,100,0
"AL9  7",6803,6801,6283,2856,2363,1064,514,396,28,90,4,2
"B1   1",3402,3358,95,9,46,40,3263,3097,16,150,0,44
"B1   2",2693,2679,724,68,188,468,1951,1911,15,25,4,14
"B1   3",993,993,60,2,29,29,933,899,30,4,0,0
"B10  0",8187,8169,7041,779,1616,4646,1128,782,192,154,0,18
"B10  9",17691,17680,16931,1907,3970,11054,742,526,125,91,7,11
