
"QS802EW - Age of arrival in the UK"
"ONS Crown Copyright Reserved [from Nomis on 12 August 2018]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All categories: Age of arrival in the UK","Born in the UK","Age of arrival in the UK: 0 to 4","Age of arrival in the UK: 5 to 7","Age of arrival in the UK: 8 to 9","Age of arrival in the UK: 10 to 14","Age of arrival in the UK: 15","Age of arrival in the UK: 16 to 17","Age of arrival in the UK: 18 to 19","Age of arrival in the UK: 20 to 24","Age of arrival in the UK: 25 to 29","Age of arrival in the UK: 30 to 44","Age of arrival in the UK: 45 to 59","Age of arrival in the UK: 60 to 64","Age of arrival in the UK: 65 to 74","Age of arrival in the UK: 75 to 84","Age of arrival in the UK: 85 to 89","Age of arrival in the UK: 90 and over"

"AL1  1",5453,4514,123,41,20,44,16,33,66,204,216,143,22,6,1,2,2,0
"AL1  2",6523,5300,170,55,32,85,21,64,76,242,203,221,44,3,7,0,0,0
"AL1  3",4179,3347,87,24,15,57,12,39,58,212,163,143,14,2,4,2,0,0
"AL1  4",9799,8458,232,60,24,76,18,52,82,281,221,263,29,0,2,1,0,0
"AL1  5",10226,7956,242,85,58,145,37,79,156,573,431,352,91,6,11,4,0,0
"AL10 0",9935,7320,227,71,58,148,39,98,215,766,493,410,82,3,3,2,0,0
"AL10 8",10998,7965,220,82,65,192,57,139,350,977,491,372,74,8,5,1,0,0
"AL10 9",14967,10564,330,168,96,271,84,340,618,1395,630,386,69,6,4,6,0,0
"AL2  1",9507,7771,166,83,52,86,31,77,187,418,285,288,51,3,6,3,0,0
"AL2  2",6130,5482,92,35,14,43,11,30,66,152,90,92,18,4,1,0,0,0
"AL2  3",7967,7216,113,48,17,47,4,46,59,143,125,120,22,3,3,1,0,0
"AL3  4",5565,4902,111,32,15,31,10,18,33,137,115,120,32,3,4,2,0,0
"AL3  5",8831,7453,216,61,31,84,11,44,84,249,267,287,34,7,2,0,1,0
"AL3  6",4281,3670,94,35,20,51,11,24,46,113,104,95,13,3,0,2,0,0
"AL3  7",5344,4917,83,25,7,18,12,15,28,84,64,66,19,1,4,1,0,0
"AL3  8",4441,4148,57,19,12,11,7,14,18,44,54,43,11,2,1,0,0,0
"AL4  0",9308,8126,190,58,31,90,20,42,93,239,179,203,27,4,4,2,0,0
"AL4  8",6509,6041,118,25,12,18,4,13,33,85,55,96,8,1,0,0,0,0
"AL4  9",11451,10211,171,81,50,80,22,46,90,232,191,231,40,3,1,1,1,0
"AL5  1",6090,5511,112,42,27,32,4,17,36,98,93,98,16,0,3,0,0,1
"AL5  2",4676,4140,106,39,13,42,4,22,39,69,85,92,21,3,1,0,0,0
"AL5  3",4659,4209,110,32,14,25,4,9,31,71,64,73,13,1,2,1,0,0
"AL5  4",6450,5671,148,44,23,54,13,28,35,124,115,157,31,3,2,2,0,0
"AL5  5",8365,7435,184,48,27,60,7,29,51,153,154,193,20,1,2,0,1,0
"AL6  0",6434,5857,119,31,17,38,7,26,29,112,75,100,18,2,1,2,0,0
"AL6  9",4788,4379,79,21,9,32,7,15,24,75,69,62,14,2,0,0,0,0
"AL7  1",5761,5036,90,25,16,39,11,21,54,156,157,129,19,5,3,0,0,0
"AL7  2",7395,6483,101,35,24,59,12,52,62,174,174,190,23,4,2,0,0,0
"AL7  3",10114,8825,167,65,40,89,32,51,74,249,248,233,34,2,3,1,1,0
"AL7  4",10620,9012,198,73,34,110,15,56,80,301,323,361,44,5,4,4,0,0
"AL8  6",5869,5143,104,19,18,49,12,39,54,141,109,127,35,9,4,6,0,0
"AL8  7",7383,6626,130,44,14,53,8,22,33,131,150,147,20,1,3,1,0,0
"AL9  5",2085,1712,49,19,11,28,5,16,23,78,57,69,14,2,2,0,0,0
"AL9  6",1427,1240,14,3,4,46,10,27,17,21,13,25,5,1,1,0,0,0
"AL9  7",6897,6081,108,52,30,57,15,67,64,156,130,107,18,5,2,4,1,0
"B1   1",4099,2432,94,39,23,80,27,121,195,596,302,170,16,1,3,0,0,0
"B1   2",2897,1704,80,34,16,71,18,62,119,374,205,178,29,0,7,0,0,0
"B1   3",993,720,21,10,4,15,2,11,31,98,48,29,4,0,0,0,0,0
"B10  0",8206,4522,447,193,155,315,70,188,303,703,531,593,132,22,27,5,0,0
"B10  9",17702,10215,994,510,284,735,162,387,630,1468,920,1091,208,31,48,15,3,1
"B11  1",11688,6595,607,243,169,461,110,264,457,1031,697,793,181,36,30,13,1,0
"B11  2",3479,2215,140,74,44,119,25,53,106,276,186,198,31,7,3,2,0,0
"B11  3",17242,11160,735,319,221,536,143,304,492,1245,929,924,164,23,37,10,0,0
"B11  4",12295,6992,577,306,176,542,112,275,498,1037,754,815,136,20,40,13,1,1
"B12  0",4129,2526,180,79,44,123,41,108,146,345,236,237,48,3,10,2,0,1
"B12  8",8748,4967,447,254,161,358,83,212,307,698,486,585,128,29,23,9,0,1
"B12  9",7878,4723,324,194,123,314,77,189,289,599,430,464,115,10,22,5,0,0
"B13  0",13458,11142,278,135,96,230,57,153,226,457,303,302,58,8,7,5,1,0
"B13  8",7678,5903,215,99,73,163,34,92,156,371,274,246,36,2,8,4,2,0
"B13  9",15681,11657,433,219,147,410,89,239,345,851,547,581,110,21,24,8,0,0
"B14  4",12710,11518,160,73,49,97,26,76,92,219,182,178,36,0,3,1,0,0
"B14  5",10926,9891,153,72,37,100,23,76,93,179,148,120,29,2,3,0,0,0
"B14  6",12143,10465,213,84,68,163,33,114,157,319,218,254,41,5,5,4,0,0
"B14  7",7634,6369,188,56,35,112,21,61,111,286,199,165,22,2,4,2,1,0
"B15  1",2582,1690,76,28,18,53,26,62,103,258,135,108,21,1,3,0,0,0
"B15  2",9675,7093,264,89,56,149,55,159,292,637,402,386,75,5,10,2,0,1
"B15  3",5964,4293,168,73,50,121,22,99,135,391,297,262,39,4,6,2,2,0
"B16  0",10022,6080,332,194,122,359,82,215,346,894,639,612,105,16,15,9,1,1
"B16  8",6754,4146,169,103,64,179,41,115,225,695,560,392,57,2,5,1,0,0
"B16  9",6994,4671,189,92,66,172,64,109,202,567,435,370,53,2,2,0,0,0
"B17  0",8835,6715,245,89,49,107,33,101,160,530,392,366,33,7,7,1,0,0
"B17  8",9118,6233,289,144,90,243,47,178,238,627,482,442,66,13,19,6,1,0
"B17  9",7610,6466,209,52,39,80,21,56,62,188,200,205,22,2,4,4,0,0
"B18  4",6676,4145,229,95,79,214,54,141,202,516,414,453,109,9,10,2,4,0
"B18  5",5132,3078,181,114,68,192,44,106,135,409,325,406,65,4,3,2,0,0
"B18  6",1890,1399,38,17,15,31,7,29,43,141,96,64,9,0,1,0,0,0
"B18  7",2585,1698,103,72,35,86,15,48,46,141,133,153,41,7,7,0,0,0
"B19  1",8818,4952,389,216,140,370,84,207,348,721,572,641,137,15,21,5,0,0
"B19  2",7537,4406,367,206,137,294,77,171,204,563,423,551,97,12,27,2,0,0
"B19  3",3713,2253,153,97,62,141,34,80,120,236,246,243,36,3,7,2,0,0
"B2   4",451,175,1,5,8,15,7,31,51,98,36,17,7,0,0,0,0,0
"B2   5",165,81,2,0,1,3,0,3,15,33,18,9,0,0,0,0,0,0
"B20  1",8296,5420,268,163,115,372,70,186,295,599,366,319,89,13,16,5,0,0
"B20  2",10818,6876,363,204,161,420,90,248,357,874,513,579,96,9,19,8,0,1
"B20  3",14975,8179,590,364,248,626,154,346,625,1601,1013,962,204,22,28,11,1,1
"B21  0",10012,5212,343,196,170,408,105,235,388,1018,785,890,204,26,23,7,1,1
"B21  8",9576,5244,344,224,155,437,117,251,347,932,629,704,143,23,15,10,0,1
"B21  9",10738,5730,439,247,152,472,109,270,372,1073,771,873,177,18,26,9,0,0
"B23  5",15189,13087,241,112,82,217,43,136,156,406,328,313,51,7,5,5,0,0
"B23  6",11113,8845,227,111,76,172,30,111,194,507,376,382,63,5,10,2,1,1
"B23  7",16568,13104,311,171,139,319,76,203,298,783,529,537,74,7,10,7,0,0
"B24  0",10567,9399,146,63,41,113,33,86,105,256,145,142,25,6,6,1,0,0
"B24  8",8028,6079,191,107,74,183,34,97,157,416,287,342,49,4,7,1,0,0
"B24  9",10275,8670,167,90,53,114,30,85,159,384,256,232,29,2,3,0,1,0
"B25  8",16005,12533,448,190,124,284,64,198,293,785,487,475,94,12,10,8,0,0
"B26  1",10895,9747,154,56,42,97,24,63,115,251,177,125,30,6,6,2,0,0
"B26  2",11456,10418,172,66,47,86,11,58,75,191,159,150,19,3,1,0,0,0
"B26  3",10475,9442,134,53,41,77,19,75,94,211,157,146,18,3,2,3,0,0
"B27  6",9604,7611,200,99,68,169,38,111,174,453,309,304,49,7,7,5,0,0
"B27  7",15230,12273,331,185,108,241,62,153,215,650,454,427,103,13,13,2,0,0
"B28  0",14567,12185,281,129,93,255,59,156,240,515,322,279,30,9,10,3,1,0
"B28  8",7734,5656,244,124,83,212,57,142,186,446,258,247,55,6,16,1,0,1
"B28  9",7735,6093,188,86,65,166,26,109,159,368,216,201,42,5,5,6,0,0
"B29  4",6122,5156,117,55,30,66,18,43,50,152,184,212,25,4,4,5,1,0
"B29  5",10203,9010,160,80,41,81,21,50,64,201,201,253,28,5,3,4,1,0
"B29  6",13598,10195,323,133,78,226,30,188,413,1010,506,439,46,5,4,2,0,0
