
"QS411EW - Number of bedrooms"
"ONS Crown Copyright Reserved [from Nomis on 12 August 2018]"
"Population :","All household spaces with at least one usual resident"
"Units      :","Household spaces"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All categories: Number of bedrooms","No bedrooms","1 bedroom","2 bedrooms","3 bedrooms","4 bedrooms","5 or more bedrooms"

"AL1  1",2454,4,314,926,756,325,129
"AL1  2",2577,8,355,663,1133,308,110
"AL1  3",2110,14,623,968,250,132,123
"AL1  4",3611,4,221,645,1153,1013,575
"AL1  5",4247,8,912,1149,1542,449,187
"AL10 0",4201,32,964,1333,1520,244,108
"AL10 8",4071,14,620,839,1711,586,301
"AL10 9",4390,12,539,994,1629,708,508
"AL2  1",3763,9,456,939,1669,565,125
"AL2  2",2513,4,243,609,1051,477,129
"AL2  3",3180,4,213,642,1195,908,218
"AL3  4",2320,3,99,534,722,759,203
"AL3  5",3424,9,404,952,1291,541,227
"AL3  6",1602,1,167,314,777,245,98
"AL3  7",2199,0,207,481,808,542,161
"AL3  8",1874,3,193,428,798,329,123
"AL4  0",3459,5,261,740,1387,889,177
"AL4  8",2617,5,136,522,957,716,281
"AL4  9",4711,9,640,1051,1733,965,313
"AL5  1",2411,3,137,402,986,705,178
"AL5  2",1835,2,82,283,335,541,592
"AL5  3",1630,2,17,179,448,730,254
"AL5  4",2517,10,310,583,747,602,265
"AL5  5",3191,3,222,722,1175,829,240
"AL6  0",2536,2,51,317,683,940,543
"AL6  9",1987,2,131,481,716,444,213
"AL7  1",2484,4,341,605,1190,301,43
"AL7  2",3333,17,849,820,1060,534,53
"AL7  3",4009,8,527,1177,1993,262,42
"AL7  4",4318,7,508,876,2473,408,46
"AL8  6",2669,12,565,463,1150,375,104
"AL8  7",2941,3,112,531,1409,720,166
"AL9  5",886,2,58,173,322,251,80
"AL9  6",531,0,34,141,184,104,68
"AL9  7",2780,6,236,482,1051,679,326
"B1   1",2168,4,931,1150,69,9,5
"B1   2",1454,1,571,654,193,25,10
"B1   3",618,0,319,273,24,2,0
"B10  0",2524,10,483,587,1020,275,149
"B10  9",4527,12,260,612,2941,527,175
"B11  1",3284,19,572,874,1262,385,172
"B11  2",1120,3,72,493,475,46,31
"B11  3",5385,10,259,1612,3042,339,123
"B11  4",2964,14,129,408,1454,638,321
"B12  0",1878,11,625,819,254,142,27
"B12  8",2479,8,330,707,965,375,94
"B12  9",2362,9,467,418,931,351,186
"B13  0",5280,15,499,977,3048,578,163
"B13  8",3458,23,1059,870,652,396,458
"B13  9",6342,29,2000,1300,1296,890,827
"B14  4",5213,9,460,1130,3197,340,77
"B14  5",4790,12,736,1150,2578,271,43
"B14  6",4981,13,424,1123,2680,595,146
"B14  7",3216,7,397,861,1280,479,192
"B15  1",1160,13,607,255,187,63,35
"B15  2",3273,14,740,1233,618,347,321
"B15  3",1936,0,142,652,351,486,305
"B16  0",3494,10,828,771,999,489,397
"B16  8",3567,40,1401,1428,578,82,38
"B16  9",3297,18,1294,840,541,317,287
"B17  0",4088,16,734,1187,1515,430,206
"B17  8",3418,14,511,713,992,651,537
"B17  9",3443,10,385,1143,1156,482,267
"B18  4",2075,6,221,1113,606,93,36
"B18  5",2018,6,366,732,681,185,48
"B18  6",1042,7,376,499,133,17,10
"B18  7",1097,3,258,261,462,101,12
"B19  1",2556,13,484,712,761,384,202
"B19  2",2618,11,492,809,1019,231,56
"B19  3",1314,10,392,476,307,91,38
"B2   4",335,1,256,69,6,1,2
"B2   5",110,1,79,28,2,0,0
"B20  1",2746,16,404,261,1378,462,225
"B20  2",3747,13,722,655,1394,538,425
"B20  3",4557,29,646,937,1904,677,364
"B21  0",3378,22,225,1187,1639,207,98
"B21  8",3203,15,290,660,1837,277,124
"B21  9",3273,16,317,743,1429,496,272
"B23  5",6748,17,998,2001,3139,507,86
"B23  6",5055,32,969,1649,2003,300,102
"B23  7",6845,22,760,1800,3636,484,143
"B24  0",4531,12,467,1191,2264,485,112
"B24  8",3000,18,496,512,1526,275,173
"B24  9",4403,15,652,1020,2231,356,129
"B25  8",6006,25,654,1308,3593,311,115
"B26  1",4496,10,418,905,2819,291,53
"B26  2",4582,10,291,782,3072,362,65
"B26  3",4481,8,231,1335,2611,228,68
"B27  6",3901,18,678,922,1697,394,192
"B27  7",6012,11,897,1235,3364,353,152
"B28  0",5448,6,285,645,3497,804,211
"B28  8",2641,7,203,288,1649,382,112
"B28  9",2828,4,186,482,1657,376,123
"B29  4",2721,13,393,612,1287,341,75
"B29  5",4182,11,435,1080,2439,170,47
"B29  6",4297,7,290,1028,1773,631,568
"B29  7",3842,16,226,822,1258,808,712
"B3   1",1516,12,735,713,52,3,1
"B3   2",89,1,65,20,3,0,0
"B30  1",4463,18,714,1103,1839,569,220
"B30  2",4840,4,373,1575,2421,352,115
"B30  3",3242,16,388,986,1459,301,92
"B31  1",4765,15,534,1126,2665,358,67
"B31  2",5213,28,553,1199,2697,522,214
"B31  3",4857,19,640,1374,2403,344,77
"B31  4",4363,6,321,1600,2224,176,36
"B31  5",3779,9,228,622,2545,329,46
"B32  1",3846,6,232,709,2555,287,57
"B32  2",5065,7,561,1176,2933,305,83
