
"QS203EW - Country of birth (detailed)"
"ONS Crown Copyright Reserved [from Nomis on 12 August 2018]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All categories: Country of birth","Europe: Total","Europe: United Kingdom: Total","Europe: United Kingdom: England","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Wales","Europe: Great Britain not otherwise specified","Europe: United Kingdom not otherwise specified","Europe: Guernsey","Europe: Jersey","Europe: Channel Islands not otherwise specified","Europe: Isle of Man","Europe: Ireland","Europe: Other Europe: Total","Europe: Other Europe: EU Countries: Total","Europe: Other Europe: EU countries: Member countries in March 2001: Total","Europe: Other Europe: EU countries: Member countries in March 2001: France","Europe: Other Europe: EU countries: Member countries in March 2001: Germany","Europe: Other Europe: EU countries: Member countries in March 2001: Italy","Europe: Other Europe: EU countries: Member countries in March 2001: Portugal","Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands)","Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Total","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries","Europe: Other Europe: Rest of Europe: Total","Europe: Other Europe: Rest of Europe: Turkey","Europe: Other Europe: Rest of Europe: Other Europe","Africa: Total","Africa: North Africa","Africa: Central and Western Africa: Total","Africa: Central and Western Africa: Ghana","Africa: Central and Western Africa: Nigeria","Africa: Central and Western Africa: Other Central and Western Africa","Africa: South and Eastern Africa: Total","Africa: South and Eastern Africa: Kenya","Africa: South and Eastern Africa: Somalia","Africa: South and Eastern Africa: South Africa","Africa: South and Eastern Africa: Zimbabwe","Africa: South and Eastern Africa: Other South and Eastern Africa","Africa: Africa not otherwise specified","Middle East and Asia: Total","Middle East and Asia: Middle East: Total","Middle East and Asia: Middle East: Iran","Middle East and Asia: Middle East: Other Middle East","Middle East and Asia: Eastern Asia: Total","Middle East and Asia: Eastern Asia: China","Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China)","Middle East and Asia: Eastern Asia: Other Eastern Asia","Middle East and Asia: Southern Asia: Total","Middle East and Asia: Southern Asia: Bangladesh","Middle East and Asia: Southern Asia: India","Middle East and Asia: Southern Asia: Pakistan","Middle East and Asia: Southern Asia: Sri Lanka","Middle East and Asia: Southern Asia: Other Southern Asia","Middle East and Asia: South-East Asia: Total","Middle East and Asia: South-East Asia: Philippines","Middle East and Asia: South-East Asia: Other South-East Asia","Middle East and Asia: Central Asia","The Americas and the Caribbean: Total","The Americas and the Caribbean: North America: Total","The Americas and the Caribbean: North America: United States","The Americas and the Caribbean: North America: Other North America","The Americas and the Caribbean: Central America","The Americas and the Caribbean: South America","The Americas and the Caribbean: The Caribbean: Total","The Americas and the Caribbean: The Caribbean: Jamaica","The Americas and the Caribbean: The Caribbean: Other Caribbean","Antarctica and Oceania: Total","Antarctica and Oceania: Antarctica","Antarctica and Oceania: Australasia: Total","Antarctica and Oceania: Australasia: Australia","Antarctica and Oceania: Australasia: Other Australasia","Antarctica and Oceania: Other Oceania","Other"

"AL1  1",5453,4875,4514,4320,28,87,79,0,0,0,0,0,2,82,277,243,172,28,42,26,10,19,47,71,6,29,7,29,34,7,27,156,10,13,4,5,4,132,11,0,51,17,53,1,253,24,11,13,52,18,27,7,120,39,41,19,20,1,56,11,45,1,112,55,36,19,2,26,29,10,19,57,0,57,36,21,0,0
"AL1  2",6523,5718,5300,5102,41,83,74,0,0,0,1,0,1,99,317,283,168,16,32,31,13,24,52,115,1,68,8,38,34,11,23,163,26,36,9,27,0,100,5,4,36,16,39,1,474,41,8,33,35,15,13,7,352,236,38,53,25,0,46,19,27,0,125,47,31,16,6,22,50,11,39,43,0,42,25,17,1,0
"AL1  3",4179,3729,3347,3169,43,94,41,0,0,1,2,0,5,81,293,261,119,18,29,35,10,8,19,142,1,62,11,68,32,3,29,127,17,14,5,7,2,95,9,0,46,13,27,1,192,7,3,4,50,14,21,15,101,32,53,10,6,0,34,6,28,0,76,39,25,14,2,18,17,2,15,55,0,53,31,22,2,0
"AL1  4",9799,9004,8458,8048,54,207,148,0,1,1,2,0,3,109,431,390,256,46,52,45,5,29,79,134,3,62,6,63,41,7,34,206,21,18,10,5,3,166,12,0,56,28,70,1,362,31,11,20,56,13,21,22,218,63,62,56,35,2,57,8,49,0,134,92,61,31,2,20,20,7,13,93,0,92,61,31,1,0
"AL1  5",10226,8799,7956,7663,56,151,85,1,0,1,0,0,4,148,690,623,341,46,45,133,14,45,58,282,0,201,7,74,67,10,57,338,59,38,18,15,5,238,20,0,60,51,107,3,842,20,2,18,75,31,35,9,654,321,115,152,57,9,81,24,57,12,183,65,43,22,6,37,75,24,51,64,0,62,36,26,2,0
"AL10 0",9935,8472,7320,7060,43,139,73,0,5,1,0,0,2,115,1034,976,169,12,50,34,21,15,37,807,28,613,32,134,58,10,48,634,23,274,88,168,18,333,22,2,58,186,65,4,715,84,22,62,140,92,35,13,417,50,267,54,44,2,69,23,46,5,96,35,21,14,0,23,38,9,29,18,0,18,13,5,0,0
"AL10 8",10998,8938,7965,7723,36,129,76,1,0,1,4,0,0,148,820,745,147,6,41,26,21,11,42,598,34,423,39,102,75,16,59,665,30,305,84,192,29,329,39,8,36,161,85,1,1274,84,24,60,243,202,28,13,802,78,415,119,151,39,144,45,99,1,98,32,19,13,3,30,33,20,13,23,0,22,16,6,1,0
"AL10 9",14967,11787,10564,10302,43,131,88,0,0,0,4,0,7,193,1019,890,291,30,61,62,45,11,82,599,29,357,46,167,129,48,81,1140,39,624,87,490,47,477,83,13,94,140,147,0,1853,265,64,201,580,493,58,29,745,49,419,120,127,30,260,33,227,3,149,79,57,22,4,24,42,17,25,38,0,33,25,8,5,0
"AL2  1",9507,8409,7771,7550,28,123,70,0,0,0,3,1,1,142,491,446,292,24,22,99,55,59,33,154,8,85,11,50,45,8,37,437,46,53,21,28,4,337,29,0,53,36,219,1,539,30,8,22,50,26,12,12,335,151,74,24,76,10,124,64,60,0,85,31,28,3,3,27,24,6,18,37,0,37,12,25,0,0
"AL2  2",6130,5761,5482,5297,19,103,62,1,0,0,1,0,1,93,184,153,90,11,24,15,3,11,26,63,2,21,0,40,31,4,27,135,14,11,3,7,1,109,12,0,57,12,28,1,171,21,6,15,34,3,26,5,94,22,47,5,20,0,21,4,17,1,52,24,19,5,0,16,12,6,6,11,0,11,7,4,0,0
