
"KS404EW - Car or van availability"
"ONS Crown Copyright Reserved [from Nomis on 12 August 2018]"
"Population :","All households; All cars or vans"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All categories: Car or van availability","No cars or vans in household","1 car or van in household","2 cars or vans in household","3 cars or vans in household","4 or more cars or vans in household"

"AL1  1",2454,407,1266,641,105,35
"AL1  2",2577,542,1165,704,129,37
"AL1  3",2110,596,1115,340,49,10
"AL1  4",3611,374,1591,1295,257,94
"AL1  5",4247,921,2087,1022,171,46
"AL10 0",4201,1402,1788,763,185,63
"AL10 8",4071,1196,1781,784,219,91
"AL10 9",4390,1009,1726,1227,298,130
"AL2  1",3763,547,1577,1267,274,98
"AL2  2",2513,259,1028,919,219,88
"AL2  3",3180,246,1146,1278,331,179
"AL3  4",2320,264,1032,806,165,53
"AL3  5",3424,635,1583,997,161,48
"AL3  6",1602,299,612,522,127,42
"AL3  7",2199,225,854,863,173,84
"AL3  8",1874,175,721,696,195,87
"AL4  0",3459,339,1392,1359,255,114
"AL4  8",2617,272,889,1082,247,127
"AL4  9",4711,498,2011,1653,394,155
"AL5  1",2411,214,1023,907,205,62
"AL5  2",1835,133,646,749,223,84
"AL5  3",1630,71,506,817,181,55
"AL5  4",2517,375,1152,788,154,48
"AL5  5",3191,392,1477,1079,190,53
"AL6  0",2536,113,731,1157,359,176
"AL6  9",1987,253,724,711,209,90
"AL7  1",2484,536,1103,667,135,43
"AL7  2",3333,632,1446,954,230,71
"AL7  3",4009,1046,1849,890,174,50
"AL7  4",4318,870,1937,1214,237,60
"AL8  6",2669,698,1136,675,125,35
"AL8  7",2941,422,1282,973,198,66
"AL9  5",886,99,397,282,79,29
"AL9  6",531,43,187,200,66,35
"AL9  7",2780,282,1020,975,339,164
"B1   1",2168,1280,746,125,5,12
"B1   2",1454,849,509,87,7,2
"B1   3",618,243,312,60,3,0
"B10  0",2524,1309,912,245,43,15
"B10  9",4527,1709,2031,636,120,31
"B11  1",3284,1581,1327,299,62,15
"B11  2",1120,516,452,134,16,2
"B11  3",5385,2091,2486,679,104,25
"B11  4",2964,986,1314,488,129,47
"B12  0",1878,1056,690,117,12,3
"B12  8",2479,1193,1001,236,42,7
"B12  9",2362,1096,942,246,63,15
"B13  0",5280,1641,2231,1086,246,76
"B13  8",3458,1240,1311,703,137,67
"B13  9",6342,2153,2605,1209,273,102
"B14  4",5213,1582,2302,1088,187,54
"B14  5",4790,2030,1833,721,161,45
"B14  6",4981,1414,2209,1106,198,54
"B14  7",3216,980,1488,640,85,23
"B15  1",1160,701,343,91,17,8
"B15  2",3273,1447,1242,442,108,34
"B15  3",1936,340,778,615,128,75
"B16  0",3494,1637,1248,453,116,40
"B16  8",3567,1928,1380,225,27,7
"B16  9",3297,1444,1286,418,103,46
"B17  0",4088,1513,1662,762,112,39
"B17  8",3418,946,1270,856,223,123
"B17  9",3443,795,1495,968,144,41
"B18  4",2075,1170,730,146,20,9
"B18  5",2018,1094,756,140,23,5
"B18  6",1042,377,543,113,7,2
"B18  7",1097,636,389,64,6,2
"B19  1",2556,1308,913,266,59,10
"B19  2",2618,1556,886,141,30,5
"B19  3",1314,891,377,34,10,2
"B2   4",335,298,35,0,2,0
"B2   5",110,99,11,0,0,0
"B20  1",2746,640,1071,700,226,109
"B20  2",3747,1314,1422,674,236,101
"B20  3",4557,2072,1732,569,144,40
"B21  0",3378,1719,1274,310,60,15
"B21  8",3203,1329,1302,445,97,30
"B21  9",3273,1637,1217,309,90,20
"B23  5",6748,2702,2808,1038,155,45
"B23  6",5055,2116,2193,624,100,22
"B23  7",6845,2569,3040,1013,182,41
"B24  0",4531,1297,1968,1033,176,57
"B24  8",3000,1214,1260,416,75,35
"B24  9",4403,1590,1894,742,143,34
"B25  8",6006,2326,2577,896,169,38
"B26  1",4496,1221,1938,1076,207,54
"B26  2",4582,1299,2031,1010,191,51
"B26  3",4481,1197,2027,1013,201,43
"B27  6",3901,1281,1764,702,105,49
"B27  7",6012,2309,2555,942,169,37
"B28  0",5448,917,2361,1724,350,96
"B28  8",2641,682,1145,619,156,39
"B28  9",2828,689,1228,701,169,41
"B29  4",2721,974,1120,522,80,25
"B29  5",4182,1791,1748,540,81,22
"B29  6",4297,1713,1619,706,184,75
"B29  7",3842,1272,1514,749,194,113
"B3   1",1516,709,654,131,19,3
