
"QS415EW - Central heating"
"ONS Crown Copyright Reserved [from Nomis on 12 August 2018]"
"Population :","All household spaces with at least one usual resident"
"Units      :","Household spaces"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All categories: Type of central heating in household","No central heating","Gas central heating","Electric (including storage heaters) central heating","Oil central heating","Solid fuel (for example wood, coal) central heating","Other central heating","Two or more types of central heating"

"AL1  1",2454,36,2107,214,2,2,12,81
"AL1  2",2577,41,2286,116,5,4,35,90
"AL1  3",2110,45,1544,431,1,1,22,66
"AL1  4",3611,50,3266,151,6,4,17,117
"AL1  5",4247,68,3480,507,1,9,39,143
"AL10 0",4201,78,3417,461,3,2,62,178
"AL10 8",4071,48,3634,157,6,3,42,181
"AL10 9",4390,46,3609,406,31,5,84,209
"AL2  1",3763,77,3194,307,9,2,30,144
"AL2  2",2513,39,2256,94,13,8,14,89
"AL2  3",3180,50,2742,165,76,9,19,119
"AL3  4",2320,33,2137,79,5,2,10,54
"AL3  5",3424,55,2976,229,3,3,32,126
"AL3  6",1602,13,1422,63,31,1,9,63
"AL3  7",2199,27,1913,93,70,7,17,72
"AL3  8",1874,34,1491,119,121,14,13,82
"AL4  0",3459,39,3065,184,24,12,18,117
"AL4  8",2617,28,2225,130,102,4,19,109
"AL4  9",4711,71,4056,350,48,3,53,130
"AL5  1",2411,21,2189,118,4,3,11,65
"AL5  2",1835,15,1693,50,3,1,9,64
"AL5  3",1630,9,1494,37,30,1,11,48
"AL5  4",2517,19,2204,189,11,0,17,77
"AL5  5",3191,25,2890,151,6,5,24,90
"AL6  0",2536,10,2216,59,109,9,15,118
"AL6  9",1987,23,1558,105,175,8,16,102
"AL7  1",2484,11,2270,60,1,7,41,94
"AL7  2",3333,85,2713,398,3,0,37,97
"AL7  3",4009,24,3629,158,4,1,38,155
"AL7  4",4318,34,3619,481,3,4,32,145
"AL8  6",2669,35,2148,383,5,6,15,77
"AL8  7",2941,32,2684,86,6,4,15,114
"AL9  5",886,9,731,48,38,1,13,46
"AL9  6",531,2,342,21,114,9,9,34
"AL9  7",2780,29,2467,144,36,2,18,84
"B1   1",2168,183,450,1404,1,0,73,57
"B1   2",1454,98,396,866,1,1,58,34
"B1   3",618,45,99,454,1,0,9,10
"B10  0",2524,97,1865,179,6,0,187,190
"B10  9",4527,155,3485,155,2,1,326,403
"B11  1",3284,120,2345,239,4,0,318,258
"B11  2",1120,120,833,35,0,0,56,76
"B11  3",5385,344,4176,198,4,0,308,355
"B11  4",2964,101,2321,127,3,0,205,207
"B12  0",1878,76,909,704,3,0,100,86
"B12  8",2479,88,1871,105,3,0,220,192
"B12  9",2362,83,1767,172,5,4,169,162
