
"KS401EW - Dwellings, household spaces and accommodation type"
"ONS Crown Copyright Reserved [from Nomis on 31 July 2018]"
"Population :","All dwellings; all household spaces"
"Units      :","Household spaces and Dwellings"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All categories: Dwelling type","Unshared dwelling","Shared dwelling: Two household spaces","Shared dwelling: Three or more household spaces"

"AL1  1",2542,2541,0,1
"AL1  2",2642,2642,0,0
"AL1  3",2268,2265,2,1
"AL1  4",3698,3696,1,1
"AL1  5",4382,4376,1,5
"AL10 0",4403,4402,1,0
"AL10 8",4179,4177,2,0
"AL10 9",4655,4654,0,1
"AL2  1",3880,3876,2,2
"AL2  2",2597,2597,0,0
"AL2  3",3312,3310,0,2
"AL3  4",2416,2416,0,0
"AL3  5",3524,3519,0,5
"AL3  6",1645,1645,0,0
"AL3  7",2274,2274,0,0
"AL3  8",1919,1919,0,0
"AL4  0",3563,3562,0,1
"AL4  8",2670,2670,0,0
"AL4  9",4820,4820,0,0
"AL5  1",2459,2459,0,0
"AL5  2",1913,1913,0,0
"AL5  3",1678,1678,0,0
"AL5  4",2588,2588,0,0
"AL5  5",3255,3255,0,0
"AL6  0",2596,2596,0,0
"AL6  9",2112,2112,0,0
"AL7  1",2523,2523,0,0
"AL7  2",3404,3404,0,0
"AL7  3",4186,4186,0,0
"AL7  4",4621,4620,0,1
"AL8  6",2760,2760,0,0
"AL8  7",3014,3014,0,0
"AL9  5",970,970,0,0
"AL9  6",583,583,0,0
"AL9  7",2901,2900,1,0
"B1   1",2414,2401,5,8
"B1   2",1617,1613,2,2
"B1   3",643,643,0,0
"B10  0",2597,2592,2,3
"B10  9",4669,4665,3,1
"B11  1",3318,3316,0,2
"B11  2",1156,1156,0,0
"B11  3",5649,5648,1,0
"B11  4",3072,3066,1,5
"B12  0",1892,1884,4,4
"B12  8",2571,2570,1,0
"B12  9",2421,2414,3,4
"B13  0",5429,5426,1,2
"B13  8",3610,3596,6,8
"B13  9",6503,6470,3,30
"B14  4",5332,5331,1,0
"B14  5",4978,4976,0,2
"B14  6",5112,5111,0,1
"B14  7",3364,3358,4,2
"B15  1",1187,1181,2,4
"B15  2",3363,3357,3,3
"B15  3",2063,2063,0,0
"B16  0",3600,3571,13,16
"B16  8",3725,3709,6,10
"B16  9",3343,3311,2,30
"B17  0",4259,4257,0,2
"B17  8",3493,3473,6,14
"B17  9",3591,3588,0,3
"B18  4",2136,2133,1,2
"B18  5",2100,2097,1,2
"B18  6",1098,1096,1,1
"B18  7",1117,1117,0,0
"B19  1",2683,2681,0,2
"B19  2",2631,2622,3,6
"B19  3",1328,1320,2,6
"B2   4",351,349,0,2
"B2   5",145,144,1,0
"B20  1",2823,2820,1,2
"B20  2",3815,3798,3,14
"B20  3",4707,4695,5,7
"B21  0",3538,3538,0,0
"B21  8",3333,3326,3,4
"B21  9",3432,3426,4,2
"B23  5",6931,6926,4,1
"B23  6",5239,5224,3,12
"B23  7",7000,6987,5,8
"B24  0",4677,4676,0,1
"B24  8",3080,3068,3,9
"B24  9",4575,4568,2,5
"B25  8",6133,6129,3,1
"B26  1",4602,4602,0,0
"B26  2",4725,4724,0,1
"B26  3",4605,4605,0,0
"B27  6",3972,3957,3,12
"B27  7",6133,6120,4,9
"B28  0",5598,5596,1,1
"B28  8",2711,2710,1,0
"B28  9",2963,2963,0,0
"B29  4",2775,2773,1,1
"B29  5",4282,4282,0,0
"B29  6",4487,4484,1,2
"B29  7",4021,4021,0,0
"B3   1",1677,1673,1,3
"B3   2",98,98,0,0
"B30  1",4544,4536,4,4
"B30  2",5052,5044,5,3
"B30  3",3366,3365,1,0
"B31  1",4990,4989,0,1
"B31  2",5368,5366,2,0
"B31  3",4967,4967,0,0
"B31  4",4531,4530,1,0
"B31  5",3853,3853,0,0
"B32  1",3988,3987,1,0
"B32  2",5230,5228,1,1
"B32  3",5211,5209,1,1
"B32  4",2315,2315,0,0
"B33  0",4727,4725,2,0
"B33  8",4634,4626,3,5
"B33  9",4744,4744,0,0
"B34  6",4714,4712,1,1
"B34  7",3655,3655,0,0
"B35  6",1968,1966,1,1
"B35  7",2326,2326,0,0
"B36  0",5396,5396,0,0
"B36  8",4581,4576,3,2
"B36  9",4054,4054,0,0
"B37  5",4460,4459,1,0
"B37  6",5135,5131,4,0
"B37  7",5946,5945,0,1
"B38  0",811,811,0,0
"B38  8",4015,4015,0,0
"B38  9",4383,4383,0,0
"B4   6",189,187,0,2
"B4   7",449,447,1,1
"B42  1",4335,4335,0,0
"B42  2",5300,5299,1,0
"B43  5",4686,4686,0,0
"B43  6",2827,2827,0,0
"B43  7",4604,4604,0,0
"B44  0",6105,6102,2,1
"B44  8",4256,4254,2,0
"B44  9",5000,4999,0,1
"B45  0",3182,3182,0,0
"B45  8",4516,4515,1,0
"B45  9",5375,5374,1,0
"B46  1",3208,3208,0,0
"B46  2",921,921,0,0
"B46  3",1277,1277,0,0
"B47  5",2887,2887,0,0
"B47  6",1216,1216,0,0
"B48  7",2469,2469,0,0
"B49  5",2108,2108,0,0
"B49  6",2558,2558,0,0
"B5   4",1546,1534,5,7
"B5   5",178,178,0,0
"B5   6",182,181,0,1
"B5   7",3460,3452,4,4
"B50  4",2232,2232,0,0
"B6   4",376,376,0,0
"B6   5",1509,1505,2,2
"B6   6",3074,3070,3,1
"B6   7",1126,1126,0,0
"B60  1",3358,3357,0,1
"B60  2",3273,3273,0,0
"B60  3",3857,3857,0,0
"B60  4",1504,1503,0,1
"B61  0",4224,4224,0,0
"B61  7",2056,2056,0,0
"B61  8",2627,2627,0,0
"B61  9",1063,1063,0,0
"B62  0",2689,2689,0,0
"B62  8",3444,3443,0,1
"B62  9",4371,4370,0,1
"B63  1",2487,2487,0,0
"B63  2",5227,5225,1,1
"B63  3",3551,3549,1,1
"B63  4",4736,4733,1,2
"B64  5",1756,1755,0,1
"B64  6",3167,3164,1,2
"B64  7",2405,2404,0,1
"B65  0",2699,2699,0,0
"B65  8",3169,3169,0,0
"B65  9",4365,4365,0,0
"B66  1",1128,1128,0,0
"B66  2",538,538,0,0
"B66  3",2673,2671,1,1
"B66  4",3305,3301,4,0
"B67  5",4427,4425,0,2
"B67  6",4124,4123,1,0
"B67  7",3575,3574,0,1
"B68  0",4106,4105,1,0
"B68  8",4133,4133,0,0
"B68  9",4623,4622,1,0
"B69  1",6136,6134,1,1
"B69  2",2179,2179,0,0
"B69  3",1431,1431,0,0
"B69  4",2227,2226,1,0
"B7   4",1506,1500,5,1
"B7   5",2005,2000,2,3
"B70  0",2746,2745,1,0
"B70  6",2826,2821,2,3
"B70  7",1292,1292,0,0
"B70  8",1309,1307,1,1
"B70  9",3013,3012,1,0
"B71  1",3344,3344,0,0
"B71  2",4144,4144,0,0
"B71  3",3892,3890,1,1
"B71  4",1636,1635,0,1
"B72  1",4018,4012,1,5
"B73  5",5846,5840,2,4
"B73  6",4070,4069,0,1
"B74  2",4196,4192,2,2
"B74  3",4777,4777,0,0
"B74  4",5005,5004,1,0
"B75  5",3400,3400,0,0
"B75  6",3742,3742,0,0
"B75  7",4170,4169,0,1
"B76  0",170,170,0,0
"B76  1",5037,5037,0,0
"B76  2",2858,2857,0,1
"B76  9",1376,1376,0,0
"B77  1",4430,4430,0,0
"B77  2",5842,5842,0,0
"B77  3",3736,3735,0,1
"B77  4",5695,5695,0,0
"B77  5",3605,3604,1,0
"B78  1",4236,4236,0,0
"B78  2",1894,1894,0,0
"B78  3",4314,4313,1,0
"B79  0",1298,1298,0,0
"B79  7",3141,3141,0,0
"B79  8",4556,4556,0,0
"B79  9",947,946,1,0
"B8   1",2893,2893,0,0
"B8   2",4957,4954,0,3
"B8   3",4520,4518,2,0
"B80  7",3106,3106,0,0
"B9   4",1583,1579,3,1
"B9   5",6112,6111,1,0
"B90  1",4811,4811,0,0
"B90  2",5379,5379,0,0
"B90  3",4357,4357,0,0
"B90  4",4766,4766,0,0
"B91  1",4402,4402,0,0
"B91  2",5208,5208,0,0
"B91  3",4334,4334,0,0
"B92  0",1732,1732,0,0
"B92  7",5448,5447,1,0
"B92  8",5406,5406,0,0
"B92  9",3545,3545,0,0
"B93  0",1625,1624,0,1
"B93  8",3142,3141,1,0
"B93  9",3433,3433,0,0
"B94  5",1660,1660,0,0
"B94  6",1476,1476,0,0
"B95  5",1914,1914,0,0
"B95  6",886,886,0,0
"B96  6",2324,2323,1,0
"B97  4",2526,2516,5,5
"B97  5",7155,7155,0,0
"B97  6",4232,4231,0,1
"B98  0",6039,6039,0,0
"B98  7",7972,7964,1,7
"B98  8",3956,3954,0,2
"B98  9",2704,2703,0,1
"BA1  1",1041,1031,4,6
"BA1  2",3840,3822,0,18
"BA1  3",3161,3141,3,17
"BA1  4",2360,2359,0,1
"BA1  5",2242,2231,2,9
"BA1  6",4008,4001,3,4
"BA1  7",2422,2422,0,0
"BA1  8",384,384,0,0
"BA1  9",104,103,1,0
"BA10 0",1474,1474,0,0
"BA11 1",2450,2450,0,0
"BA11 2",4826,4826,0,0
"BA11 3",2194,2193,0,1
"BA11 4",2817,2817,0,0
"BA11 5",1500,1500,0,0
"BA11 6",844,844,0,0
"BA12 0",2542,2542,0,0
"BA12 6",2054,2053,0,1
"BA12 7",1428,1428,0,0
"BA12 8",4135,4132,2,1
"BA12 9",3058,3055,0,3
"BA13 2",458,458,0,0
"BA13 3",5641,5641,0,0
"BA13 4",2619,2619,0,0
"BA14 0",5354,5353,0,1
"BA14 6",2599,2599,0,0
"BA14 7",6293,6292,0,1
"BA14 8",2810,2809,0,1
"BA14 9",3536,3536,0,0
"BA15 1",4351,4350,0,1
"BA15 2",1726,1726,0,0
"BA16 0",4333,4333,0,0
"BA16 9",1136,1136,0,0
"BA2  0",2016,2016,0,0
"BA2  1",5451,5451,0,0
"BA2  2",4415,4410,2,3
"BA2  3",3299,3283,3,13
"BA2  4",2878,2869,3,6
"BA2  5",3192,3189,0,3
"BA2  6",3042,3038,1,3
"BA2  7",2227,2226,0,1
"BA2  8",3197,3197,0,0
"BA2  9",687,687,0,0
"BA20 1",1295,1293,0,2
"BA20 2",3766,3763,0,3
"BA21 3",6503,6502,0,1
"BA21 4",4079,4079,0,0
"BA21 5",4314,4313,0,1
"BA22 7",1746,1745,1,0
"BA22 8",3413,3413,0,0
"BA22 9",2496,2496,0,0
"BA3  2",4233,4233,0,0
"BA3  3",4293,4293,0,0
"BA3  4",2939,2937,1,1
"BA3  5",2973,2973,0,0
"BA4  4",2126,2126,0,0
"BA4  5",3715,3710,3,2
"BA4  6",1968,1968,0,0
"BA5  1",2798,2796,0,2
"BA5  2",3552,3551,1,0
"BA5  3",1919,1919,0,0
"BA6  8",2934,2933,1,0
"BA6  9",3096,3094,1,1
"BA7  7",1725,1725,0,0
"BA8  0",1953,1953,0,0
"BA9  8",699,698,1,0
"BA9  9",2730,2730,0,0
"BB1  1",4131,4131,0,0
"BB1  2",3791,3791,0,0
"BB1  3",1236,1236,0,0
"BB1  4",3056,3053,1,2
"BB1  5",2918,2918,0,0
"BB1  6",967,966,1,0
"BB1  7",1264,1261,0,3
"BB1  8",3457,3454,2,1
"BB1  9",4347,4347,0,0
"BB10 1",3839,3837,1,1
"BB10 2",4356,4356,0,0
"BB10 3",3579,3578,0,1
"BB10 4",5048,5047,0,1
"BB11 2",2242,2241,0,1
"BB11 3",2123,2122,1,0
"BB11 4",2990,2988,1,1
"BB11 5",3114,3114,0,0
"BB12 0",3284,3284,0,0
"BB12 6",4038,4038,0,0
"BB12 7",3245,3245,0,0
"BB12 8",3804,3802,0,2
"BB12 9",1314,1314,0,0
"BB18 5",3634,3634,0,0
"BB18 6",4340,4339,1,0
"BB2  1",2503,2498,2,3
"BB2  2",2110,2109,0,1
"BB2  3",4272,4267,2,3
"BB2  4",6415,6413,2,0
"BB2  5",3025,3025,0,0
"BB2  6",3646,3643,3,0
"BB2  7",2961,2961,0,0
"BB3  0",3945,3944,0,1
"BB3  1",2940,2939,1,0
"BB3  2",4342,4341,1,0
"BB3  3",4361,4358,0,3
"BB4  4",3243,3243,0,0
"BB4  5",2676,2675,1,0
"BB4  6",3486,3485,1,0
"BB4  7",2704,2701,2,1
"BB4  8",3739,3739,0,0
"BB4  9",2616,2616,0,0
"BB5  0",3712,3712,0,0
"BB5  1",2047,2047,0,0
"BB5  2",3642,3641,1,0
"BB5  3",3811,3811,0,0
"BB5  4",3944,3944,0,0
"BB5  5",5032,5031,0,1
"BB5  6",4712,4712,0,0
"BB6  7",5058,5058,0,0
"BB6  8",1533,1533,0,0
"BB7  1",3589,3588,0,1
"BB7  2",3203,3203,0,0
"BB7  3",1400,1400,0,0
"BB7  4",2234,2234,0,0
"BB7  9",3653,3653,0,0
"BB8  0",3018,3018,0,0
"BB8  7",2142,2141,1,0
"BB8  8",2300,2300,0,0
"BB8  9",3387,3387,0,0
"BB9  0",5017,5016,0,1
"BB9  5",2575,2575,0,0
"BB9  6",2145,2145,0,0
"BB9  7",2258,2258,0,0
"BB9  8",3668,3668,0,0
"BB9  9",2996,2996,0,0
"BD1  1",256,254,0,2
"BD1  2",311,307,1,3
"BD1  3",446,440,3,3
"BD1  4",446,443,1,2
"BD1  5",509,509,0,0
"BD10 0",3792,3789,2,1
"BD10 8",4338,4338,0,0
"BD10 9",2986,2985,0,1
"BD11 1",2462,2461,1,0
"BD11 2",2584,2583,0,1
"BD12 0",2411,2410,0,1
"BD12 7",877,877,0,0
"BD12 8",2178,2178,0,0
"BD12 9",2105,2105,0,0
"BD13 1",1735,1735,0,0
"BD13 2",3265,3265,0,0
"BD13 3",3086,3086,0,0
"BD13 4",1561,1561,0,0
"BD13 5",1369,1369,0,0
"BD14 6",3482,3482,0,0
"BD15 0",1851,1851,0,0
"BD15 7",3325,3325,0,0
"BD15 9",1260,1260,0,0
"BD16 1",4447,4445,1,1
"BD16 2",1767,1764,2,1
"BD16 3",2426,2426,0,0
"BD16 4",3288,3287,0,1
"BD17 5",3709,3706,1,2
"BD17 6",2825,2824,1,0
"BD17 7",1935,1935,0,0
"BD18 1",2975,2975,0,0
"BD18 2",3005,3004,0,1
"BD18 3",2433,2419,1,13
"BD18 4",3457,3449,1,7
"BD19 3",2902,2901,0,1
"BD19 4",4157,4156,0,1
"BD19 5",1229,1229,0,0
"BD19 6",1779,1779,0,0
"BD2  1",3211,3211,0,0
"BD2  2",2169,2167,0,2
"BD2  3",3235,3234,0,1
"BD2  4",2893,2889,3,1
"BD20 0",2863,2862,0,1
"BD20 5",3109,3109,0,0
"BD20 6",3016,3014,1,1
"BD20 7",2201,2201,0,0
"BD20 8",2480,2479,1,0
"BD20 9",1809,1809,0,0
"BD21 1",2618,2617,0,1
"BD21 2",2409,2404,2,3
"BD21 3",1250,1245,2,3
"BD21 4",2972,2966,3,3
"BD21 5",1309,1306,1,2
"BD22 0",1997,1997,0,0
"BD22 6",3295,3295,0,0
"BD22 7",3925,3924,0,1
"BD22 8",2092,2092,0,0
"BD22 9",2003,2003,0,0
"BD23 1",2825,2824,1,0
"BD23 2",4026,4024,2,0
"BD23 3",2053,2053,0,0
"BD23 4",1714,1714,0,0
"BD23 5",1984,1984,0,0
"BD23 6",1856,1855,1,0
"BD24 0",934,934,0,0
"BD24 9",1768,1767,1,0
"BD3  0",3437,3437,0,0
"BD3  7",2226,2226,0,0
"BD3  8",2661,2657,2,2
"BD3  9",2018,2018,0,0
"BD4  0",2881,2881,0,0
"BD4  6",3000,2999,0,1
"BD4  7",1926,1926,0,0
"BD4  8",2938,2937,0,1
"BD4  9",2387,2385,0,2
"BD5  0",2666,2629,10,27
"BD5  7",2005,2004,1,0
"BD5  8",2735,2731,2,2
"BD5  9",3553,3549,3,1
"BD6  1",4231,4231,0,0
"BD6  2",3103,3102,1,0
"BD6  3",5309,5307,1,1
"BD7  1",1496,1451,8,37
"BD7  2",3538,3536,0,2
"BD7  3",2914,2906,3,5
"BD7  4",3429,3429,0,0
"BD8  0",2971,2971,0,0
"BD8  7",2258,2240,4,14
"BD8  8",1761,1761,0,0
"BD8  9",3083,3079,1,3
"BD9  4",2707,2701,0,6
"BD9  5",2839,2831,1,7
"BD9  6",2995,2995,0,0
"BH1  1",1636,1624,3,9
"BH1  2",679,678,0,1
"BH1  3",3880,3861,5,14
"BH1  4",4264,4171,13,80
"BH10 4",1794,1794,0,0
"BH10 5",3072,3072,0,0
"BH10 6",2159,2159,0,0
"BH10 7",1785,1785,0,0
"BH11 8",4218,4216,0,2
"BH11 9",4468,4468,0,0
"BH12 1",2863,2856,3,4
"BH12 2",3488,3487,1,0
"BH12 3",3511,3508,1,2
"BH12 4",3539,3538,1,0
"BH12 5",1693,1693,0,0
"BH13 6",2674,2672,1,1
"BH13 7",2544,2542,2,0
"BH14 0",3209,3204,1,4
"BH14 8",4757,4749,0,8
"BH14 9",3103,3097,1,5
"BH15 1",3544,3544,0,0
"BH15 2",2730,2721,2,7
"BH15 3",4799,4799,0,0
"BH15 4",4359,4357,0,2
"BH16 5",4604,4603,0,1
"BH16 6",2152,2152,0,0
"BH17 7",3892,3892,0,0
"BH17 8",3049,3049,0,0
"BH17 9",2715,2715,0,0
"BH18 8",2088,2088,0,0
"BH18 9",2576,2576,0,0
"BH19 1",2652,2651,0,1
"BH19 2",3160,3160,0,0
"BH19 3",1152,1152,0,0
"BH2  5",2803,2772,8,23
"BH2  6",2264,2245,2,17
"BH20 4",2686,2685,0,1
"BH20 5",2065,2064,0,1
"BH20 6",2376,2376,0,0
"BH20 7",2037,2037,0,0
"BH21 1",4936,4934,1,1
"BH21 2",3818,3818,0,0
"BH21 3",4199,4198,0,1
"BH21 4",862,862,0,0
"BH21 5",1054,1054,0,0
"BH21 6",593,593,0,0
"BH21 7",1651,1651,0,0
"BH21 8",213,213,0,0
"BH22 0",3657,3657,0,0
"BH22 8",4846,4846,0,0
"BH22 9",4213,4211,0,2
"BH23 1",3007,3004,1,2
"BH23 2",5164,5164,0,0
"BH23 3",4258,4258,0,0
"BH23 4",4978,4978,0,0
"BH23 5",3715,3715,0,0
"BH23 6",204,204,0,0
"BH23 7",1907,1907,0,0
"BH23 8",2021,2021,0,0
"BH24 1",4644,4642,0,2
"BH24 2",3208,3208,0,0
"BH24 3",2080,2080,0,0
"BH24 4",672,672,0,0
"BH25 5",5593,5593,0,0
"BH25 6",3353,3353,0,0
"BH25 7",3531,3531,0,0
"BH3  7",2319,2303,5,11
"BH31 6",4352,4352,0,0
"BH31 7",1363,1363,0,0
"BH4  8",3295,3283,3,9
"BH4  9",2250,2235,5,10
"BH5  1",3825,3789,5,31
"BH5  2",2220,2206,3,11
"BH6  3",4554,4546,2,6
"BH6  4",2000,1997,1,2
"BH6  5",4054,4046,2,6
"BH7  6",3561,3545,5,11
"BH7  7",1467,1462,1,4
"BH8  0",3088,3088,0,0
"BH8  8",5488,5451,7,30
"BH8  9",3512,3503,1,8
"BH9  1",4862,4847,4,11
