
"QS205EW - Proficiency in English"
"ONS Crown Copyright Reserved [from Nomis on 31 July 2018]"
"Population :","All usual residents aged 3 and over"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All categories: Proficiency in English","Main language is English (English or Welsh in Wales)","Main language is not English (English or Welsh in Wales): Can speak English very well","Main language is not English (English or Welsh in Wales): Can speak English well","Main language is not English (English or Welsh in Wales): Cannot speak English well","Main language is not English (English or Welsh in Wales): Cannot speak English"

"AL1  1",5174,4819,211,107,32,5
"AL1  2",6199,5543,264,228,145,19
"AL1  3",3969,3610,217,111,26,5
"AL1  4",9356,8859,257,159,71,10
"AL1  5",9713,8390,584,445,252,42
"AL10 0",9442,7902,582,672,250,36
"AL10 8",10623,8815,758,789,227,34
"AL10 9",14459,12075,934,1162,266,22
"AL2  1",9060,8300,363,275,105,17
"AL2  2",5895,5702,116,58,15,4
"AL2  3",7750,7533,135,60,20,2
"AL3  4",5340,5167,119,41,11,2
"AL3  5",8374,7811,334,165,58,6
"AL3  6",4098,3796,136,108,48,10
"AL3  7",5131,4998,70,42,19,2
"AL3  8",4260,4202,35,15,8,0
"AL4  0",8905,8428,242,150,76,9
"AL4  8",6217,6092,75,36,14,0
"AL4  9",11072,10609,257,151,46,9
"AL5  1",5789,5621,106,40,21,1
"AL5  2",4543,4416,85,27,12,3
"AL5  3",4463,4372,62,25,3,1
"AL5  4",6170,5959,135,60,15,1
"AL5  5",7917,7605,202,77,31,2
"AL6  0",6282,6154,86,29,10,3
"AL6  9",4641,4521,52,53,11,4
"AL7  1",5500,5208,170,95,25,2
"AL7  2",7102,6717,222,132,26,5
"AL7  3",9600,9051,317,171,54,7
"AL7  4",10106,9398,429,217,54,8
"AL8  6",5671,5390,165,88,25,3
"AL8  7",7124,6892,149,60,19,4
"AL9  5",2023,1852,81,60,30,0
"AL9  6",1405,1324,37,38,5,1
"AL9  7",6732,6439,154,104,29,6
"B1   1",4017,2915,467,517,104,14
"B1   2",2777,2060,283,321,100,13
"B1   3",969,821,88,51,9,0
"B10  0",7664,4580,867,1038,927,252
"B10  9",16643,10134,1960,2104,1907,538
"B11  1",10974,6388,1295,1491,1432,368
"B11  2",3239,2164,316,395,301,63
"B11  3",16050,11124,1538,1804,1281,303
"B11  4",11626,6967,1422,1446,1392,399
"B12  0",3877,2790,323,439,257,68
"B12  8",8186,4983,960,1036,936,271
"B12  9",7474,5023,703,810,725,213
"B13  0",12922,11678,506,442,248,48
"B13  8",7403,6516,409,270,161,47
"B13  9",15032,12403,932,810,693,194
"B14  4",12148,11612,224,198,98,16
"B14  5",10413,10022,148,158,73,12
"B14  6",11630,10851,331,265,146,37
"B14  7",7313,6717,238,210,113,35
"B15  1",2503,1977,187,273,58,8
"B15  2",9405,7988,660,565,152,40
"B15  3",5802,4997,415,303,80,7
"B16  0",9500,6829,799,1038,671,163
"B16  8",6426,4853,647,655,238,33
