
"CT0010 - Ethnic group (write-in responses)"
"ONS Crown Copyright Reserved [from Nomis on 24 July 2018]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All categories: Ethnic group","English/Welsh/Scottish/Northern Irish/British","Irish","Gypsy or Irish Traveller","Other White","White and Black Caribbean","White and Black African","White and Asian","Other mixed","Indian or British Indian","Pakistani or British Pakistani","Bangladeshi, British Bangladeshi","Chinese","Other Asian","African","Caribbean","Other Black","Arab","Any other ethnic group","Afghan","African/Arab","Albanian","Anglo Indian","Argentinian","Australian/New Zealander","Baltic States","Black and Asian","Black and Chinese","Black and White","Black British","Black European","Black/African American","Bosnian","Brazilian","British Asian","Burmese","Cambodia","Caribbean Asian","Chilean","Chinese and White","Colombian","Commonwealth of (Russian) Independent States","Croatian","Cuban","Cypriot","East African Asian","Ecuadorian","European Mixed","Filipino","Greek","Greek Cypriot","Indonesian","Iranian","Israeli","Italian","Japanese","Kashmiri","Korean","Kosovan","Kurdish","Latin/South/Central American","Malaysian","Mexican","Moroccan","Multi-ethnic islands","Nepalese (includes Gurkha)","Nigerian","North African","North American","Other Eastern European","Other Middle East","Other Western European","Peruvian","Polish","Polynesia/Micronesia/Melanesia","Punjabi","Serbian","Sinhalese","Somali","Somalilander","South Asian and Chinese","Sri Lankan","Taiwanese","Tamil","Thai","Turkish","Turkish Cypriot","Venezuelan","Vietnamese","White African","White and Arab","White and East Asian","White and North African or Middle Eastern","White and South Asian","White Caribbean"

"AL1  1",5453,4230,115,9,32,44,8,65,12,106,42,72,68,7,80,53,1,12,1,0,0,2,0,0,31,11,0,0,2,9,0,0,0,7,5,0,0,0,1,6,1,8,0,0,2,3,0,33,10,12,1,0,8,0,37,5,0,2,0,0,4,2,0,5,35,1,0,3,32,20,1,103,0,28,0,0,3,0,0,0,1,29,0,6,10,11,0,0,4,0,0,0,0,0,2
"AL1  2",6523,4567,140,13,29,88,23,73,9,93,80,493,57,6,128,117,6,40,2,1,0,0,0,0,24,0,0,0,0,27,0,0,0,3,8,0,0,3,0,2,0,8,2,0,0,1,0,57,28,7,7,0,8,1,31,11,5,0,0,0,4,5,1,7,20,0,0,3,22,26,2,104,0,75,0,0,4,0,0,0,5,25,1,7,4,1,0,3,1,2,3,0,0,0,0
"AL1  3",4179,3094,118,6,35,39,10,53,18,94,20,70,72,1,73,43,0,11,0,1,0,0,0,1,36,4,1,0,0,6,0,0,0,5,1,2,0,2,0,7,0,7,0,0,1,0,0,52,9,4,0,0,1,1,33,8,0,1,3,0,5,1,0,1,21,0,0,2,16,56,0,57,0,54,0,0,0,0,0,0,0,7,0,3,2,3,0,0,0,1,0,6,0,1,0
"AL1  4",9799,8034,176,13,60,41,22,135,15,117,118,109,87,10,96,27,4,23,2,0,0,0,3,0,28,5,4,0,3,4,0,0,0,2,2,0,0,1,0,9,0,14,4,0,5,0,0,62,12,8,7,4,10,0,50,15,5,6,0,0,6,0,0,16,31,4,0,0,45,41,4,153,2,68,3,0,5,1,0,0,0,40,0,5,4,2,2,0,3,5,4,0,1,1,1
"AL1  5",10226,6673,234,14,68,121,42,137,16,253,314,662,130,14,170,143,8,81,4,6,0,5,1,0,40,2,1,0,5,12,0,1,0,2,8,0,1,3,2,10,1,36,1,0,1,1,0,90,25,20,5,0,4,0,122,7,15,3,0,0,17,9,3,21,87,2,0,4,31,53,1,184,0,187,0,0,2,1,0,0,2,66,1,9,10,12,0,0,1,0,2,4,1,2,0
"AL10 0",9935,6547,154,17,85,75,61,70,14,403,89,92,209,8,685,103,17,84,7,3,0,6,1,1,10,38,1,0,3,28,0,1,8,7,3,0,0,1,0,4,1,22,1,0,13,0,0,82,21,12,10,0,21,0,26,3,0,1,5,1,6,5,0,0,16,0,5,3,12,85,2,67,0,560,0,0,2,0,0,0,0,66,0,10,13,10,3,0,12,2,2,0,0,0,0
"AL10 8",10998,7099,182,24,101,113,49,87,23,578,174,99,345,13,683,115,9,86,4,19,0,4,0,1,6,42,3,0,2,22,0,2,3,7,9,5,1,1,0,7,1,31,0,0,4,0,0,70,57,13,12,3,18,4,27,7,0,1,2,1,18,11,0,0,23,20,1,6,4,71,4,64,0,372,0,0,0,4,0,0,0,157,3,5,13,16,4,0,25,7,1,0,0,0,0
"AL10 9",14967,8702,223,20,107,160,64,154,30,1034,217,97,799,22,1270,223,22,205,4,20,1,3,5,0,11,39,7,0,10,34,2,3,0,9,2,10,0,4,0,7,4,32,2,0,31,2,3,101,51,30,15,11,60,3,61,12,1,5,1,8,17,48,0,2,48,14,4,12,11,104,11,131,0,319,0,2,5,1,1,0,4,137,1,7,21,55,11,0,36,7,3,1,0,1,0
"AL2  1",9507,6776,187,3,58,122,56,159,47,240,54,334,91,32,172,77,3,58,6,13,0,2,2,0,19,9,0,0,1,8,0,0,0,3,11,1,0,1,0,7,0,7,0,0,1,0,0,113,64,8,12,0,10,0,87,7,0,0,0,0,5,6,2,20,205,2,1,7,10,39,1,131,0,82,1,0,0,2,0,0,4,95,1,7,9,8,3,0,1,1,1,0,0,1,1
