
"QS302EW - General health"
"ONS Crown Copyright Reserved [from Nomis on 12 August 2018]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All categories: General health","Very good health","Good health","Fair health","Bad health","Very bad health"

"AL1  1",5453,3000,1834,460,123,36
"AL1  2",6523,3212,2199,818,231,63
"AL1  3",4179,2300,1317,422,121,19
"AL1  4",9799,6116,2785,702,157,39
"AL1  5",10226,5342,3391,1116,304,73
"AL10 0",9935,4657,3546,1248,379,105
"AL10 8",10998,5413,3753,1322,394,116
"AL10 9",14967,8537,4897,1157,295,81
"AL2  1",9507,4835,3203,1130,274,65
"AL2  2",6130,3070,2134,687,201,38
"AL2  3",7967,4034,2693,896,240,104
"AL3  4",5565,3142,1761,496,106,60
"AL3  5",8831,5040,2627,860,245,59
"AL3  6",4281,2227,1349,525,135,45
"AL3  7",5344,2750,1733,647,166,48
"AL3  8",4441,2326,1468,488,135,24
"AL4  0",9308,5213,2991,828,214,62
"AL4  8",6509,3592,2088,635,154,40
"AL4  9",11451,6097,3739,1235,312,68
"AL5  1",6090,3408,1997,532,126,27
"AL5  2",4676,2790,1461,337,64,24
"AL5  3",4659,3021,1291,291,40,16
"AL5  4",6450,3775,1933,544,133,65
"AL5  5",8365,4988,2473,674,182,48
"AL6  0",6434,3469,2177,625,133,30
"AL6  9",4788,2342,1621,619,160,46
"AL7  1",5761,2713,2003,738,243,64
"AL7  2",7395,3651,2584,848,254,58
"AL7  3",10114,5004,3394,1289,356,71
"AL7  4",10620,5370,3615,1176,354,105
"AL8  6",5869,2930,1958,727,205,49
"AL8  7",7383,3803,2450,866,211,53
"AL9  5",2085,1010,740,256,59,20
"AL9  6",1427,771,420,176,46,14
"AL9  7",6897,3613,2310,718,191,65
"B1   1",4099,2303,1347,320,99,30
"B1   2",2897,1515,891,341,109,41
"B1   3",993,594,338,49,8,4
"B10  0",8206,3535,2678,1258,547,188
"B10  9",17702,7795,6036,2540,985,346
"B11  1",11688,4945,3919,1778,761,285
"B11  2",3479,1445,1310,466,177,81
"B11  3",17242,7824,5935,2356,856,271
"B11  4",12295,5433,4199,1752,668,243
"B12  0",4129,1919,1329,584,221,76
"B12  8",8748,3867,2928,1249,511,193
"B12  9",7878,3578,2521,1083,506,190
"B13  0",13458,5843,4555,2075,747,238
"B13  8",7678,3709,2522,969,330,148
"B13  9",15681,7193,5279,2195,740,274
"B14  4",12710,5548,4325,1865,757,215
"B14  5",10926,4493,3680,1844,682,227
"B14  6",12143,5524,4131,1719,569,200
"B14  7",7634,3735,2489,916,371,123
"B15  1",2582,1226,857,351,113,35
"B15  2",9675,5284,3084,901,302,104
"B15  3",5964,3230,1977,562,145,50
"B16  0",10022,4635,3434,1303,501,149
"B16  8",6754,3453,2269,689,267,76
"B16  9",6994,3437,2328,871,276,82
"B17  0",8835,4394,2845,1099,355,142
"B17  8",9118,4401,3073,1163,367,114
"B17  9",7610,4473,2196,663,223,55
"B18  4",6676,2697,2389,1055,392,143
"B18  5",5132,2271,1785,734,247,95
"B18  6",1890,1085,585,157,43,20
"B18  7",2585,1044,876,391,188,86
"B19  1",8818,3878,2999,1267,513,161
"B19  2",7537,3382,2625,1009,411,110
"B19  3",3713,1878,1179,448,158,50
"B2   4",451,264,136,26,18,7
"B2   5",165,100,59,5,1,0
"B20  1",8296,3526,3011,1239,410,110
"B20  2",10818,4939,3814,1431,503,131
"B20  3",14975,6710,5111,2089,764,301
"B21  0",10012,4317,3533,1448,524,190
"B21  8",9576,4106,3436,1354,517,163
"B21  9",10738,4539,3787,1588,607,217
"B23  5",15189,6257,5062,2480,1057,333
"B23  6",11113,4867,3845,1637,591,173
"B23  7",16568,7025,5981,2359,902,301
"B24  0",10567,4668,3508,1590,614,187
"B24  8",8028,3419,2815,1209,421,164
"B24  9",10275,4362,3552,1579,575,207
"B25  8",16005,6971,5465,2453,821,295
"B26  1",10895,4757,3927,1566,494,151
"B26  2",11456,5000,3854,1764,632,206
"B26  3",10475,4409,3820,1560,516,170
"B27  6",9604,4152,3442,1414,470,126
"B27  7",15230,6418,5172,2415,926,299
"B28  0",14567,6806,5113,1908,551,189
"B28  8",7734,3405,2731,1107,365,126
"B28  9",7735,3435,2798,1057,346,99
"B29  4",6122,2659,2077,951,324,111
"B29  5",10203,4497,3349,1581,572,204
"B29  6",13598,7826,4237,1123,327,85
"B29  7",12101,7099,3597,977,315,113
"B3   1",2441,1526,747,139,18,11
"B3   2",133,88,36,7,1,1
"B30  1",10109,4646,3285,1533,485,160
"B30  2",11521,5478,3864,1509,533,137
"B30  3",7454,3563,2529,917,345,100
"B31  1",11388,5078,3794,1680,624,212
"B31  2",12076,5609,4155,1612,537,163
"B31  3",11150,4922,3877,1613,565,173
"B31  4",9928,4399,3343,1524,518,144
"B31  5",9760,4416,3484,1304,417,139
"B32  1",9377,4109,3317,1355,463,133
"B32  2",12079,5594,3904,1720,635,226
"B32  3",11942,5248,3911,1847,709,227
"B32  4",5120,2117,1757,830,314,102
"B33  0",10462,4094,3562,1801,742,263
"B33  8",11937,4790,4130,2001,757,259
"B33  9",12114,5342,4146,1762,643,221
"B34  6",11167,4448,3852,1846,750,271
"B34  7",8160,3344,2519,1498,594,205
"B35  6",4240,1714,1372,710,342,102
"B35  7",5731,2314,1786,958,496,177
"B36  0",12698,5396,4425,1993,695,189
"B36  8",12779,5794,4311,1819,647,208
"B36  9",9274,3885,3370,1428,467,124
"B37  5",9965,4095,3379,1624,664,203
"B37  6",11857,5079,4126,1787,650,215
"B37  7",13906,5796,4936,2134,787,253
"B38  0",2084,837,728,371,106,42
"B38  8",9201,3868,3221,1469,473,170
"B38  9",10069,4339,3259,1606,659,206
"B4   6",340,166,126,26,13,9
"B4   7",4343,2654,1477,176,28,8
"B42  1",10974,4685,4067,1596,498,128
"B42  2",13393,6121,4910,1677,527,158
"B43  5",10947,4594,3996,1726,495,136
"B43  6",6541,2810,2425,957,277,72
"B43  7",10953,4754,4004,1618,458,119
"B44  0",15427,6733,4838,2385,1129,342
"B44  8",10020,4249,3662,1476,508,125
"B44  9",11644,5046,3940,1756,687,215
"B45  0",7143,2733,2318,1277,636,179
"B45  8",10605,5371,3333,1318,438,145
"B45  9",12437,5611,4351,1795,522,158
"B46  1",7223,3566,2525,814,242,76
"B46  2",2147,1082,694,264,87,20
