
"KS604EW - Hours worked"
"ONS Crown Copyright Reserved [from Nomis on 25 July 2018]"
"Population :","All usual residents aged 16 to 74 in employment the week before the census"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All usual residents aged 16 to 74 in employment the week before the census","Part-time: 15 hours or less worked","Part-time: 16 to 30 hours worked","Full-time: 31 to 48 hours worked","Full-time: 49 or more hours worked"

"AL1  1",3156,229,433,1885,609
"AL1  2",3127,297,551,1782,497
"AL1  3",2545,145,277,1594,529
"AL1  4",5086,568,823,2685,1010
"AL1  5",5428,448,866,3295,819
"AL10 0",4944,510,836,3030,568
"AL10 8",5007,799,1054,2687,467
"AL10 9",6408,1301,1160,3215,732
"AL2  1",4998,459,888,2925,726
"AL2  2",3068,331,552,1690,495
"AL2  3",3958,459,766,2038,695
"AL3  4",2755,308,472,1416,559
"AL3  5",4668,485,753,2595,835
"AL3  6",2064,227,402,1107,328
"AL3  7",2561,298,431,1331,501
"AL3  8",2384,239,367,1322,456
"AL4  0",4774,505,892,2547,830
"AL4  8",3088,389,550,1585,564
"AL4  9",6056,661,1073,3427,895
"AL5  1",3032,360,584,1506,582
"AL5  2",1996,254,313,848,581
"AL5  3",2203,304,393,980,526
"AL5  4",3016,327,492,1606,591
"AL5  5",4105,403,745,2173,784
"AL6  0",3071,366,498,1558,649
"AL6  9",2278,288,378,1174,438
"AL7  1",2957,287,504,1828,338
"AL7  2",4090,374,620,2646,450
"AL7  3",4790,449,894,2996,451
"AL7  4",5402,463,940,3419,580
"AL8  6",2751,291,480,1607,373
"AL8  7",3462,368,651,1933,510
"AL9  5",1094,89,168,658,179
"AL9  6",625,62,108,312,143
"AL9  7",3326,385,572,1743,626
"B1   1",2384,276,240,1464,404
"B1   2",1489,134,225,940,190
"B1   3",758,43,56,515,144
"B10  0",2161,317,733,970,141
"B10  9",4453,621,1502,2072,258
"B11  1",2815,361,958,1360,136
"B11  2",1060,117,305,578,60
"B11  3",5429,535,1579,2984,331
"B11  4",3382,411,1023,1749,199
"B12  0",1531,151,318,930,132
"B12  8",2129,254,693,1058,124
"B12  9",2254,261,654,1213,126
"B13  0",5498,503,1141,3324,530
"B13  8",3852,313,624,2350,565
"B13  9",6812,612,1295,4032,873
"B14  4",5621,447,1145,3537,492
"B14  5",4316,366,967,2636,347
"B14  6",5279,457,1087,3199,536
"B14  7",3906,314,721,2375,496
"B15  1",964,140,221,473,130
"B15  2",3569,690,569,1817,493
"B15  3",2555,369,374,1296,516
"B16  0",3812,385,878,2164,385
"B16  8",3439,233,524,2098,584
"B16  9",3501,371,588,2099,443
"B17  0",3984,422,581,2384,597
"B17  8",4357,426,743,2541,647
"B17  9",4247,295,573,2504,875
"B18  4",1837,206,564,944,123
"B18  5",1786,181,492,983,130
"B18  6",1250,93,138,795,224
"B18  7",838,87,208,488,55
"B19  1",2339,335,775,1116,113
"B19  2",2022,238,713,964,107
"B19  3",988,258,249,433,48
"B2   4",198,20,19,129,30
"B2   5",92,3,9,65,15
"B20  1",3872,339,722,2425,386
"B20  2",4578,458,957,2720,443
"B20  3",4571,644,1294,2346,287
"B21  0",3399,369,922,1871,237
"B21  8",3554,359,828,2109,258
"B21  9",3478,366,976,1920,216
"B23  5",6042,461,1268,3763,550
"B23  6",5161,341,907,3418,495
"B23  7",7010,569,1495,4339,607
"B24  0",4850,379,881,3086,504
"B24  8",3063,297,619,1897,250
"B24  9",4575,382,886,2826,481
"B25  8",5914,492,1367,3616,439
"B26  1",5235,449,1084,3240,462
"B26  2",4985,409,1033,3099,444
"B26  3",4935,398,946,3136,455
"B27  6",4432,327,838,2838,429
"B27  7",6012,527,1360,3626,499
