
"QS406EW - Household size"
"ONS Crown Copyright Reserved [from Nomis on 12 August 2018]"
"Population :","All household spaces with at least one usual resident"
"Units      :","Household spaces"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All categories: Household size","1 person in household","2 people in household","3 people in household","4 people in household","5 people in household","6 people in household","7 people in household","8 or more people in household"

"AL1  1",2454,773,923,366,305,67,11,5,4
"AL1  2",2577,790,793,372,365,150,74,18,15
"AL1  3",2110,871,807,210,155,53,10,1,3
"AL1  4",3611,703,1244,531,785,277,53,13,5
"AL1  5",4247,1325,1377,598,587,238,84,23,15
"AL10 0",4201,1454,1209,651,551,226,84,19,7
"AL10 8",4071,1167,1094,601,617,406,144,28,14
"AL10 9",4390,996,1208,774,800,438,136,30,8
"AL2  1",3763,1064,1117,668,591,205,93,16,9
"AL2  2",2513,690,848,442,377,126,26,4,0
"AL2  3",3180,756,1206,468,530,167,41,7,5
"AL3  4",2320,592,894,367,336,113,16,2,0
"AL3  5",3424,915,1101,530,586,222,58,5,7
"AL3  6",1602,378,487,287,273,123,41,6,7
"AL3  7",2199,590,812,307,353,103,24,6,4
"AL3  8",1874,530,670,283,292,84,11,3,1
"AL4  0",3459,779,1043,609,733,218,60,10,7
"AL4  8",2617,618,971,400,451,137,32,4,4
"AL4  9",4711,1356,1532,707,837,193,75,9,2
"AL5  1",2411,597,793,426,414,142,32,5,2
"AL5  2",1835,416,707,247,311,126,20,7,1
"AL5  3",1630,252,518,290,423,113,26,5,3
"AL5  4",2517,770,773,328,460,158,26,1,1
"AL5  5",3191,781,987,492,675,207,37,7,5
"AL6  0",2536,486,1045,399,439,128,32,5,2
"AL6  9",1987,567,727,269,295,102,22,2,3
"AL7  1",2484,757,844,377,379,102,23,1,1
"AL7  2",3333,1183,1067,487,457,102,34,2,1
"AL7  3",4009,1181,1131,730,624,237,65,29,12
"AL7  4",4318,1250,1309,732,729,219,68,8,3
"AL8  6",2669,979,848,356,338,121,21,5,1
"AL8  7",2941,680,1075,483,518,150,30,5,0
"AL9  5",886,251,327,149,108,39,9,3,0
"AL9  6",531,152,209,78,62,21,4,4,1
"AL9  7",2780,756,949,424,440,162,43,3,3
"B1   1",2168,1233,714,160,51,3,7,0,0
"B1   2",1454,680,494,167,64,33,12,3,1
"B1   3",618,308,254,48,7,1,0,0,0
"B10  0",2524,797,439,276,287,271,255,88,111
"B10  9",4527,794,730,597,596,625,657,252,276
"B11  1",3284,845,544,395,404,384,388,146,178
"B11  2",1120,279,240,162,178,129,84,27,21
"B11  3",5385,1164,1255,848,791,609,452,144,122
"B11  4",2964,455,478,400,353,407,427,201,243
"B12  0",1878,860,495,226,119,81,62,14,21
"B12  8",2479,577,447,356,307,299,275,106,112
"B12  9",2362,696,448,282,270,236,231,76,123
"B13  0",5280,1638,1506,828,667,376,200,31,34
"B13  8",3458,1535,950,398,280,155,73,24,43
"B13  9",6342,2691,1573,686,567,329,252,97,147
"B14  4",5213,1602,1600,911,649,305,105,24,17
"B14  5",4790,1756,1408,775,518,216,82,14,21
"B14  6",4981,1509,1564,822,676,263,109,22,16
"B14  7",3216,1094,970,498,397,152,65,15,25
"B15  1",1160,677,279,124,54,16,8,1,1
"B15  2",3273,1360,978,443,256,150,60,9,17
"B15  3",1936,645,669,248,216,88,43,10,17
"B16  0",3494,1101,797,541,374,287,217,85,92
"B16  8",3567,1740,1058,439,186,89,42,6,7
"B16  9",3297,1610,795,386,238,146,74,26,22
"B17  0",4088,1607,1258,566,439,155,43,12,8
"B17  8",3418,1115,916,514,404,239,148,41,41
"B17  9",3443,1249,1125,453,441,131,37,4,3
"B18  4",2075,599,494,354,282,185,105,29,27
"B18  5",2018,709,521,341,184,124,89,26,24
"B18  6",1042,453,431,88,46,18,6,0,0
"B18  7",1097,448,250,152,129,66,39,7,6
"B19  1",2556,704,455,297,310,264,285,113,128
"B19  2",2618,899,496,344,321,268,178,57,55
"B19  3",1314,594,254,179,126,72,57,17,15
"B2   4",335,237,82,15,1,0,0,0,0
"B2   5",110,64,39,5,2,0,0,0,0
"B20  1",2746,771,624,401,403,283,160,67,37
"B20  2",3747,1220,787,571,492,313,214,76,74
"B20  3",4557,1209,853,621,624,521,407,151,171
"B21  0",3378,833,795,580,516,343,208,62,41
"B21  8",3203,793,702,594,480,320,205,64,45
"B21  9",3273,805,671,499,447,326,301,94,130
"B23  5",6748,2470,2083,1033,709,300,117,25,11
"B23  6",5055,2065,1407,749,505,208,84,20,17
"B23  7",6845,2337,1948,1135,773,384,168,45,55
"B24  0",4531,1532,1449,691,550,208,74,11,16
"B24  8",3000,1025,739,464,315,226,137,45,49
"B24  9",4403,1600,1233,722,490,222,101,25,10
"B25  8",6006,1843,1523,991,786,478,236,90,59
"B26  1",4496,1405,1331,771,635,218,96,25,15
"B26  2",4582,1370,1380,753,636,281,111,28,23
"B26  3",4481,1358,1544,745,533,202,75,13,11
"B27  6",3901,1419,1089,538,430,246,116,33,30
"B27  7",6012,2018,1596,934,767,386,194,73,44
"B28  0",5448,1337,1725,857,905,376,162,43,43
"B28  8",2641,667,672,409,399,268,139,44,43
"B28  9",2828,780,771,453,394,241,118,35,36
"B29  4",2721,943,906,411,292,119,37,8,5
"B29  5",4182,1321,1231,703,532,252,111,24,8
"B29  6",4297,1077,1055,707,692,392,252,90,32
"B29  7",3842,913,965,569,574,372,286,103,60
"B3   1",1516,741,645,111,18,1,0,0,0
"B3   2",89,50,35,3,1,0,0,0,0
"B30  1",4463,1610,1390,639,575,199,42,5,3
"B30  2",4840,1518,1587,801,612,226,72,10,14
"B30  3",3242,1165,1012,463,419,124,45,12,2
"B31  1",4765,1473,1488,834,605,242,91,20,12
"B31  2",5213,1697,1703,815,669,242,69,12,6
"B31  3",4857,1604,1515,869,583,212,51,9,14
"B31  4",4363,1431,1435,726,504,195,59,11,2
"B31  5",3779,975,1164,702,595,234,87,17,5
"B32  1",3846,1013,1347,685,520,195,63,13,10
"B32  2",5065,1650,1545,856,580,284,110,26,14
"B32  3",5123,1818,1543,804,613,213,96,21,15
"B32  4",2279,818,687,379,248,105,33,5,4
