
"QS803EW - length of residence in the UK"
"ONS Crown Copyright Reserved [from Nomis on 12 August 2018]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All categories: Length of residence in the UK","Born in the UK","Resident in UK: Less than 2 years","Resident in UK: 2 years or more but less than 5 years","Resident in UK: 5 years or more but less than 10 years","Resident in UK: 10 years or more"

"AL1  1",5453,4514,87,114,170,568
"AL1  2",6523,5300,103,145,216,759
"AL1  3",4179,3347,132,165,179,356
"AL1  4",9799,8458,92,146,240,863
"AL1  5",10226,7956,222,307,470,1271
"AL10 0",9935,7320,478,659,720,758
"AL10 8",10998,7965,839,795,666,733
"AL10 9",14967,10564,1672,916,771,1044
"AL2  1",9507,7771,125,156,322,1133
"AL2  2",6130,5482,25,56,122,445
"AL2  3",7967,7216,40,51,93,567
"AL3  4",5565,4902,45,73,96,449
"AL3  5",8831,7453,108,172,278,820
"AL3  6",4281,3670,37,46,104,424
"AL3  7",5344,4917,17,39,80,291
"AL3  8",4441,4148,18,24,43,208
"AL4  0",9308,8126,78,142,194,768
"AL4  8",6509,6041,45,37,80,306
"AL4  9",11451,10211,76,129,227,808
"AL5  1",6090,5511,39,38,102,400
"AL5  2",4676,4140,50,53,60,373
"AL5  3",4659,4209,27,53,67,303
"AL5  4",6450,5671,91,109,139,440
"AL5  5",8365,7435,69,143,200,518
"AL6  0",6434,5857,22,52,48,455
"AL6  9",4788,4379,43,30,60,276
"AL7  1",5761,5036,52,112,177,384
"AL7  2",7395,6483,79,114,236,483
"AL7  3",10114,8825,131,207,333,618
"AL7  4",10620,9012,165,255,431,757
"AL8  6",5869,5143,55,78,130,463
"AL8  7",7383,6626,28,115,140,474
"AL9  5",2085,1712,46,56,64,207
"AL9  6",1427,1240,54,34,20,79
"AL9  7",6897,6081,69,96,100,551
"B1   1",4099,2432,642,393,331,301
"B1   2",2897,1704,375,230,278,310
"B1   3",993,720,90,67,49,67
"B10  0",8206,4522,284,437,736,2227
"B10  9",17702,10215,508,856,1401,4722
"B11  1",11688,6595,394,512,914,3273
"B11  2",3479,2215,123,196,229,716
"B11  3",17242,11160,553,893,1220,3416
"B11  4",12295,6992,411,519,761,3612
"B12  0",4129,2526,129,263,472,739
"B12  8",8748,4967,286,458,701,2336
"B12  9",7878,4723,238,320,549,2048
"B13  0",13458,11142,104,181,351,1680
"B13  8",7678,5903,135,176,267,1197
"B13  9",15681,11657,276,390,576,2782
"B14  4",12710,11518,49,135,227,781
