
"KS104EW - Living arrangements"
"ONS Crown Copyright Reserved [from Nomis on 25 July 2018]"
"Population :","All usual residents aged 16 and over in households"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All categories: Living arrangements","Living in a couple: Married or in a registered same-sex civil partnership","Living in a couple: Cohabiting","Not living in a couple: Single (never married or never registered a same-sex civil partnership)","Not living in a couple: Married or in a registered same-sex civil partnership","Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership)","Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved","Not living in a couple: Widowed or surviving partner from a same-sex civil partnership"

"AL1  1",4479,2004,773,1078,63,83,282,196
"AL1  2",4994,2310,599,1265,84,94,330,312
"AL1  3",3471,1122,725,1126,53,70,211,164
"AL1  4",7462,4526,720,1529,70,65,258,294
"AL1  5",8139,3460,1208,2341,119,169,438,404
"AL10 0",8066,2680,1114,2867,138,219,593,455
"AL10 8",9203,2706,895,4255,161,152,530,504
"AL10 9",10128,3230,1106,4767,189,154,398,284
"AL2  1",7394,3394,928,1958,84,163,527,340
"AL2  2",4854,2576,560,999,50,89,279,301
"AL2  3",6426,3812,490,1225,61,93,320,425
"AL3  4",4496,2732,396,818,42,58,184,266
"AL3  5",6564,3236,938,1600,66,106,350,268
"AL3  6",3300,1712,296,823,33,48,162,226
"AL3  7",4188,2362,420,792,42,72,243,257
"AL3  8",3528,1840,463,704,26,61,225,209
"AL4  0",6933,3856,692,1554,80,107,370,274
"AL4  8",5103,2886,541,989,48,67,250,322
"AL4  9",9178,4816,964,2120,83,109,547,539
"AL5  1",4739,2840,420,860,35,61,235,288
"AL5  2",3675,2434,212,606,39,43,115,226
"AL5  3",3409,2382,164,559,22,35,104,143
"AL5  4",4678,2624,384,906,54,81,276,353
"AL5  5",6153,3582,580,1214,63,92,337,285
"AL6  0",5243,3416,397,825,48,69,183,305
"AL6  9",3875,2118,372,773,53,52,206,301
"AL7  1",4603,2172,630,1038,36,92,328,307
"AL7  2",6036,2818,816,1490,53,150,410,299
"AL7  3",7531,3000,1114,2136,75,206,581,419
"AL7  4",8214,3838,1099,1957,105,199,513,503
"AL8  6",4770,2414,500,950,44,91,310,461
"AL8  7",5816,3226,590,1157,58,84,306,395
"AL9  5",1775,928,218,384,31,28,80,106
"AL9  6",1009,576,94,171,19,21,65,63
"AL9  7",5648,3012,486,1281,66,92,309,402
"B1   1",3253,412,602,1898,116,60,140,25
"B1   2",2325,422,359,1206,67,63,147,61
"B1   3",950,110,262,504,21,14,36,3
"B10  0",5648,2399,177,1844,323,224,331,350
"B10  9",11776,5644,356,3675,598,422,422,659
"B11  1",8023,3436,211,2709,481,318,400,468
"B11  2",2363,1038,166,714,111,99,124,111
"B11  3",11691,5462,685,3484,471,387,596,606
"B11  4",8649,4120,192,2873,529,222,284,429
"B12  0",3076,724,344,1501,88,130,174,115
"B12  8",5812,2478,234,2014,327,252,248,259
"B12  9",5533,2120,283,2086,280,192,287,285
"B13  0",10445,4356,948,3281,154,237,700,769
"B13  8",6316,2074,767,2568,145,126,373,263
"B13  9",12227,4568,1095,4520,370,327,699,648
"B14  4",9842,3606,1294,3168,128,259,705,682
"B14  5",8509,2934,1075,2788,100,235,700,677
"B14  6",9414,4056,980,2806,141,234,576,621
"B14  7",6084,2226,895,1997,95,139,388,344
