
"QS303EW - Long-term health problem or disability"
"ONS Crown Copyright Reserved [from Nomis on 12 August 2018]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All categories: Long-term health problem or disability","Day-to-day activities limited a lot","Day-to-day activities limited a little","Day-to-day activities not limited"

"AL1  1",5453,261,357,4835
"AL1  2",6523,486,566,5471
"AL1  3",4179,240,270,3669
"AL1  4",9799,352,571,8876
"AL1  5",10226,543,783,8900
"AL10 0",9935,727,845,8363
"AL10 8",10998,780,863,9355
"AL10 9",14967,563,726,13678
"AL2  1",9507,521,766,8220
"AL2  2",6130,437,538,5155
"AL2  3",7967,547,741,6679
"AL3  4",5565,275,411,4879
"AL3  5",8831,545,556,7730
"AL3  6",4281,318,348,3615
"AL3  7",5344,395,501,4448
"AL3  8",4441,236,354,3851
"AL4  0",9308,456,656,8196
"AL4  8",6509,325,540,5644
"AL4  9",11451,614,927,9910
"AL5  1",6090,269,438,5383
"AL5  2",4676,185,330,4161
"AL5  3",4659,115,252,4292
"AL5  4",6450,353,450,5647
"AL5  5",8365,391,526,7448
"AL6  0",6434,256,511,5667
"AL6  9",4788,361,481,3946
"AL7  1",5761,435,531,4795
"AL7  2",7395,500,567,6328
"AL7  3",10114,670,874,8570
"AL7  4",10620,734,862,9024
"AL8  6",5869,405,618,4846
"AL8  7",7383,470,695,6218
"AL9  5",2085,125,204,1756
"AL9  6",1427,105,98,1224
"AL9  7",6897,418,579,5900
"B1   1",4099,130,206,3763
"B1   2",2897,159,198,2540
"B1   3",993,20,16,957
"B10  0",8206,838,805,6563
"B10  9",17702,1595,1569,14538
"B11  1",11688,1191,1132,9365
"B11  2",3479,301,301,2877
"B11  3",17242,1386,1428,14428
"B11  4",12295,1095,1118,10082
"B12  0",4129,347,348,3434
"B12  8",8748,830,796,7122
"B12  9",7878,866,733,6279
"B13  0",13458,1429,1336,10693
"B13  8",7678,686,640,6352
"B13  9",15681,1372,1541,12768
"B14  4",12710,1345,1308,10057
"B14  5",10926,1280,1279,8367
"B14  6",12143,1125,1246,9772
"B14  7",7634,634,630,6370
"B15  1",2582,209,219,2154
"B15  2",9675,550,600,8525
"B15  3",5964,294,391,5279
"B16  0",10022,799,847,8376
"B16  8",6754,434,385,5935
"B16  9",6994,528,561,5905
"B17  0",8835,743,810,7282
"B17  8",9118,680,743,7695
"B17  9",7610,428,559,6623
"B18  4",6676,616,682,5378
"B18  5",5132,427,465,4240
"B18  6",1890,89,71,1730
"B18  7",2585,284,254,2047
"B19  1",8818,748,777,7293
"B19  2",7537,596,634,6307
"B19  3",3713,248,272,3193
"B2   4",451,27,11,413
"B2   5",165,1,5,159
"B20  1",8296,693,812,6791
"B20  2",10818,822,957,9039
"B20  3",14975,1323,1246,12406
"B21  0",10012,876,926,8210
"B21  8",9576,816,896,7864
"B21  9",10738,955,1012,8771
"B23  5",15189,1961,1692,11536
"B23  6",11113,1073,1082,8958
"B23  7",16568,1665,1543,13360
"B24  0",10567,1166,1110,8291
"B24  8",8028,869,804,6355
"B24  9",10275,1136,986,8153
"B25  8",16005,1465,1571,12969
"B26  1",10895,948,1060,8887
"B26  2",11456,1270,1221,8965
"B26  3",10475,983,1046,8446
"B27  6",9604,913,904,7787
"B27  7",15230,1677,1586,11967
"B28  0",14567,1095,1357,12115
"B28  8",7734,704,740,6290
"B28  9",7735,688,692,6355
"B29  4",6122,654,737,4731
"B29  5",10203,1075,1053,8075
"B29  6",13598,557,841,12200
"B29  7",12101,633,713,10755
"B3   1",2441,39,82,2320
"B3   2",133,3,3,127
"B30  1",10109,1106,1099,7904
"B30  2",11521,988,1003,9530
"B30  3",7454,656,660,6138
"B31  1",11388,1204,1145,9039
"B31  2",12076,1055,1215,9806
"B31  3",11150,1055,1115,8980
"B31  4",9928,955,1105,7868
"B31  5",9760,834,925,8001
"B32  1",9377,835,976,7566
"B32  2",12079,1153,1167,9759
"B32  3",11942,1337,1272,9333
"B32  4",5120,561,557,4002
"B33  0",10462,1390,1134,7938
"B33  8",11937,1517,1236,9184
"B33  9",12114,1177,1119,9818
"B34  6",11167,1485,1138,8544
"B34  7",8160,1131,868,6161
"B35  6",4240,583,503,3154
"B35  7",5731,913,686,4132
"B36  0",12698,1316,1363,10019
"B36  8",12779,1190,1136,10453
"B36  9",9274,880,990,7404
"B37  5",9965,1185,1058,7722
"B37  6",11857,1204,1224,9429
"B37  7",13906,1479,1529,10898
"B38  0",2084,336,189,1559
"B38  8",9201,996,1037,7168
"B38  9",10069,1200,1137,7732
"B4   6",340,22,21,297
"B4   7",4343,48,110,4185
"B42  1",10974,885,1037,9052
"B42  2",13393,945,1151,11297
"B43  5",10947,943,1217,8787
"B43  6",6541,566,672,5303
"B43  7",10953,896,1144,8913
"B44  0",15427,1919,1537,11971
"B44  8",10020,958,1036,8026
"B44  9",11644,1263,1187,9194
"B45  0",7143,1040,861,5242
"B45  8",10605,874,1017,8714
"B45  9",12437,1090,1325,10022
"B46  1",7223,514,607,6102
"B46  2",2147,169,210,1768
"B46  3",2702,310,297,2095
"B47  5",6596,541,721,5334
"B47  6",2759,218,276,2265
"B48  7",5796,528,572,4696
"B49  5",4344,289,470,3585
"B49  6",5845,541,595,4709
"B5   4",2134,42,65,2027
"B5   5",865,13,22,830
"B5   6",222,4,7,211
"B5   7",8762,722,688,7352
"B50  4",5350,379,524,4447
"B6   4",1090,95,109,886
"B6   5",4388,438,405,3545
"B6   6",11456,1052,1043,9361
"B6   7",2730,238,255,2237
"B60  1",7692,660,684,6348
"B60  2",7881,500,678,6703
"B60  3",9030,668,770,7592
"B60  4",3348,268,318,2762
"B61  0",10028,806,903,8319
"B61  7",5187,305,441,4441
"B61  8",5803,644,641,4518
"B61  9",2452,164,211,2077
"B62  0",6307,550,702,5055
"B62  8",8042,635,794,6613
"B62  9",10052,959,1019,8074
"B63  1",5920,459,609,4852
"B63  2",12109,1141,1276,9692
"B63  3",7834,609,807,6418
"B63  4",10568,1066,1153,8349
"B64  5",3740,486,397,2857
"B64  6",6879,756,746,5377
"B64  7",5909,680,592,4637
"B65  0",5899,723,631,4545
"B65  8",7767,775,788,6204
"B65  9",10104,1105,1111,7888
"B66  1",3650,358,295,2997
"B66  2",1588,143,132,1313
"B66  3",7268,742,702,5824
"B66  4",8828,742,756,7330
"B67  5",9923,704,862,8357
"B67  6",10540,1218,1104,8218
"B67  7",9924,1109,1012,7803
"B68  0",9240,951,1036,7253
"B68  8",9686,1035,989,7662
"B68  9",11662,1342,1287,9033
