
"QS701EW - Method of travel to work"
"ONS Crown Copyright Reserved [from Nomis on 12 August 2018]"
"Population :","All usual residents aged 16 to 74"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All categories: Method of travel to work","Work mainly at or from home","Underground, metro, light rail, tram","Train","Bus, minibus or coach","Taxi","Motorcycle, scooter or moped","Driving a car or van","Passenger in a car or van","Bicycle","On foot","Other method of travel to work","Not in employment"

"AL1  1",4170,245,37,889,89,12,19,1415,55,40,341,14,1014
"AL1  2",4563,190,39,472,99,12,30,1685,117,77,389,17,1436
"AL1  3",3287,159,29,812,66,2,8,985,50,57,367,10,742
"AL1  4",6951,464,50,1468,81,5,29,2262,106,123,469,29,1865
"AL1  5",7524,283,51,1067,225,16,29,2798,187,130,612,30,2096
"AL10 0",7523,143,49,404,262,37,33,2643,293,191,870,19,2579
"AL10 8",8531,134,57,311,468,31,40,2587,307,202,844,26,3524
"AL10 9",12321,252,134,498,529,39,44,3475,301,169,938,29,5913
"AL2  1",7006,240,75,405,240,21,41,3312,233,74,333,24,2008
"AL2  2",4382,233,59,325,50,17,27,2073,113,34,124,13,1314
"AL2  3",5680,338,65,331,67,18,30,2725,144,33,174,33,1722
"AL3  4",4000,317,29,581,46,7,18,1364,47,30,303,13,1245
"AL3  5",6219,347,36,1091,152,9,30,2138,114,76,653,22,1551
"AL3  6",2955,148,15,285,77,9,21,1172,87,38,197,15,891
"AL3  7",3718,221,11,283,63,5,23,1684,89,19,151,12,1157
"AL3  8",3228,220,20,178,54,1,15,1663,84,15,117,17,844
"AL4  0",6565,336,44,719,114,15,26,2938,172,90,293,27,1791
"AL4  8",4542,324,16,408,72,3,26,1917,116,39,153,14,1454
"AL4  9",8244,431,39,746,154,13,45,3907,225,138,339,19,2188
"AL5  1",4275,275,17,619,32,6,11,1716,98,44,202,12,1243
"AL5  2",3158,268,20,590,16,2,1,863,26,19,173,18,1162
"AL5  3",3155,235,7,547,12,2,9,1191,48,32,110,10,952
"AL5  4",4306,254,20,774,27,6,14,1422,65,63,354,17,1290
"AL5  5",5643,335,16,1132,46,6,16,2031,78,64,364,17,1538
"AL6  0",4685,385,23,494,26,9,15,1895,94,29,86,15,1614
"AL6  9",3360,256,15,212,52,3,19,1431,100,17,156,17,1082
"AL7  1",4114,133,22,281,93,25,20,1825,136,78,326,18,1157
"AL7  2",5631,166,30,288,127,12,36,2793,231,102,295,10,1541
"AL7  3",7087,156,45,429,177,31,45,2739,239,224,690,15,2297
"AL7  4",7415,211,45,428,245,27,52,3306,307,173,586,22,2013
"AL8  6",4025,192,30,432,78,11,15,1449,96,74,358,16,1274
"AL8  7",5101,255,21,489,91,14,21,2001,147,71,334,18,1639
"AL9  5",1555,87,19,193,28,1,8,635,33,13,73,4,461
"AL9  6",1020,68,15,55,10,1,5,373,18,5,67,8,395
"AL9  7",5022,292,97,466,19,12,27,2047,109,36,204,17,1696
"B1   1",3915,72,23,322,220,17,2,649,47,30,992,10,1531
"B1   2",2442,59,15,183,186,10,3,362,37,25,604,5,953
"B1   3",948,30,6,75,57,2,0,250,21,14,298,5,190
"B10  0",5300,52,7,52,467,45,4,971,175,18,335,35,3139
"B10  9",10996,115,4,55,873,78,13,2328,322,32,576,57,6543
"B11  1",7655,58,13,57,693,30,3,1296,195,43,380,47,4840
"B11  2",2245,25,1,44,234,7,6,491,60,18,166,8,1185
"B11  3",11049,141,15,202,1093,75,25,2735,346,72,690,35,5620
"B11  4",8192,86,13,69,699,63,6,1731,223,26,440,26,4810
"B12  0",3010,48,13,72,337,11,8,559,57,26,392,8,1479
"B12  8",5555,76,7,45,509,19,6,961,121,45,315,25,3426
"B12  9",5282,71,5,46,517,38,7,1025,144,77,297,27,3028
"B13  0",9436,168,13,163,949,29,25,3361,319,90,349,32,3938
"B13  8",5975,219,11,128,763,28,17,2079,161,172,250,24,2123
"B13  9",11554,397,26,182,1295,41,27,3814,284,245,457,44,4742
"B14  4",8974,148,8,136,919,39,51,3537,325,82,359,17,3353
"B14  5",7688,94,4,80,834,24,37,2598,244,55,333,13,3372
"B14  6",8643,192,1,120,880,16,30,3318,259,125,303,35,3364
"B14  7",5713,200,9,123,847,7,14,2008,137,185,358,18,1807
"B15  1",2218,67,4,82,157,4,5,308,25,20,280,12,1254
"B15  2",8118,181,25,330,484,26,7,1480,119,81,820,16,4549
"B15  3",4708,173,5,119,229,14,7,1441,88,64,388,27,2153
"B16  0",7246,144,15,120,958,59,16,1738,176,79,484,23,3434
"B16  8",5474,125,26,260,483,24,7,1085,68,72,1267,22,2035
"B16  9",5748,157,6,173,830,34,13,1482,116,108,567,15,2247
"B17  0",6785,187,15,181,662,17,14,1995,129,122,652,10,2801
"B17  8",6880,199,16,104,941,22,8,2494,183,71,299,20,2523
"B17  9",5755,213,15,139,605,20,15,2447,122,169,486,16,1508
"B18  4",4578,40,34,42,544,18,3,718,100,29,276,33,2741
"B18  5",3662,47,36,60,538,15,8,719,75,24,236,28,1876
"B18  6",1686,39,19,109,139,10,1,416,37,14,458,8,436
"B18  7",1787,13,10,25,258,8,2,305,46,15,152,4,949
"B19  1",5735,44,8,59,631,40,4,1066,174,22,255,36,3396
"B19  2",4790,29,9,33,642,27,4,822,153,21,262,20,2768
"B19  3",2675,21,11,43,287,8,1,292,57,22,237,9,1687
"B2   4",436,7,2,37,27,1,0,34,2,2,85,1,238
"B2   5",160,5,2,15,9,0,0,8,2,1,50,0,68
"B20  1",6193,120,18,86,671,19,10,2464,271,35,152,26,2321
"B20  2",8004,157,15,100,1049,31,13,2579,289,40,266,39,3426
"B20  3",10234,153,15,106,1212,55,12,2097,308,28,532,53,5663
"B21  0",6860,78,137,64,942,40,3,1411,267,26,396,35,3461
"B21  8",6658,90,43,72,893,28,4,1760,312,23,303,26,3104
"B21  9",7407,71,38,66,978,40,8,1488,288,35,437,29,3929
"B23  5",10570,153,12,269,1062,33,38,3538,361,68,467,41,4528
"B23  6",8316,140,15,564,897,26,27,2649,282,78,459,24,3155
"B23  7",11838,161,17,339,1487,45,47,3865,397,97,523,32,4828
"B24  0",7630,163,7,172,658,28,22,3099,256,81,325,39,2780
"B24  8",5710,91,8,157,686,26,20,1541,174,48,286,26,2647
"B24  9",7402,126,11,205,761,29,25,2528,283,94,483,30,2827
"B25  8",10820,129,5,121,1346,53,30,3250,363,73,499,45,4906
"B26  1",7791,158,7,117,900,39,29,3279,279,74,340,13,2556
"B26  2",8072,123,7,112,832,29,32,3139,314,79,301,17,3087
"B26  3",7642,137,2,95,793,27,35,3129,276,95,330,16,2707
"B27  6",7048,126,12,370,729,42,18,2436,217,71,389,22,2616
"B27  7",10581,160,8,252,1163,40,33,3292,361,78,598,27,4569
"B28  0",10366,245,16,445,680,44,45,4507,338,102,290,27,3627
"B28  8",5345,118,11,192,421,24,13,1837,144,40,230,25,2290
"B28  9",5396,132,6,171,457,18,13,2048,186,38,191,17,2119
"B29  4",4179,93,8,96,370,9,18,1353,105,50,159,11,1907
"B29  5",7045,101,2,116,908,31,28,1964,232,82,390,26,3165
"B29  6",11751,172,33,590,633,30,22,1866,223,137,912,33,7100
"B29  7",10304,212,19,459,675,38,17,1937,177,182,722,22,5844
"B3   1",2366,50,26,232,88,12,3,537,31,18,806,10,553
"B3   2",129,2,1,18,6,0,0,14,2,2,41,1,42
"B30  1",7105,212,14,526,395,18,22,2550,203,135,429,16,2585
"B30  2",8670,205,19,739,776,24,16,3008,226,242,622,36,2757
"B30  3",5500,126,9,273,569,7,24,2203,172,54,256,19,1788
"B31  1",7944,113,4,154,939,29,51,2778,283,61,376,23,3133
"B31  2",8677,197,21,498,630,16,23,3216,267,84,385,18,3322
"B31  3",8031,136,13,474,576,22,38,3125,289,46,317,18,2977
"B31  4",7155,112,4,521,460,28,30,2551,267,43,303,15,2821
"B31  5",6946,106,12,236,649,19,38,2797,257,43,307,23,2459
"B32  1",6672,145,7,70,796,14,21,2601,201,42,231,12,2532
"B32  2",8337,133,10,98,1065,27,26,2783,276,71,339,14,3495
"B32  3",8475,97,4,90,1138,19,21,2761,297,41,330,20,3657
"B32  4",3734,61,4,31,423,8,16,1314,114,14,176,10,1563
"B33  0",7206,62,2,132,774,27,29,2313,258,62,309,20,3218
"B33  8",8022,101,8,209,818,52,24,2278,239,53,321,27,3892
"B33  9",8071,83,7,199,834,44,39,2422,297,73,375,16,3682
"B34  6",7556,86,9,57,756,31,14,2536,287,57,232,29,3462
"B34  7",5538,54,5,42,541,27,29,1860,202,57,220,9,2492
"B35  6",3046,30,0,21,315,9,9,904,117,62,277,4,1298
"B35  7",3752,24,1,14,393,12,10,922,116,45,332,5,1878
"B36  0",9140,129,4,55,903,28,29,3540,372,90,362,16,3612
"B36  8",8398,107,7,49,925,48,22,2537,269,53,278,30,4073
"B36  9",6959,137,0,49,612,13,23,3093,284,51,176,30,2491
"B37  5",7138,56,4,128,749,19,35,2159,271,65,449,13,3190
"B37  6",8402,123,4,79,930,33,33,2817,335,82,381,25,3560
"B37  7",10181,173,7,318,846,39,39,3676,371,80,436,28,4168
"B38  0",1440,49,0,37,95,3,4,606,38,11,49,5,543
"B38  8",6629,152,9,338,468,19,19,2526,211,50,234,22,2581
"B38  9",6933,77,1,203,724,20,27,2064,183,55,272,14,3293
"B4   6",338,6,2,22,25,1,0,56,4,0,87,1,134
"B4   7",4310,39,16,72,118,12,5,188,77,11,466,8,3298
"B42  1",7776,133,10,138,935,35,9,2944,233,38,289,22,2990
"B42  2",9996,140,6,99,1137,35,27,3954,377,70,389,21,3741
"B43  5",7813,127,16,102,879,23,19,3207,267,39,247,17,2870
"B43  6",4796,123,11,44,396,7,7,2287,183,21,113,17,1587
"B43  7",7807,171,12,36,624,15,27,3746,332,33,282,14,2515
"B44  0",10492,88,4,62,1344,42,53,2819,406,50,483,19,5122
"B44  8",7182,113,1,45,883,21,22,3083,264,40,304,15,2391
"B44  9",8143,126,6,48,920,8,36,3188,306,38,344,24,3099
"B45  0",5156,43,2,70,544,17,20,1522,185,18,259,14,2462
"B45  8",7531,322,6,329,345,14,25,3366,245,56,249,18,2556
"B45  9",9006,194,4,269,558,31,33,3946,313,42,484,15,3117
"B46  1",5433,171,2,170,185,10,18,2898,208,49,258,12,1452
"B46  2",1677,131,1,26,14,1,4,908,49,7,50,9,477
"B46  3",1981,81,1,36,62,4,4,914,78,12,126,5,658
"B47  5",4780,178,2,133,116,7,17,2416,126,31,148,12,1594
"B47  6",2013,115,3,77,24,0,11,1007,55,18,51,8,644
"B48  7",4195,224,3,193,34,5,7,2015,121,24,182,17,1370
"B49  5",3202,224,2,33,41,0,10,1525,108,36,218,7,998
"B49  6",4305,250,5,30,50,6,20,1964,177,96,272,15,1420
"B5   4",2055,49,14,226,137,5,2,335,17,18,484,5,763
"B5   5",850,6,1,17,25,7,1,61,11,5,106,1,609
"B5   6",210,4,2,25,10,1,0,24,1,0,54,0,89
"B5   7",6555,112,13,95,661,21,16,1374,125,71,488,17,3562
"B50  4",3863,212,0,18,77,0,22,2074,135,41,158,13,1113
"B6   4",663,4,0,7,100,3,0,105,18,5,31,3,387
"B6   5",2887,30,1,46,333,17,1,499,94,15,129,14,1708
"B6   6",7388,100,15,85,671,42,2,1414,235,19,376,37,4392
"B6   7",1833,19,4,46,214,11,2,407,45,16,114,4,951
"B60  1",5518,326,4,148,57,8,9,2973,149,33,177,13,1621
"B60  2",5456,233,4,224,45,9,12,2890,148,41,328,15,1507
"B60  3",6654,206,1,190,112,17,40,3371,278,51,436,18,1934
"B60  4",2508,140,4,37,22,7,15,1297,67,25,102,9,783
"B61  0",7397,235,2,110,171,11,35,3915,278,54,407,12,2167
"B61  7",3854,125,1,77,54,10,16,1798,131,27,312,11,1292
"B61  8",4182,115,0,53,71,9,29,1909,174,64,380,14,1364
"B61  9",1867,170,1,30,14,1,4,1002,46,12,67,12,508
"B62  0",4531,165,3,77,225,6,19,2297,132,25,127,10,1445
"B62  8",6131,159,4,155,314,17,19,2867,194,37,267,25,2073
"B62  9",7172,183,2,255,430,15,33,3216,229,44,249,18,2498
"B63  1",4312,170,1,75,171,8,18,2222,148,27,91,6,1375
"B63  2",8904,157,3,220,458,25,53,3952,400,72,355,27,3182
"B63  3",5854,143,3,109,304,16,30,2707,182,34,310,21,1995
"B63  4",7563,169,3,90,440,15,47,3115,223,31,445,13,2972
"B64  5",2720,43,3,78,120,5,18,1129,106,24,141,16,1037
"B64  6",4987,77,2,179,297,15,30,1809,167,51,298,14,2048
"B64  7",4129,85,4,114,168,10,24,1692,169,12,204,11,1636
"B65  0",4255,56,5,100,320,17,22,1620,156,31,221,17,1690
"B65  8",5617,82,6,115,326,24,31,2269,233,40,253,16,2222
"B65  9",7263,88,9,151,468,19,39,2779,308,65,328,26,2983
"B66  1",2359,31,6,109,171,11,4,518,92,12,132,10,1263
"B66  2",1017,7,11,40,54,8,0,170,52,1,70,5,599
"B66  3",4743,36,10,73,575,26,4,976,139,24,228,28,2624
"B66  4",6164,81,16,114,1024,32,12,1579,205,69,332,16,2684
"B67  5",7448,167,8,114,1243,26,30,2815,270,140,369,24,2242
"B67  6",7363,81,10,109,759,48,27,2228,291,71,438,27,3274
"B67  7",7067,85,19,200,628,31,4,1887,319,52,464,27,3351
"B68  0",6575,105,8,91,705,24,29,2694,287,44,262,15,2311
"B68  8",6999,102,11,162,568,24,34,2538,277,62,365,22,2834
"B68  9",8158,120,21,116,729,28,31,2944,331,64,364,32,3378
"B69  1",10591,114,19,140,840,18,49,4210,439,70,546,32,4114
"B69  2",3712,38,17,58,354,17,14,1449,132,37,194,9,1393
"B69  3",2636,32,14,49,239,7,11,1059,106,17,109,4,989
"B69  4",3860,54,7,120,333,14,16,1347,134,39,272,10,1514
"B7   4",2299,27,5,47,296,8,2,284,44,20,176,9,1381
"B7   5",3203,32,7,41,432,15,2,572,61,26,195,13,1807
"B70  0",5045,42,121,43,396,17,17,1568,224,55,373,14,2175
"B70  6",5018,56,167,45,477,16,6,1290,221,42,313,25,2360
"B70  7",2068,20,56,19,167,10,9,540,90,22,165,4,966
"B70  8",2697,38,64,24,220,14,3,657,126,23,196,10,1322
"B70  9",5084,52,130,42,397,16,14,1350,223,68,353,24,2415
"B71  1",5892,73,94,53,495,28,21,1846,261,61,455,13,2492
"B71  2",7158,78,112,48,542,31,33,2321,342,70,343,27,3211
"B71  3",6489,89,65,120,534,14,26,2596,261,58,201,13,2512
"B71  4",2649,30,84,28,193,13,9,853,104,29,218,9,1079
"B72  1",6998,337,7,383,356,11,24,3121,190,49,339,19,2162
"B73  5",9713,394,24,751,413,21,27,4411,282,85,365,37,2903
"B73  6",6982,301,4,269,319,13,25,3346,209,43,225,16,2212
"B74  2",7205,291,16,226,269,11,19,3572,201,23,186,18,2373
"B74  3",8158,347,10,110,308,7,16,4171,237,27,169,21,2735
"B74  4",7798,402,4,508,147,6,16,3618,164,32,192,23,2686
"B75  5",5630,277,8,353,134,5,15,2863,133,37,174,13,1618
"B75  6",6175,294,9,315,138,6,9,2843,143,40,232,10,2136
"B75  7",6722,188,6,237,458,14,24,2829,259,49,411,20,2227
"B76  0",288,26,0,3,1,0,1,176,7,2,13,2,57
"B76  1",8555,320,8,203,435,20,22,4352,265,46,262,18,2604
"B76  2",4761,166,6,124,234,5,18,2489,136,33,147,22,1381
"B76  9",2364,100,4,32,99,4,8,1145,74,24,124,5,745
"B77  1",8064,215,0,112,177,27,33,4291,377,120,367,15,2330
"B77  2",10762,162,1,141,329,54,60,4926,622,182,590,32,3663
"B77  3",6584,153,2,90,127,22,40,3066,325,86,353,23,2297
"B77  4",10528,237,9,94,385,43,56,5055,543,118,433,35,3520
"B77  5",6696,163,2,88,162,23,27,3769,308,66,319,17,1752
"B78  1",7543,190,1,56,110,22,43,3890,407,81,357,15,2371
"B78  2",3339,92,0,27,101,12,20,1739,114,37,107,6,1084
"B78  3",7265,261,2,89,126,24,24,3652,284,86,361,19,2337
"B79  0",2383,118,0,18,21,2,10,1235,86,16,84,9,784
"B79  7",4579,117,2,101,115,16,15,1918,186,92,463,20,1534
"B79  8",7459,160,0,154,125,26,32,3102,306,137,551,22,2844
"B79  9",1704,144,1,29,5,3,6,817,47,11,41,10,590
"B8   1",6600,71,2,46,533,41,3,1118,161,17,309,32,4267
"B8   2",9648,115,5,58,976,50,12,2383,297,43,406,62,5241
"B8   3",9957,91,9,52,770,71,4,2007,260,20,457,34,6182
"B80  7",5135,218,2,48,67,9,21,2575,178,55,244,16,1702
"B9   4",2887,34,10,35,344,11,5,648,76,19,191,21,1493
"B9   5",12578,175,16,88,1191,90,7,2626,315,40,683,72,7275
"B90  1",7867,269,1,365,244,16,29,4252,252,72,170,30,2167
"B90  2",9232,267,8,344,407,23,45,4578,279,102,338,19,2822
"B90  3",7192,220,10,228,393,14,25,3374,226,85,276,23,2318
"B90  4",8603,357,12,296,320,20,29,4268,262,60,353,31,2595
"B91  1",7563,407,21,386,193,10,15,3468,180,71,355,25,2432
"B91  2",8163,325,12,320,308,22,28,3633,207,66,563,23,2656
"B91  3",7689,405,16,489,162,12,15,3671,206,67,370,22,2254
"B92  0",2942,195,6,144,74,5,10,1381,70,24,109,14,910
"B92  7",9083,257,15,410,528,25,31,4111,312,105,298,15,2976
"B92  8",8689,209,6,325,553,22,24,3834,274,94,353,21,2974
"B92  9",5891,157,8,168,402,22,27,2735,162,87,216,17,1890
"B93  0",2446,183,2,111,42,3,6,1109,68,16,107,12,787
"B93  8",5324,335,9,407,65,3,15,2542,120,44,164,12,1608
"B93  9",6031,369,10,304,83,10,11,2878,141,51,162,27,1985
"B94  5",2870,266,5,79,16,1,6,1372,59,12,92,23,939
"B94  6",2569,201,3,119,19,0,5,1303,65,13,91,15,735
"B95  5",2766,201,3,96,30,2,7,1281,75,13,167,6,885
"B95  6",1280,101,4,18,13,1,4,557,28,9,55,3,487
"B96  6",3744,296,1,51,45,4,15,1930,121,26,141,14,1100
"B97  4",4301,121,1,93,224,17,23,1937,202,32,369,17,1265
"B97  5",12477,509,10,150,284,19,27,6958,521,90,390,37,3482
"B97  6",8155,201,2,132,330,33,25,3481,290,71,421,27,3142
"B98  0",11166,234,1,90,600,33,45,5425,499,188,587,21,3443
"B98  7",14493,288,10,139,857,50,51,6426,791,130,899,37,4815
"B98  8",6950,134,2,74,457,45,27,2770,325,95,516,32,2473
"B98  9",4839,157,2,49,291,11,22,2236,197,60,228,14,1572
"BA1  1",1633,75,0,63,92,2,3,173,15,17,410,18,765
"BA1  2",5490,339,12,280,207,10,15,990,84,118,1360,19,2056
"BA1  3",5503,328,7,153,274,8,29,1556,112,263,1062,28,1683
"BA1  4",3663,164,0,71,216,10,30,1199,119,111,552,18,1173
"BA1  5",3555,311,9,167,123,4,10,751,57,48,835,21,1219
"BA1  6",6212,368,3,206,222,7,52,1988,150,201,1144,22,1849
"BA1  7",3835,310,4,80,227,3,23,1526,111,126,230,24,1171
"BA1  8",677,95,2,23,15,0,8,237,22,20,36,2,217
"BA1  9",179,22,0,4,4,0,1,95,5,2,10,0,36
"BA10 0",2464,200,12,25,10,1,16,946,57,18,285,14,880
"BA11 1",3581,217,0,78,75,12,12,1436,151,50,508,17,1025
"BA11 2",7976,365,4,58,122,28,34,3988,329,109,561,27,2351
"BA11 3",3553,205,4,37,57,12,31,1550,139,44,325,15,1134
"BA11 4",4501,224,2,21,60,9,26,2009,153,73,443,8,1473
"BA11 5",2516,204,5,35,29,8,12,1151,91,24,223,17,717
"BA11 6",1365,134,4,18,23,2,2,616,35,12,66,5,448
