
"WD212EW - Passports held (detailed)"
"ONS Crown Copyright Reserved [from Nomis on 12 August 2018]"
"Population :","All usual residents who are either in employment in the area, or not in employment but live in the area"
"Units      :","Persons"
"Date       :","2011"

"postcode sector","All categories: Passports held","Europe: Total","Europe: United Kingdom","Europe: Ireland","Europe: Other Europe: Total","Europe: Other Europe: EU countries: Total","Europe: Other Europe: EU countries: Member countries in March 2001: Total","Europe: Other Europe: EU countries: Member countries in March 2001: France","Europe: Other Europe: EU countries: Member countries in March 2001: Germany","Europe: Other Europe: EU countries: Member countries in March 2001: Italy","Europe: Other Europe: EU countries: Member countries in March 2001: Portugal","Europe: Other Europe: EU countries: Member countries in March 2001: Spain","Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Total","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania","Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries","Europe: Other Europe: Rest of Europe: Total","Europe: Other Europe: Rest of Europe: Turkey","Europe: Other Europe: Rest of Europe: Other Europe","Africa: Total","Africa: North Africa","Africa: Central and Western Africa: Total","Africa: Central and Western Africa: Ghana","Africa: Central and Western Africa: Nigeria","Africa: Central and Western Africa: Other Central and Western Africa","Africa: South and Eastern Africa: Total","Africa: South and Eastern Africa: Kenya","Africa: South and Eastern Africa: Somalia","Africa: South and Eastern Africa: South Africa","Africa: South and Eastern Africa: Zimbabwe","Africa: South and Eastern Africa: Other South and Eastern Africa","Middle East and Asia: Total","Middle East and Asia: Middle East: Total","Middle East and Asia: Middle East: Iran","Middle East and Asia: Middle East: Iraq","Middle East and Asia: Middle East: Other Middle East","Middle East and Asia: Eastern Asia: Total","Middle East and Asia: Eastern Asia: China","Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China)","Middle East and Asia: Eastern Asia: Japan","Middle East and Asia: Eastern Asia: Other Eastern Asia","Middle East and Asia: Southern Asia: Total","Middle East and Asia: Southern Asia: Afghanistan","Middle East and Asia: Southern Asia: Bangladesh","Middle East and Asia: Southern Asia: India","Middle East and Asia: Southern Asia: Pakistan","Middle East and Asia: Southern Asia: Sri Lanka","Middle East and Asia: Southern Asia: Other Southern Asia","Middle East and Asia: South-East Asia: Total","Middle East and Asia: South-East Asia: Malaysia","Middle East and Asia: South-East Asia: Philippines","Middle East and Asia: South-East Asia: Singapore","Middle East and Asia: South-East Asia: Other South-East Asia","Middle East and Asia: Central Asia","The Americas and the Caribbean: Total","The Americas and the Caribbean: North America: Total","The Americas and the Caribbean: North America: Canada","The Americas and the Caribbean: North America: United States","The Americas and the Caribbean: Central America","The Americas and the Caribbean: South America","The Americas and the Caribbean: The Caribbean: Total","The Americas and the Caribbean: The Caribbean: Jamaica","The Americas and the Caribbean: The Caribbean: Other Caribbean","Antarctica and Oceania: Total","Antarctica and Oceania: Australasia: Total","Antarctica and Oceania: Australasia: Australia","Antarctica and Oceania: Australasia: New Zealand","Antarctica and Oceania: Other Oceania","British Overseas Territories","No passport held"

"AL1  1",4593,4099,3851,72,176,168,104,13,12,22,6,15,36,64,5,36,8,15,8,2,6,43,3,11,5,6,0,29,0,0,15,10,4,41,0,0,0,0,7,5,0,1,1,20,0,6,9,2,3,0,14,4,3,1,6,0,20,14,5,9,1,3,2,2,0,11,11,7,4,0,0,379
"AL1  2",6570,5516,5169,94,253,249,154,20,24,31,5,27,47,95,9,43,16,27,4,3,1,75,7,17,7,10,0,51,7,0,20,12,12,129,5,0,0,5,14,7,0,7,0,90,0,39,23,11,16,1,20,7,9,1,3,0,39,23,5,18,3,6,7,4,3,21,21,14,7,0,0,790
"AL1  3",8213,7333,6854,112,367,349,186,30,19,80,17,10,30,163,7,87,12,57,18,3,15,97,8,31,7,22,2,58,7,0,24,15,12,183,4,2,1,1,25,15,0,9,1,124,0,14,79,20,10,1,30,21,5,2,2,0,54,38,8,30,4,5,7,3,4,31,31,23,8,0,0,515
"AL1  4",7300,6603,6221,87,295,283,166,26,22,35,8,23,52,117,1,72,6,38,12,2,10,46,4,7,1,5,1,35,1,0,8,11,15,112,4,2,0,2,20,7,0,12,1,76,0,22,25,13,16,0,10,1,5,1,3,2,38,33,6,27,0,1,4,2,2,15,15,9,6,0,0,486
"AL1  5",8687,7361,6815,123,423,399,242,29,22,107,7,31,46,157,3,106,7,41,24,4,20,89,6,19,6,9,4,64,1,0,18,21,24,213,6,0,0,6,19,13,0,5,1,162,0,54,39,42,25,2,23,12,5,1,5,3,44,27,12,15,2,7,8,2,6,19,19,13,6,0,0,961
"AL10 0",10892,8313,7455,105,753,732,188,15,34,34,30,15,60,544,35,405,16,88,21,4,17,333,8,186,53,130,3,139,11,0,20,72,36,488,51,9,0,42,81,69,4,6,2,321,0,40,196,40,39,6,31,14,6,1,10,4,39,23,6,17,0,6,10,4,6,15,15,12,3,0,0,1704
"AL10 8",7681,5475,4980,106,389,368,111,9,13,20,15,9,45,257,21,181,27,28,21,3,18,263,13,141,34,97,10,109,9,0,7,69,24,583,50,11,0,39,155,148,3,4,0,321,0,32,154,65,55,15,56,20,9,1,26,1,35,16,8,8,1,12,6,4,2,6,6,5,1,0,0,1319
"AL10 9",25905,21443,18614,324,2505,2413,613,92,100,109,56,51,205,1800,71,1408,51,270,92,27,65,772,30,478,61,395,22,264,35,1,47,75,106,1666,218,40,6,172,518,464,16,29,9,713,2,34,423,129,107,18,215,144,17,6,48,2,137,86,22,64,4,21,26,11,15,69,67,45,22,2,0,1818
"AL2  1",8307,6926,6306,123,497,490,243,27,13,81,40,55,27,247,14,191,10,32,7,3,4,94,6,29,11,15,3,59,9,0,13,10,27,267,5,2,0,3,10,9,0,1,0,227,2,46,110,40,26,3,25,7,12,4,2,0,34,20,2,18,1,10,3,1,2,20,20,4,16,0,0,966
"AL2  2",7044,6079,5694,123,262,249,104,12,19,29,13,9,22,145,28,72,12,33,13,4,9,89,5,40,11,24,5,44,5,1,14,12,12,110,13,11,0,2,14,2,0,3,9,71,0,3,35,19,11,3,12,0,9,2,1,0,21,11,1,10,0,3,7,2,5,13,13,8,5,0,0,732
"AL2  3",7390,6586,6328,99,159,154,88,18,10,20,8,15,17,66,4,29,10,23,5,0,5,49,4,15,6,8,1,30,8,0,12,2,8,73,6,2,3,1,14,8,1,5,0,41,0,1,28,1,11,0,12,7,2,0,3,0,34,18,4,14,0,8,8,5,3,18,18,6,12,0,0,630
"AL3  4",5409,4941,4634,71,236,232,151,26,46,27,9,5,38,81,5,43,7,26,4,1,3,34,1,7,6,1,0,26,2,0,12,6,6,60,3,2,0,1,11,4,1,6,0,18,0,3,4,2,8,1,28,2,3,1,22,0,43,37,10,27,1,4,1,1,0,17,17,13,4,0,0,314
