
"QS419EW - Position in communal establishment"
"ONS Crown Copyright Reserved [from Nomis on 12 August 2018]"
"Population :","All usual residents in communal establishments"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All categories: Position in communal establishment","Resident","Staff or owner","Family member or partner of staff or owner"

"AL1  1",45,36,1,8
"AL1  2",105,95,0,10
"AL1  3",79,79,0,0
"AL1  4",34,29,4,1
"AL1  5",15,15,0,0
"AL10 0",80,74,4,2
"AL10 8",165,151,2,12
"AL10 9",2748,2721,5,22
"AL2  1",67,52,12,3
"AL2  2",96,93,3,0
"AL2  3",104,96,4,4
"AL3  4",65,62,3,0
"AL3  5",227,206,15,6
"AL3  6",10,3,7,0
"AL3  7",60,45,7,8
"AL3  8",39,18,20,1
"AL4  0",93,93,0,0
"AL4  8",5,5,0,0
"AL4  9",68,54,0,14
"AL5  1",16,9,6,1
"AL5  2",54,53,1,0
"AL5  3",28,24,4,0
"AL5  4",349,304,42,3
"AL5  5",86,42,43,1
"AL6  0",18,15,3,0
"AL6  9",100,93,6,1
"AL7  1",0,0,0,0
"AL7  2",53,50,2,1
"AL7  3",106,105,1,0
"AL7  4",57,44,1,12
"AL8  6",0,0,0,0
"AL8  7",67,66,0,1
"AL9  5",31,30,0,1
"AL9  6",210,192,16,2
"AL9  7",94,94,0,0
"B1   1",697,691,5,1
"B1   2",204,201,3,0
"B1   3",0,0,0,0
"B10  0",19,16,0,3
"B10  9",11,11,0,0
"B11  1",63,63,0,0
"B11  2",10,10,0,0
"B11  3",16,16,0,0
"B11  4",32,30,2,0
"B12  0",57,55,2,0
"B12  8",52,51,1,0
"B12  9",107,103,1,3
"B13  0",52,50,0,2
"B13  8",151,147,0,4
"B13  9",291,271,10,10
"B14  4",113,112,0,1
"B14  5",99,86,3,10
"B14  6",63,62,1,0
"B14  7",47,46,1,0
"B15  1",616,613,1,2
"B15  2",2672,2661,8,3
"B15  3",1416,1385,29,2
"B16  0",30,26,1,3
"B16  8",34,28,6,0
"B16  9",126,124,2,0
"B17  0",77,77,0,0
"B17  8",267,260,3,4
"B17  9",57,55,0,2
