
"KS501EW - Qualifications and students"
"ONS Crown Copyright Reserved [from Nomis on 12 August 2018]"
"Population :","All usual residents aged 16 and over"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","No qualifications","Highest level of qualification: Level 1 qualifications","Highest level of qualification: Level 2 qualifications","Highest level of qualification: Apprenticeship","Highest level of qualification: Level 3 qualifications","Highest level of qualification: Level 4 qualifications and above","Highest level of qualification: Other qualifications","Schoolchildren and full-time students: Age 16 to 17","Schoolchildren and full-time students: Age 18 and over","Full-time students: Age 18 to 74: Economically active: In employment","Full-time students: Age 18 to 74: Economically active: Unemployed","Full-time students: Age 18 to 74: Economically inactive"

"AL1  1",9.4,7.5,10.9,1.7,9.0,57.3,4.2,1.7,3.2,1.2,0.2,1.8
"AL1  2",20.4,11.1,12.2,2.6,10.1,38.2,5.4,2.6,3.6,1.5,0.2,1.9
"AL1  3",8.8,7.5,8.6,1.4,8.5,60.3,4.8,1.0,3.2,1.0,0.1,2.0
"AL1  4",6.5,6.4,10.2,1.2,9.4,63.1,3.2,3.7,3.2,1.2,0.2,1.8
"AL1  5",15.4,10.4,12.3,2.5,9.4,43.6,6.4,2.4,4.5,2.0,0.3,2.1
"AL10 0",22.9,13.5,13.4,3.2,13.4,24.7,8.9,2.0,13.7,4.7,1.1,7.9
"AL10 8",18.9,11.7,12.7,2.9,22.4,23.5,8.0,2.1,28.0,9.1,2.9,16.0
"AL10 9",9.1,9.7,12.8,1.9,30.9,27.6,7.9,1.8,44.8,11.1,5.1,28.6
"AL2  1",16.7,14.6,15.5,3.3,12.3,32.0,5.6,3.3,4.8,2.2,0.4,2.2
"AL2  2",18.0,12.3,15.2,4.6,12.1,33.7,4.2,2.6,3.4,1.7,0.2,1.5
"AL2  3",16.9,12.2,16.3,4.8,11.7,34.0,4.2,3.1,3.0,1.1,0.3,1.6
"AL3  4",7.7,8.1,12.3,1.9,8.8,57.7,3.4,2.7,2.4,0.9,0.1,1.4
"AL3  5",12.9,8.8,11.9,1.8,9.4,51.1,4.2,2.9,3.8,1.8,0.1,1.9
"AL3  6",18.2,12.9,14.6,2.7,10.3,36.3,5.0,3.9,4.0,2.1,0.1,1.8
"AL3  7",17.2,11.7,14.2,3.5,9.7,40.4,3.3,2.5,2.2,0.9,0.0,1.2
"AL3  8",16.6,12.1,16.4,4.0,12.9,35.2,2.9,2.4,1.9,0.8,0.2,1.0
"AL4  0",12.4,11.0,14.8,3.5,11.8,41.8,4.7,3.6,3.9,1.7,0.3,2.0
"AL4  8",12.7,11.1,14.1,3.5,11.2,44.1,3.3,3.3,2.7,1.3,0.0,1.4
"AL4  9",13.2,11.0,15.3,3.9,11.5,41.1,4.0,3.3,3.4,1.5,0.2,1.7
"AL5  1",11.0,9.1,14.4,3.2,11.0,48.4,2.9,3.4,2.7,1.1,0.1,1.5
"AL5  2",7.5,7.0,11.9,1.3,9.3,60.3,2.7,3.5,3.1,1.0,0.1,2.0
"AL5  3",6.4,7.6,13.2,1.9,11.3,57.0,2.7,4.5,3.1,1.1,0.1,1.9
"AL5  4",11.1,7.1,13.5,2.1,10.3,52.2,3.6,4.3,3.2,1.0,0.2,2.0
"AL5  5",10.8,9.0,13.0,2.5,9.7,51.1,3.9,3.2,2.7,0.9,0.2,1.6
"AL6  0",10.9,10.1,15.1,2.7,11.8,46.5,2.9,3.4,2.7,1.1,0.1,1.4
"AL6  9",18.2,11.9,16.4,3.1,10.7,35.5,4.2,3.1,2.7,1.0,0.1,1.5
"AL7  1",20.4,15.1,16.6,4.4,11.5,26.9,5.1,2.5,3.5,2.0,0.1,1.5
"AL7  2",17.7,15.3,17.0,4.0,12.6,29.0,4.4,2.4,3.2,1.7,0.2,1.3
"AL7  3",22.8,18.8,16.2,3.3,11.7,22.0,5.2,3.6,4.0,1.8,0.3,2.0
"AL7  4",20.1,15.1,15.9,3.9,11.9,27.5,5.5,2.7,3.8,1.7,0.3,1.8
