
"KS103EW - Marital and civil partnership status"
"ONS Crown Copyright Reserved [from Nomis on 25 July 2018]"
"Population :","All usual residents aged 16 and over"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All usual residents aged 16+","Single (never married or never registered a same-sex civil partnership)","Married","In a registered same-sex civil partnership","Separated (but still legally married or still legally in a same-sex civil partnership)","Divorced or formerly in a same-sex civil partnership which is now legally dissolved","Widowed or surviving partner from a same-sex civil partnership"

"AL1  1",4524,1703,2065,10,120,394,232
"AL1  2",5099,1729,2419,3,107,439,402
"AL1  3",3550,1789,1178,13,91,287,192
"AL1  4",7496,2122,4604,9,87,359,315
"AL1  5",8154,3346,3600,13,208,574,413
"AL10 0",8146,3716,2849,12,282,773,514
"AL10 8",9368,4972,2901,14,193,706,582
"AL10 9",12873,8204,3489,14,207,558,401
"AL2  1",7460,2686,3480,13,218,710,353
"AL2  2",4939,1406,2653,6,117,418,339
"AL2  3",6530,1555,3907,17,115,467,469
"AL3  4",4561,1114,2787,12,70,269,309
"AL3  5",6790,2374,3332,13,134,511,426
"AL3  6",3310,1023,1741,8,76,232,230
"AL3  7",4248,1022,2426,8,92,395,305
"AL3  8",3567,1020,1871,7,93,334,242
"AL4  0",7026,2101,3945,9,142,541,288
"AL4  8",5108,1323,2932,13,93,403,344
"AL4  9",9246,2809,4919,10,152,738,618
"AL5  1",4753,1115,2884,0,89,356,309
"AL5  2",3729,781,2482,0,47,174,245
"AL5  3",3437,668,2404,8,46,150,161
"AL5  4",4907,1326,2749,4,91,339,398
"AL5  5",6238,1642,3674,7,111,454,350
"AL6  0",5261,1061,3457,14,100,306,323
"AL6  9",3974,1025,2194,6,72,315,362
"AL7  1",4603,1443,2225,9,120,467,339
"AL7  2",6089,2081,2878,6,200,564,360
"AL7  3",7637,3018,3094,21,260,805,439
"AL7  4",8271,2781,3951,25,242,722,550
"AL8  6",4770,1300,2465,3,113,418,471
"AL8  7",5883,1548,3285,10,119,456,465
"AL9  5",1806,531,954,6,36,137,142
"AL9  6",1134,349,601,4,27,86,67
"AL9  7",5742,1688,3083,6,113,434,418
"B1   1",3949,3133,521,28,71,169,27
"B1   2",2529,1704,502,16,68,177,62
"B1   3",950,753,128,6,16,44,3
"B10  0",5667,1935,2761,22,246,352,351
"B10  9",11787,3832,6340,10,473,462,670
"B11  1",8086,2862,3980,7,335,423,479
"B11  2",2373,833,1165,4,111,145,115
"B11  3",11707,3936,5997,18,463,671,622
"B11  4",8681,2989,4701,6,251,300,434
"B12  0",3133,1837,818,13,147,201,117
"B12  8",5864,2195,2843,5,276,275,270
"B12  9",5640,2348,2448,6,210,327,301
"B13  0",10497,3988,4553,22,287,840,807
"B13  8",6463,3296,2200,40,159,464,304
"B13  9",12518,5587,4954,44,371,839,723
"B14  4",9950,4154,3755,18,322,932,769
"B14  5",8608,3647,3048,11,293,872,737
"B14  6",9476,3556,4198,24,304,757,637
