
"QS210EW - Religion (detailed)"
"ONS Crown Copyright Reserved [from Nomis on 12 August 2018]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All categories: Religion","Christian","Buddhist","Hindu","Jewish","Muslim (Islam)","Sikh","Other religion: Total","Other religion: Animism","Other religion: Baha'i","Other religion: Believe in God","Other religion: Brahma Kumari","Other religion: Chinese Religion","Other religion: Church of All Religion","Other religion: Confucianist","Other religion: Deist","Other religion: Druid","Other religion: Druze","Other religion: Eckankar","Other religion: Heathen","Other religion: Jain","Other religion: Mixed Religion","Other religion: Mysticism","Other religion: Native American Church","Other religion: New Age","Other religion: Occult","Other religion: Own Belief System","Other religion: Pagan","Other religion: Pantheism","Other religion: Rastafarian","Other religion: Ravidassia","Other religion: Reconstructionist","Other religion: Satanism","Other religion: Scientology","Other religion: Shamanism","Other religion: Shintoism","Other religion: Spiritual","Other religion: Spiritualist","Other religion: Taoist","Other religion: Theism","Other religion: Thelemite","Other religion: Traditional African Religion","Other religion: Unification Church","Other religion: Universalist","Other religion: Vodun","Other religion: Wicca","Other religion: Witchcraft","Other religion: Zoroastrian","Other religion: Other religions","No religion: Total","No religion: No religion","No religion: Agnostic","No religion: Atheist","No religion: Free Thinker","No religion: Heavy Metal","No religion: Humanist","No religion: Jedi Knight","No religion: Realist","Religion not stated"

"AL1  1",5453,2973,35,98,43,164,16,16,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,1,1677,1637,10,5,0,2,3,20,0,431
"AL1  2",6523,3647,25,74,43,677,24,19,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,4,1566,1536,2,1,0,0,3,23,1,448
"AL1  3",4179,2092,22,62,23,119,8,22,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,2,4,3,0,0,0,0,0,0,1,0,1,0,1530,1499,7,3,0,0,2,16,3,301
"AL1  4",9799,5441,50,104,91,278,16,34,0,1,1,0,0,0,0,2,3,0,0,0,5,3,0,0,0,0,0,6,0,1,1,0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,2,2997,2932,11,10,0,0,6,38,0,788
"AL1  5",10226,5085,73,187,71,1220,25,29,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,3,0,0,0,0,0,0,3,7,2,0,0,0,0,0,0,1,0,1,1,2791,2733,9,10,0,2,3,34,0,745
"AL10 0",9935,5651,99,324,36,360,38,45,0,4,0,0,0,0,0,0,0,0,0,0,9,2,0,0,1,0,1,11,0,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,1,2,0,8,2672,2610,5,4,0,4,6,43,0,710
"AL10 8",10998,5851,189,521,30,497,62,49,0,0,1,0,0,0,1,0,1,0,0,0,5,3,0,0,0,1,0,8,0,2,0,0,0,0,0,1,0,12,2,0,0,0,0,0,0,1,0,2,9,3113,3031,8,12,0,3,1,57,1,686
"AL10 9",14967,7400,225,831,79,839,130,77,0,1,0,0,0,0,0,0,6,0,0,0,17,3,0,0,0,0,1,7,0,3,2,0,0,2,0,1,4,6,0,0,0,0,0,0,0,4,0,7,13,4467,4363,15,11,0,16,2,60,0,919
"AL2  1",9507,5388,72,288,225,591,14,32,0,0,0,0,0,0,0,1,2,0,0,1,4,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,7,1,0,1,0,0,0,0,2,0,0,1,2247,2200,2,5,0,2,1,37,0,650
